Project,Experiment Date,Plate SN,DIV,Well,Treatment,Size,Dose ,Units
ON,20140730,MW1007-104,12,A1,Bisindolymaleimide 1,NA,0,uM
ON,20140730,MW1007-104,12,A2,Bisindolymaleimide 1,NA,0.03,uM
ON,20140730,MW1007-104,12,A3,Bisindolymaleimide 1,NA,0.1,uM
ON,20140730,MW1007-104,12,A4,Bisindolymaleimide 1,NA,0.3,uM
ON,20140730,MW1007-104,12,A5,Bisindolymaleimide 1,NA,1,uM
ON,20140730,MW1007-104,12,A6,Bisindolymaleimide 1,NA,3,uM
ON,20140730,MW1007-104,12,A7,Bisindolymaleimide 1,NA,10,uM
ON,20140730,MW1007-104,12,A8,Bisindolymaleimide 1,NA,0,uM
ON,20140730,MW1007-104,12,B1,Glyphosate,NA,0,uM
ON,20140730,MW1007-104,12,B2,Glyphosate,NA,0.1,uM
ON,20140730,MW1007-104,12,B3,Glyphosate,NA,0.3,uM
ON,20140730,MW1007-104,12,B4,Glyphosate,NA,1,uM
ON,20140730,MW1007-104,12,B5,Glyphosate,NA,3,uM
ON,20140730,MW1007-104,12,B6,Glyphosate,NA,10,uM
ON,20140730,MW1007-104,12,B7,Glyphosate,NA,30,uM
ON,20140730,MW1007-104,12,B8,Glyphosate,NA,100,uM
ON,20140730,MW1007-104,12,C1,Sodium Orthovanadate,NA,0,uM
ON,20140730,MW1007-104,12,C2,Sodium Orthovanadate,NA,0.01,uM
ON,20140730,MW1007-104,12,C3,Sodium Orthovanadate,NA,0.03,uM
ON,20140730,MW1007-104,12,C4,Sodium Orthovanadate,NA,0.1,uM
ON,20140730,MW1007-104,12,C5,Sodium Orthovanadate,NA,0.3,uM
ON,20140730,MW1007-104,12,C6,Sodium Orthovanadate,NA,1,uM
ON,20140730,MW1007-104,12,C7,Sodium Orthovanadate,NA,3,uM
ON,20140730,MW1007-104,12,C8,Sodium Orthovanadate,NA,10,uM
ON,20140730,MW1007-104,12,D1,Bisindolymaleimide 1,NA,0,uM
ON,20140730,MW1007-104,12,D2,Bisindolymaleimide 1,NA,0.03,uM
ON,20140730,MW1007-104,12,D3,Bisindolymaleimide 1,NA,0.1,uM
ON,20140730,MW1007-104,12,D4,Bisindolymaleimide 1,NA,0.3,uM
ON,20140730,MW1007-104,12,D5,Bisindolymaleimide 1,NA,1,uM
ON,20140730,MW1007-104,12,D6,Bisindolymaleimide 1,NA,3,uM
ON,20140730,MW1007-104,12,D7,Bisindolymaleimide 1,NA,10,uM
ON,20140730,MW1007-104,12,D8,Bisindolymaleimide 1,NA,0,uM
ON,20140730,MW1007-104,12,E1,Glyphosate,NA,0,uM
ON,20140730,MW1007-104,12,E2,Glyphosate,NA,0.1,uM
ON,20140730,MW1007-104,12,E3,Glyphosate,NA,0.3,uM
ON,20140730,MW1007-104,12,E4,Glyphosate,NA,1,uM
ON,20140730,MW1007-104,12,E5,Glyphosate,NA,3,uM
ON,20140730,MW1007-104,12,E6,Glyphosate,NA,10,uM
ON,20140730,MW1007-104,12,E7,Glyphosate,NA,30,uM
ON,20140730,MW1007-104,12,E8,Glyphosate,NA,100,uM
ON,20140730,MW1007-104,12,F1,Sodium Orthovanadate,NA,0,uM
ON,20140730,MW1007-104,12,F2,Sodium Orthovanadate,NA,0.01,uM
ON,20140730,MW1007-104,12,F3,Sodium Orthovanadate,NA,0.03,uM
ON,20140730,MW1007-104,12,F4,Sodium Orthovanadate,NA,0.1,uM
ON,20140730,MW1007-104,12,F5,Sodium Orthovanadate,NA,0.3,uM
ON,20140730,MW1007-104,12,F6,Sodium Orthovanadate,NA,1,uM
ON,20140730,MW1007-104,12,F7,Sodium Orthovanadate,NA,3,uM
ON,20140730,MW1007-104,12,F8,Sodium Orthovanadate,NA,10,uM
