date,Plate.SN,DIV,well,trt,dose,units,meanfiringrate,burst.per.min,mean.isis,per.spikes.in.burst,mean.dur,mean.IBIs,nAE,nABE,ns.n,ns.peak.m,ns.durn.m,ns.percent.of.spikes.in.ns,ns.mean.insis,ns.durn.sd,ns.mean.spikes.in.ns,r,cv.time,cv.network,file.name
20140205,MW1007-26,5,A1,Acetaminophen,0,uM,0.798176088,0.15,NA,0,NA,NA,4,0,0,NA,NA,0,NA,NA,NA,0.000213893,1.512194668,1.555409531,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,A2,Acetaminophen,0.1,uM,1.017362936,2.8275,0.092511593,39.84625,0.55925,16.383,8,4,0,NA,NA,0,NA,NA,NA,0.003978926,0.731494565,1.425883273,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,A3,Acetaminophen,0.3,uM,0.269077692,0.368571429,0.031877391,60.108,0.15,23.706,7,1,0,NA,NA,0,NA,NA,NA,0.000833508,0.969020342,1.353146602,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,A4,Acetaminophen,1,uM,1.500053946,1.671428571,0.128949306,83.615,3.977,1.421,7,1,0,NA,NA,0,NA,NA,NA,0.000914731,0.713168312,1.728160427,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,A5,Acetaminophen,3,uM,0.755368273,0,NA,0,NA,NA,3,0,0,NA,NA,0,NA,NA,NA,0.000332541,1.177794362,1.256347053,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,A6,Acetaminophen,10,uM,0.894087268,0.648,0.145777298,9.469,0.6715,36.032,5,2,0,NA,NA,0,NA,NA,NA,0.000355055,0.992775077,1.696633194,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,A7,Acetaminophen,30,uM,0.241403562,0.075,NA,0,NA,NA,4,0,0,NA,NA,0,NA,NA,NA,0.000347334,1.167573227,1.035008278,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,A8,Acetaminophen,0,uM,0.453004216,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,-0.000297798,1.508088655,1.026606529,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,B1,Bisindolymaleimide 1,0,uM,1.469554345,2.748,0.13053541,32.726,1.19,50.286,5,2,0,NA,NA,0,NA,NA,NA,-0.000372004,0.849899852,1.761001631,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,B2,Bisindolymaleimide 1,0.03,uM,1.521393344,1.73,0.116076625,47.911,2.65,34.0385,6,2,0,NA,NA,0,NA,NA,NA,-0.000118885,0.467723166,2.243467516,ON_20140205_MW1007-26_DIV05_001.h5
