treatment,apid,rowi,coli,wllt,wllq,conc,rval,srcf,acsn
DMSO,MW1007-104,1,1,n,1,0,3.905012,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-26a,1,1,n,1,0,9.654641,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-26b,1,1,n,1,0,13.959568,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-27a,1,1,n,1,0,10.00903,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-27b,1,1,n,1,0,10.229088,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-38,1,1,n,1,0,8.040535,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-104,1,8,n,1,0,3.760178,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-26a,1,8,n,1,0,7.340491,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-27a,1,8,n,1,0,4.016808,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-27b,1,8,n,1,0,7.724141,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-38,1,8,n,1,0,5.970064,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-104,2,1,n,1,0,6.355935,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-26a,2,1,n,1,0,14.650192,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-26b,2,1,n,1,0,5.688052,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-27a,2,1,n,1,0,8.050419,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-27b,2,1,n,1,0,7.250382,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-38,2,1,n,1,0,2.993079,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-26b,2,7,n,1,0,0.746891,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-26a,2,8,n,1,0,14.218766,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-27a,2,8,n,1,0,10.997324,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-27b,2,8,n,1,0,8.417841,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-38,2,8,n,1,0,1.958501,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-104,3,1,n,1,0,10.148472,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-26a,3,1,n,1,0,12.203953,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-26b,3,1,n,1,0,5.805272,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
