"date","plate.SN","well","treatment","dose","units","NHEERL_MEA_dev_firing_rate_mean","NHEERL_MEA_dev_burst_rate","NHEERL_MEA_dev_per_burst_interspike_interval","NHEERL_MEA_dev_per_burst_spike_percent","NHEERL_MEA_dev_burst_duration_mean","NHEERL_MEA_dev_interburst_interval_mean","NHEERL_MEA_dev_active_electrodes_number","NHEERL_MEA_dev_bursting_electrodes_number","NHEERL_MEA_dev_network_spike_number","NHEERL_MEA_dev_network_spike_peak","NHEERL_MEA_dev_spike_duration_mean","NHEERL_MEA_dev_per_network_spike_spike_percent","NHEERL_MEA_dev_per_network_spike_interspike_interval_mean","NHEERL_MEA_dev_network_spike_duration_std","NHEERL_MEA_dev_per_network_spike_spike_number_mean","NHEERL_MEA_dev_correlation_coefficient_mean","NHEERL_MEA_dev_mutual_information_norm"
"20140205","MW1007-26","A1","Acetaminophen","0.00000","uM",9.654641,17.073214,0.263361,423.71825,4.859116,227.752107,102,92,352,83.436147,1.470189,83.156534,177.031215,0.636203,356.324675,1.599261,0.049872
"20140212","MW1007-27","A1","Acetaminophen","0.00000","uM",10.00903,13.154545,0.397381,222.342286,3.780607,197.528464,79.5,54,548.5,56.543501,0.882171,63.379201,952.631664,0.310229,143.597834,0.653788,0.024226
"20140402","MW1007-27","A1","Acetaminophen","0.00000","uM",10.229088,21.467875,0.319011,574.142248,4.373842,267.093592,116.5,106.5,431.5,98.246456,1.397618,106.810105,99.272744,0.553484,371.316543,2.107717,0.07653
"20140423","MW1007-38","A1","Acetaminophen","0.00000","uM",8.040535,15.409675,0.235936,345.328686,2.483122,164.486083,65.5,50.5,488,52.645556,0.697698,109.604455,219.219792,0.241286,147.153122,1.310437,0.038699
"20140205","MW1007-26","A8","Acetaminophen","0.00000","uM",7.340491,13.703654,0.233511,367.197917,2.874649,215.040951,92.5,82,354,78.628788,1.003392,112.004598,169.58011,0.405387,304.813447,1.617117,0.047749
"20140212","MW1007-27","A8","Acetaminophen","0.00000","uM",4.016808,8.50875,0.318406,144.3315,2.302167,225.652333,40,26,185.5,31.31448,0.412094,37.2105,168.520648,0.100483,74.11991,0.39726,0.006286
"20140402","MW1007-27","A8","Acetaminophen","0.00000","uM",7.724141,15.031374,0.246556,632.660363,4.35906,446.76072,104.5,90,391,95.380977,1.58179,147.490324,363.303262,0.72026,388.641762,2.589068,0.067863
"20140423","MW1007-38","A8","Acetaminophen","0.00000","uM",5.970064,12.123506,0.174856,390.852173,1.566615,246.649288,65,52.5,620.5,54.159982,0.606441,149.711434,156.659266,0.246784,174.800079,1.719964,0.048323
"20140730","MW1007-104","A1","Bisindolymaleimide 1","0.00000","uM",2.325199,6.011538,0.05849,153.364792,0.763958,99.799375,32.5,30,200,23.625,0.288281,68.687052,27.686709,0.097987,94.625,0.748868,0.021177
"20140730","MW1007-104","A8","Bisindolymaleimide 1","0.00000","uM",2.083808,4.025,0.144961,104.573056,1.524167,101.838611,30,22.5,67.5,24.814815,0.338783,19.492269,75.706731,0.085508,65.833333,0.235896,0.003747
"20140205","MW1007-26","B1","Bisindolymaleimide 1","0.00000","uM",14.650192,28.57125,0.559626,493.955844,8.55575,294.005313,108.5,101,522.5,81.298412,1.199672,78.837954,153.46369,0.727972,289.327972,1.582602,0.060432
"20140716","MW1007-26","B1","Bisindolymaleimide 1","0.00000","uM",5.688052,8.354,0.266359,386.49925,2.239214,368.449893,53.5,40.5,180,41.916667,0.483334,69.249283,126.920093,0.107167,138.377778,0.790758,0.018501
"20140212","MW1007-27","B1","Bisindolymaleimide 1","0.00000","uM",8.050419,14.985495,0.550101,221.606575,5.104994,142.562276,69,50.5,747,33.847781,0.429248,73.189577,40.743981,0.2858,77.009631,0.505994,0.022358
