"date","Plate.SN","DIV","well","trt","dose","units","meanfiringrate","burst.per.min","mean.isis","per.spikes.in.burst","mean.dur","mean.IBIs","nAE","nABE","ns.n","ns.peak.m","ns.durn.m","ns.percent.of.spikes.in.ns","ns.mean.insis","ns.durn.sd","ns.mean.spikes.in.ns","r","cv.time","cv.network","file.name"
"20140730","MW1007-104","5","B3","Glyphosate","0.3","uM",0.177262204746532,0,NA,0,NA,NA,3,0,0,NA,NA,0,NA,NA,NA,0.00244243236785905,1.55677652270872,1.30495007917228,"ON_20140730_MW1007-104_05_00_001.h5"
"20140730","MW1007-104","5","B4","Glyphosate","1","uM",0.860275637410515,0.03,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,-0.00329945893157077,0.391320581380192,0.678720773335119,"ON_20140730_MW1007-104_05_00_001.h5"
"20140730","MW1007-104","5","B5","Glyphosate","3","uM",0.239857920797652,0.03,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,-0.00234620586417317,1.69173915745116,1.4456462124155,"ON_20140730_MW1007-104_05_00_001.h5"
"20140730","MW1007-104","5","B7","Glyphosate","30","uM",0.166183316949874,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,0.21483446221183,0.483035878123616,"ON_20140730_MW1007-104_05_00_001.h5"
"20140730","MW1007-104","5","C1","Sodium Orthovanadate","0","uM",0.273648528577459,0,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,0.00149570084792357,0.678464220792691,1.20378831149506,"ON_20140730_MW1007-104_05_00_001.h5"
"20140730","MW1007-104","5","C3","Sodium Orthovanadate","0.03","uM",0.151780762814218,0.03,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,-0.0013291807986082,1.12184656289103,1.23533205179834,"ON_20140730_MW1007-104_05_00_001.h5"
"20140730","MW1007-104","5","C4","Sodium Orthovanadate","0.1","uM",1.65540741457668,0.3,0.137525925925927,3.746,1.061,43.858,5,1,0,NA,NA,0,NA,NA,NA,0.000297146367719923,1.26797251917739,2.2230676423541,"ON_20140730_MW1007-104_05_00_001.h5"
"20140730","MW1007-104","5","C5","Sodium Orthovanadate","0.3","uM",0.282511638814786,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,1.88798927802253,1.45381903971703,"ON_20140730_MW1007-104_05_00_001.h5"
"20140730","MW1007-104","5","C6","Sodium Orthovanadate","1","uM",0.210498868136507,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,1.93858089410306,1.50484848159153,"ON_20140730_MW1007-104_05_00_001.h5"
"20140730","MW1007-104","5","C7","Sodium Orthovanadate","3","uM",1.75711160455,1.14,0.250647179487179,5.99,1.15,48.459,1,1,0,NA,NA,0,NA,NA,NA,0,0.586226504901348,1.28287974171911,"ON_20140730_MW1007-104_05_00_001.h5"
