"date","Plate.SN","well","treatment","dose","units","wllq","wllq_notes","meanfiringrate_auc","burst.per.min_auc","mean.isis_auc","per.spikes.in.burst_auc","mean.dur_auc","mean.IBIs_auc","nAE_auc","nABE_auc","ns.n_auc","ns.peak.m_auc","ns.durn.m_auc","ns.percent.of.spikes.in.ns_auc","ns.mean.insis_auc","ns.durn.sd_auc","ns.mean.spikes.in.ns_auc","r_auc","mi_auc"
"20210217","MW75-5809","A2","DMSO","0.00000","uM","1","",16.480486,21.171161,0.392542,488.196125,10.646438,350.093562,113.5,106,198,83.840897,2.209794,37.712768,245.405407,1.563896,470.650756,1.552576,0.084768
"20210217","MW75-5810","A2","DMSO","0.00000","uM","1","",7.709335,8.676779,0.115153,435.7198,3.055044,342.188138,100,84,125,90.954108,1.63622,68.33482,345.372976,0.563214,561.456033,1.836697,0.059593
"20210217","MW75-5811","A2","DMSO","0.00000","uM","1","",10.201124,12.73825,0.302083,485.020313,17.991476,500.267823,109,89.5,173,84.43018,1.838924,46.132464,383.614524,0.969127,524.119369,1.816416,0.072412
"20210217","MW75-5809","B2","DMSO","0.00000","uM","1","",5.025763,8.021786,0.188472,349.081859,2.692063,317.516853,75.5,65,99.5,84.916667,1.288319,71.735923,544.927935,0.486825,516.78869,1.51074,0.040059
"20210217","MW75-5810","B2","DMSO","0.00000","uM","1","",4.399526,4.458896,0.284068,284.859733,2.9655,318.010167,67.5,24.5,54,83.03125,1.226618,84.670691,604.855714,0.341915,560.275,1.898985,0.019197
"20210217","MW75-5811","B2","DMSO","0.00000","uM","1","",6.321689,6.2785,0.41739,402.598726,4.914998,528.978474,116.5,77.5,68,86.241667,1.7785,63.871963,479.399495,0.706687,574.275,1.763123,0.035841
"20210217","MW75-5809","C2","DMSO","0.00000","uM","1","",4.336239,4.773,0.227797,418.712443,4.1084,342.677171,71,44,58,87.263636,1.173827,104.897994,788.750595,0.323242,600.345455,2.23293,0.029968
"20210217","MW75-5810","C2","DMSO","0.00000","uM","1","",4.094347,2.505577,0.025001,139.253654,0.620654,105.4335,69,19.5,32.5,84.625,1.34657,98.034057,546.390341,0.168506,655.25,2.019764,0.016893
"20210217","MW75-5811","C2","DMSO","0.00000","uM","1","",2.870794,2.769275,0.149191,464.203313,2.775125,457.028688,91,18.5,30,94.5,2.028774,103.509052,1177.514286,0.288826,914.625,2.337863,0.016508
"20210217","MW75-5809","D2","DMSO","0.00000","uM","1","",2.552632,2.667273,0.075594,385.9415,2.10025,139.4315,58.5,9.5,30,82.333333,1.414908,138.019165,1014.585,0.280823,677.333333,2.069327,0.016645
"20210217","MW75-5810","D2","DMSO","0.00000","uM","1","",2.775403,2.3775,0.207087,267.778333,2.466167,355.571333,72.5,9.5,27.5,88.25,1.575807,97.166644,1058.308333,0.154558,805.166667,1.983134,0.032018
"20210217","MW75-5811","D2","DMSO","0.00000","uM","1","",3.821425,4.569613,0.460244,304.085344,3.813906,401.637687,89.5,28.5,42,95.166667,1.747996,93.377525,935.184615,0.347202,780.02381,2.342962,0.032343
"20210217","MW75-5809","E2","DMSO","0.00000","uM","1","",4.844559,4.376318,0.129722,374.6694,4.2031,361.6179,74,27,48.5,86.975,1.415587,79.421647,1074.2625,0.176969,577.15,1.789522,0.033261
"20210217","MW75-5810","E2","DMSO","0.00000","uM","1","",5.434222,7.660455,0.283789,416.55815,3.552,337.84095,46,20,63,54,1.309369,105.157744,699.925435,0.356123,403.4375,2.054936,0.032131
