"date","Plate.SN","rowi","coli","src_acsn","treatment","conc","rval","srcf","wllq","wllq_notes"
"20210217","MW75-5809",1,1,"AB","3360 G10",0.03,22386.6666666667,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",0,"need C. Oxon only"
"20210217","MW75-5809",1,1,"LDH","3360 G10",0.03,0.631733333333333,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",0,"need C. Oxon only"
"20210217","MW75-5809",1,2,"AB","DMSO",0,22379.6666666667,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",1,""
"20210217","MW75-5809",1,2,"LDH","DMSO",0,0.621733333333333,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",1,""
"20210217","MW75-5809",1,3,"AB","3360 G10",0.1,24702.6666666667,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",0,"need C. Oxon only"
"20210217","MW75-5809",1,3,"LDH","3360 G10",0.1,0.661733333333333,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",0,"need C. Oxon only"
"20210217","MW75-5809",1,4,"AB","3360 G10",0.3,24429.6666666667,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",0,"need C. Oxon only"
"20210217","MW75-5809",1,4,"LDH","3360 G10",0.3,0.783433333333333,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",0,"need C. Oxon only"
"20210217","MW75-5809",1,5,"AB","3360 G10",1,23896.6666666667,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",0,"need C. Oxon only"
"20210217","MW75-5809",1,5,"LDH","3360 G10",1,0.637133333333333,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",0,"need C. Oxon only"
"20210217","MW75-5809",1,6,"AB","3360 G10",3,25081.6666666667,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",0,"need C. Oxon only"
"20210217","MW75-5809",1,6,"LDH","3360 G10",3,0.684433333333333,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",0,"need C. Oxon only"
"20210217","MW75-5809",1,7,"AB","3360 G10",10,25809.6666666667,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",0,"need C. Oxon only"
"20210217","MW75-5809",1,7,"LDH","3360 G10",10,0.611633333333333,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",0,"need C. Oxon only"
"20210217","MW75-5809",1,8,"AB","3360 G10",30,16738.6666666667,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",0,"need C. Oxon only"
"20210217","MW75-5809",1,8,"LDH","3360 G10",30,0.206533333333333,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",0,"need C. Oxon only"
"20210217","MW75-5809",2,1,"AB","3360 H02",0.03,23373.6666666667,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",0,"need C. Oxon only"
"20210217","MW75-5809",2,1,"LDH","3360 H02",0.03,0.745233333333333,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",0,"need C. Oxon only"
"20210217","MW75-5809",2,2,"AB","DMSO",0,23480.6666666667,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",1,""
"20210217","MW75-5809",2,2,"LDH","DMSO",0,0.767533333333333,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",1,""
"20210217","MW75-5809",2,3,"AB","3360 H02",0.1,22626.6666666667,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",0,"need C. Oxon only"
"20210217","MW75-5809",2,3,"LDH","3360 H02",0.1,0.781333333333333,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",0,"need C. Oxon only"
"20210217","MW75-5809",2,4,"AB","3360 H02",0.3,22328.6666666667,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",0,"need C. Oxon only"
"20210217","MW75-5809",2,4,"LDH","3360 H02",0.3,0.772133333333333,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",0,"need C. Oxon only"
"20210217","MW75-5809",2,5,"AB","3360 H02",1,23085.6666666667,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",0,"need C. Oxon only"
"20210217","MW75-5809",2,5,"LDH","3360 H02",1,0.846933333333333,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",0,"need C. Oxon only"
"20210217","MW75-5809",2,6,"AB","3360 H02",3,22973.6666666667,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",0,"need C. Oxon only"
"20210217","MW75-5809",2,6,"LDH","3360 H02",3,0.707833333333333,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",0,"need C. Oxon only"
"20210217","MW75-5809",2,7,"AB","3360 H02",10,23777.6666666667,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",0,"need C. Oxon only"
"20210217","MW75-5809",2,7,"LDH","3360 H02",10,0.570833333333333,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",0,"need C. Oxon only"
"20210217","MW75-5809",2,8,"AB","3360 H02",30,1305.66666666667,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",0,"need C. Oxon only"
"20210217","MW75-5809",2,8,"LDH","3360 H02",30,0.0375333333333333,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",0,"need C. Oxon only"
"20210217","MW75-5809",3,1,"AB","3360 H07",0.03,23597.6666666667,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",0,"need C. Oxon only"
"20210217","MW75-5809",3,1,"LDH","3360 H07",0.03,0.650833333333333,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",0,"need C. Oxon only"
"20210217","MW75-5809",3,2,"AB","DMSO",0,22171.6666666667,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",1,""
"20210217","MW75-5809",3,2,"LDH","DMSO",0,0.670833333333333,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",1,""
"20210217","MW75-5809",3,3,"AB","3360 H07",0.1,22912.6666666667,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",0,"need C. Oxon only"
"20210217","MW75-5809",3,3,"LDH","3360 H07",0.1,0.792133333333333,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",0,"need C. Oxon only"
"20210217","MW75-5809",3,4,"AB","3360 H07",0.3,21372.6666666667,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",0,"need C. Oxon only"
"20210217","MW75-5809",3,4,"LDH","3360 H07",0.3,0.718633333333333,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",0,"need C. Oxon only"
"20210217","MW75-5809",3,5,"AB","3360 H07",1,22026.6666666667,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",0,"need C. Oxon only"
"20210217","MW75-5809",3,5,"LDH","3360 H07",1,0.723633333333333,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",0,"need C. Oxon only"
"20210217","MW75-5809",3,6,"AB","3360 H07",3,22870.6666666667,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",0,"need C. Oxon only"
"20210217","MW75-5809",3,6,"LDH","3360 H07",3,0.681933333333333,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",0,"need C. Oxon only"
"20210217","MW75-5809",3,7,"AB","3360 H07",10,13923.6666666667,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",0,"need C. Oxon only"
"20210217","MW75-5809",3,7,"LDH","3360 H07",10,0.368533333333333,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",0,"need C. Oxon only"
"20210217","MW75-5809",3,8,"AB","3360 H07",30,782.666666666667,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",0,"need C. Oxon only"
"20210217","MW75-5809",3,8,"LDH","3360 H07",30,0.0116333333333333,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",0,"need C. Oxon only"
"20210217","MW75-5809",4,1,"AB","3361 A03",0.03,21507.6666666667,"20210217_NFA_PFAS_Group_4_ Calculations.xlsx",0,"need C. Oxon only"
