date,Plate.SN,DIV,well,wllq,wllq_notes,affected_endpoints
20210217,MW75-5809,all,A1,0,need C. Oxon only,"mea, CTB, LDH"
20210217,MW75-5809,all,A3,0,need C. Oxon only,"mea, CTB, LDH"
20210217,MW75-5809,all,A4,0,need C. Oxon only,"mea, CTB, LDH"
20210217,MW75-5809,all,A5,0,need C. Oxon only,"mea, CTB, LDH"
20210217,MW75-5809,all,A6,0,need C. Oxon only,"mea, CTB, LDH"
20210217,MW75-5809,all,A7,0,need C. Oxon only,"mea, CTB, LDH"
20210217,MW75-5809,all,A8,0,need C. Oxon only,"mea, CTB, LDH"
20210217,MW75-5809,all,B1,0,need C. Oxon only,"mea, CTB, LDH"
20210217,MW75-5809,all,B3,0,need C. Oxon only,"mea, CTB, LDH"
20210217,MW75-5809,all,B4,0,need C. Oxon only,"mea, CTB, LDH"
20210217,MW75-5809,all,B5,0,need C. Oxon only,"mea, CTB, LDH"
20210217,MW75-5809,all,B6,0,need C. Oxon only,"mea, CTB, LDH"
20210217,MW75-5809,all,B7,0,need C. Oxon only,"mea, CTB, LDH"
20210217,MW75-5809,all,B8,0,need C. Oxon only,"mea, CTB, LDH"
20210217,MW75-5809,all,C1,0,need C. Oxon only,"mea, CTB, LDH"
20210217,MW75-5809,all,C3,0,need C. Oxon only,"mea, CTB, LDH"
20210217,MW75-5809,all,C4,0,need C. Oxon only,"mea, CTB, LDH"
20210217,MW75-5809,all,C5,0,need C. Oxon only,"mea, CTB, LDH"
20210217,MW75-5809,all,C6,0,need C. Oxon only,"mea, CTB, LDH"
20210217,MW75-5809,all,C7,0,need C. Oxon only,"mea, CTB, LDH"
20210217,MW75-5809,all,C8,0,need C. Oxon only,"mea, CTB, LDH"
20210217,MW75-5809,all,D1,0,need C. Oxon only,"mea, CTB, LDH"
20210217,MW75-5809,all,D3,0,need C. Oxon only,"mea, CTB, LDH"
20210217,MW75-5809,all,D4,0,need C. Oxon only,"mea, CTB, LDH"
20210217,MW75-5809,all,D5,0,need C. Oxon only,"mea, CTB, LDH"
20210217,MW75-5809,all,D6,0,need C. Oxon only,"mea, CTB, LDH"
20210217,MW75-5809,all,D7,0,need C. Oxon only,"mea, CTB, LDH"
20210217,MW75-5809,all,D8,0,need C. Oxon only,"mea, CTB, LDH"
20210217,MW75-5809,all,E1,0,need C. Oxon only,"mea, CTB, LDH"
20210217,MW75-5809,all,E3,0,need C. Oxon only,"mea, CTB, LDH"
20210217,MW75-5809,all,E4,0,need C. Oxon only,"mea, CTB, LDH"
20210217,MW75-5809,all,E5,0,need C. Oxon only,"mea, CTB, LDH"
20210217,MW75-5809,all,E6,0,need C. Oxon only,"mea, CTB, LDH"
20210217,MW75-5809,all,E7,0,need C. Oxon only,"mea, CTB, LDH"
20210217,MW75-5809,all,E8,0,need C. Oxon only,"mea, CTB, LDH"
20210217,MW75-5810,all,A1,0,need C. Oxon only,"mea, CTB, LDH"
20210217,MW75-5810,all,A3,0,need C. Oxon only,"mea, CTB, LDH"
20210217,MW75-5810,all,A4,0,need C. Oxon only,"mea, CTB, LDH"
20210217,MW75-5810,all,A5,0,need C. Oxon only,"mea, CTB, LDH"
20210217,MW75-5810,all,A6,0,need C. Oxon only,"mea, CTB, LDH"
20210217,MW75-5810,all,A7,0,need C. Oxon only,"mea, CTB, LDH"
20210217,MW75-5810,all,A8,0,need C. Oxon only,"mea, CTB, LDH"
20210217,MW75-5810,all,B1,0,need C. Oxon only,"mea, CTB, LDH"
20210217,MW75-5810,all,B3,0,need C. Oxon only,"mea, CTB, LDH"
20210217,MW75-5810,all,B4,0,need C. Oxon only,"mea, CTB, LDH"
