date,Plate.SN,DIV,well,wllq,wllq_notes,affected_endpoints
20210818,MW75-9205,all,D6,0,compound precipitated out of dosing solution at this concentration,"mea,CTB,LDH"
20210818,MW75-9205,all,D7,0,compound precipitated out of dosing solution at this concentration,"mea,CTB,LDH"
20210818,MW75-9205,all,D8,0,compound precipitated out of dosing solution at this concentration,"mea,CTB,LDH"
20210818,MW75-9206,all,E6,0,compound precipitated out of dosing solution at this concentration,"mea,CTB,LDH"
20210818,MW75-9206,all,E7,0,compound precipitated out of dosing solution at this concentration,"mea,CTB,LDH"
20210818,MW75-9206,all,E8,0,compound precipitated out of dosing solution at this concentration,"mea,CTB,LDH"
20210818,MW75-9207,all,F6,0,compound precipitated out of dosing solution at this concentration,"mea,CTB,LDH"
20210818,MW75-9207,all,F7,0,compound precipitated out of dosing solution at this concentration,"mea,CTB,LDH"
20210818,MW75-9207,all,F8,0,compound precipitated out of dosing solution at this concentration,"mea,CTB,LDH"
20210818,MW75-9206,12,all,1,5% CO2 ran out during reading,mea
20210818,MW75-9207,12,all,1,5% CO2 ran out during reading,mea
20210818,MW75-9207,12,E1,0,contamination,"mea,CTB,LDH"
20210818,MW75-9207,12,F1,0,contamination,"mea,CTB,LDH"
20210818,MW75-9207,12,F7,0,contamination,"mea,CTB,LDH"
20210818,MW75-9207,12,F8,0,contamination,"mea,CTB,LDH"
