"date","Plate.SN","well","treatment","dose","units","wllq","wllq_notes","meanfiringrate_auc","burst.per.min_auc","mean.isis_auc","per.spikes.in.burst_auc","mean.dur_auc","mean.IBIs_auc","nAE_auc","nABE_auc","ns.n_auc","ns.peak.m_auc","ns.durn.m_auc","ns.percent.of.spikes.in.ns_auc","ns.mean.insis_auc","ns.durn.sd_auc","ns.mean.spikes.in.ns_auc","r_auc","mi_auc"
"20210818","MW75-9205","A2","DMSO","0.00000","uM","1","",5.860352,3.484286,0.360797,160.989519,2.481981,172.621731,40.5,24.5,31.5,22.928571,0.429925,25.58344,64.68375,0.044188,152.428571,0.520761,0.009188
"20210818","MW75-9206","A2","DMSO","0.00000","uM","1","",8.69445,7.628464,0.684416,311.557938,51.32775,88.796406,51.5,31,46.5,23.516129,0.392502,26.245029,43.4275,0.065086,134.129032,0.657471,0.014719
"20210818","MW75-9207","A2","DMSO","0.00000","µg/ml","1","",9.262369,8.544696,0.628996,182.6896,8.5185,253.5821,54,34,33,22.704545,0.462054,24.313563,57.714286,0.10929,133.227273,0.456688,0.01047
"20210818","MW75-9205","B2","DMSO","0.00000","µg/ml","1","",3.343671,5.22775,0.187941,245.44,1.931875,139.412531,51.5,29,41,60.875,0.804782,24.043243,1285.675,0.184395,204,0.515183,0.007718
"20210818","MW75-9206","B2","DMSO","0.00000","uM","1","",5.117426,5.753798,0.538787,231.992719,4.531594,278.601281,64.5,38.5,60,61.016667,1.139266,26.551066,376.015517,0.168564,235.3,0.623189,0.011174
"20210818","MW75-9207","B2","DMSO","0.00000","uM","1","",7.407555,6.142909,0.256752,192.395964,57.882214,113.801911,52,31,64.5,54.657895,1.163042,17.85722,526.952027,0.235737,222.096491,0.351425,0.007263
"20210818","MW75-9205","C2","DMSO","0.00000","uM","1","",8.070748,14.916,0.955479,344.183967,10.112,103.458233,55.5,32,40,52.675,0.865496,15.613478,566.324561,0.340019,172.6,0.337515,0.005092
"20210818","MW75-9206","C2","DMSO","0.00000","µg/ml","1","",11.700222,15.88125,0.742486,288.180802,6.073646,217.886219,58.5,36,50.5,53.611111,1.078035,24.429079,405.521795,0.327255,213.083333,0.704576,0.014495
"20210818","MW75-9207","C2","DMSO","0.00000","uM","1","",3.28193,5.715,0.222292,210.129875,2.193333,197.805625,30.5,25.5,44.5,46.505435,0.526713,27.164537,744.33447,0.076128,148.032609,0.466363,0.004471
"20210818","MW75-9205","D2","DMSO","0.00000","uM","1","",7.341426,7.828125,0.344311,277.390313,16.623188,66.941062,52.5,29,42.5,48.21,0.728701,29.65732,888.8125,0.160406,185.7,0.532501,0.00895
"20210818","MW75-9206","D2","DMSO","0.00000","uM","1","",5.170865,6.89,0.237025,208.698667,1.7829,94.746033,51,30,36.5,60.107143,0.802708,17.146193,935.01125,0.184123,194.071429,0.357108,0.006568
"20210818","MW75-9207","D2","DMSO","0.00000","uM","1","",7.673003,8.230158,0.469485,206.741729,7.0332,267.030043,70.5,44,51.5,56.769231,1.250804,19.105761,480.3555,0.288918,258.269231,0.418456,0.009959
"20210818","MW75-9205","E2","DMSO","0.00000","uM","1","",6.978366,7.11,0.331534,227.885933,7.153833,128.9964,49.5,30,41.5,52.303571,0.970906,24.056072,630.850833,0.240059,152.267857,0.495929,0.004844
"20210818","MW75-9206","E2","DMSO","0.00000","uM","1","",5.29502,5.647385,0.336743,183.3764,2.94685,115.6933,63,27.5,45.5,57.305556,1.294869,19.467321,705.963462,0.198612,200.027778,0.530739,0.008831
"20210818","MW75-9207","E2","DMSO","0.00000","uM","1","",5.540572,4.770682,0.482073,181.764375,3.36675,280.325,67.5,36,48,60.944444,0.897071,28.62406,563.775,0.232681,237.555556,0.562293,0.011139
"20210818","MW75-9205","F2","DMSO","0.00000","uM","1","",5.450436,17.797692,0.62465,348.552375,3.336125,422.36275,39,25,30,22.5,0.27221,27.094039,69.098684,0.045561,105.45,0.444171,0.00548
"20210818","MW75-9206","F2","DMSO","0.00000","uM","1","",3.293814,3.058125,0.037131,98.0529,0.5028,51.1439,33.5,22.5,52.5,21.128571,0.379932,17.941493,37.180147,0.065289,80.957143,0.382579,0.008603
"20210818","MW75-9207","F2","DMSO","0.00000","uM","1","",12.401443,6.464,0.611295,338.5539,138.384925,129.360075,43.5,34.5,45,23,0.399421,30.971863,42.478448,0.051236,123.65,0.613427,0.012887
"20210818","MW75-9207","A1","6-PPD Quinone","0.00267","µg/ml","1","",5.133199,4.785,0.456735,113.974107,3.75925,157.342179,28,23.5,48,22.171875,0.281403,18.809582,41.753226,0.040242,96.1875,0.36635,0.006224
"20210818","MW75-9205","B1","6-PPD Quinone","0.00267","µg/ml","1","",9.406521,7.992857,0.634457,174.352808,5.423205,189.753526,40.5,29,24,22.40625,0.40274,12.243686,70.78,0.068849,96.65625,0.44424,0.005699
"20210818","MW75-9206","C1","6-PPD Quinone","0.00267","µg/ml","1","",6.260859,2.84375,0.030147,120.494719,0.431812,63.925125,37.5,24,34.5,23.608696,0.423302,32.817267,56.451136,0.037526,126.26087,0.526909,0.011371
"20210818","MW75-9207","A3","6-PPD Quinone","0.00890","µg/ml","1","",3.018185,2.623333,0.290113,171.60115,1.9356,177.15945,45,27.5,28.5,22.5,0.429376,36.495536,64.095833,0.054949,154.894737,0.628876,0.010642
"20210818","MW75-9205","B3","6-PPD Quinone","0.00890","µg/ml","1","",10.089904,12.966964,0.458532,252.549552,8.363531,150.555292,78,45,55,62.05,1.416642,19.22594,604.155747,0.233278,347.45,0.525435,0.017402
