"date","Plate.SN","rowi","coli","src_acsn","treatment","conc","rval","srcf","wllq","wllq_notes"
"20210818","MW75-9205",1,1,"AB","6-PPD",0.03,10107.6666666667,"20210818_NFA_False_Negatice_Repeats__Calculations.xlsx",1,""
"20210818","MW75-9205",1,1,"LDH","6-PPD",0.03,0.1672,"20210818_NFA_False_Negatice_Repeats__Calculations.xlsx",1,""
"20210818","MW75-9205",1,2,"AB","6-PPD",0,21072.6666666667,"20210818_NFA_False_Negatice_Repeats__Calculations.xlsx",1,""
"20210818","MW75-9205",1,2,"LDH","6-PPD",0,0.7053,"20210818_NFA_False_Negatice_Repeats__Calculations.xlsx",1,""
"20210818","MW75-9205",1,3,"AB","6-PPD",0.1,19287.6666666667,"20210818_NFA_False_Negatice_Repeats__Calculations.xlsx",1,""
"20210818","MW75-9205",1,3,"LDH","6-PPD",0.1,0.8159,"20210818_NFA_False_Negatice_Repeats__Calculations.xlsx",1,""
"20210818","MW75-9205",1,4,"AB","6-PPD",0.3,18629.6666666667,"20210818_NFA_False_Negatice_Repeats__Calculations.xlsx",1,""
"20210818","MW75-9205",1,4,"LDH","6-PPD",0.3,0.781,"20210818_NFA_False_Negatice_Repeats__Calculations.xlsx",1,""
"20210818","MW75-9205",1,5,"AB","6-PPD",1,20144.6666666667,"20210818_NFA_False_Negatice_Repeats__Calculations.xlsx",1,""
"20210818","MW75-9205",1,5,"LDH","6-PPD",1,0.7736,"20210818_NFA_False_Negatice_Repeats__Calculations.xlsx",1,""
"20210818","MW75-9205",1,6,"AB","6-PPD",3,18443.6666666667,"20210818_NFA_False_Negatice_Repeats__Calculations.xlsx",1,""
"20210818","MW75-9205",1,6,"LDH","6-PPD",3,0.7445,"20210818_NFA_False_Negatice_Repeats__Calculations.xlsx",1,""
"20210818","MW75-9205",1,7,"AB","6-PPD",10,1138.66666666667,"20210818_NFA_False_Negatice_Repeats__Calculations.xlsx",1,""
"20210818","MW75-9205",1,7,"LDH","6-PPD",10,0.0162,"20210818_NFA_False_Negatice_Repeats__Calculations.xlsx",1,""
"20210818","MW75-9205",1,8,"AB","6-PPD",30,396.666666666667,"20210818_NFA_False_Negatice_Repeats__Calculations.xlsx",1,""
"20210818","MW75-9205",1,8,"LDH","6-PPD",30,0.000899999999999998,"20210818_NFA_False_Negatice_Repeats__Calculations.xlsx",1,""
"20210818","MW75-9205",2,1,"AB","6-PPD Quinone",0.00267,21532.6666666667,"20210818_NFA_False_Negatice_Repeats__Calculations.xlsx",1,""
"20210818","MW75-9205",2,1,"LDH","6-PPD Quinone",0.00267,0.7923,"20210818_NFA_False_Negatice_Repeats__Calculations.xlsx",1,""
"20210818","MW75-9205",2,2,"AB","6-PPD Quinone",0,22671.6666666667,"20210818_NFA_False_Negatice_Repeats__Calculations.xlsx",1,""
"20210818","MW75-9205",2,2,"LDH","6-PPD Quinone",0,1.0367,"20210818_NFA_False_Negatice_Repeats__Calculations.xlsx",1,""
