"date","Plate.SN","well","DIV","treatment","dose","units","file.name","meanfiringrate","burst.per.min","mean.isis","per.spikes.in.burst","mean.dur","mean.IBIs","nAE","nABE","ns.n","ns.peak.m","ns.durn.m","ns.percent.of.spikes.in.ns","ns.mean.insis","ns.durn.sd","ns.mean.spikes.in.ns","r","mi","wllq","wllq_notes"
"20210818","MW75-9205","A1",12,"6-PPD","0.03000","uM","NFA_20210818_MW75-9205_12(000).h5",2.80403464540584,0.318,0.124910103329506,51.235,10.362,11.333,10,1,0,NA,NA,0,NA,NA,NA,-6.95189323367807e-05,1.82458648854768e-05,1,""
"20210818","MW75-9205","A1",5,"6-PPD","0.03000","uM","NFA_20210818_MW75-9205_05(000)(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20210818","MW75-9205","A1",7,"6-PPD","0.03000","uM","NFA_20210818_MW75-9205_07(000)(000).h5",0.758931321582336,0,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,-0.00369474055974886,0,1,""
"20210818","MW75-9205","A1",9,"6-PPD","0.03000","uM","NFA_20210818_MW75-9205_09(000).h5",3.42705531466538,0.06,NA,0,NA,NA,3,0,0,NA,NA,0,NA,NA,NA,-0.000867047014342206,5.51932044502712e-06,1,""
"20210818","MW75-9205","A2",12,"DMSO","0.00000","uM","NFA_20210818_MW75-9205_12(000).h5",0.986758223692084,1.33714285714286,0.0242658398531232,76.3138461538462,0.607153846153846,41.7611538461538,14,13,21,15.2857142857143,0.286616591080877,17.0556265984655,43.1225,0.0294585419546185,101.619047619048,0.346552849178168,0.00610443693890972,1,""
"20210818","MW75-9205","A2",5,"DMSO","0.00000","uM","NFA_20210818_MW75-9205_05(000)(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20210818","MW75-9205","A2",7,"DMSO","0.00000","uM","NFA_20210818_MW75-9205_07(000)(000).h5",0.322240239032031,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20210818","MW75-9205","A2",9,"DMSO","0.00000","uM","NFA_20210818_MW75-9205_09(000).h5",1.49429368385203,0.591428571428571,0.129759382239381,18.6075,0.6285,43.992,7,2,0,NA,NA,0,NA,NA,NA,0.000372731698742871,1.2583011788303e-05,1,""
"20210818","MW75-9205","A3",12,"6-PPD","0.10000","uM","NFA_20210818_MW75-9205_12(000).h5",0.756537125214258,1.6875,0.02237869818449,78.0973333333333,0.352133333333333,33.6211333333333,16,15,32,14.28125,0.261327194940476,14.200477326969,26.7064516129032,0.0697994441291083,48.34375,0.304930357239385,0.00606689554269181,1,""
"20210818","MW75-9205","A3",5,"6-PPD","0.10000","uM","NFA_20210818_MW75-9205_05(000)(000).h5",5.7329382025044,10.8,0.148414405904059,81.934,3.724,1.842,1,1,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20210818","MW75-9205","A3",7,"6-PPD","0.10000","uM","NFA_20210818_MW75-9205_07(000)(000).h5",3.51075184559208,0.015,NA,0,NA,NA,4,0,0,NA,NA,0,NA,NA,NA,0.00045117861699969,3.09959234837121e-06,1,""
"20210818","MW75-9205","A3",9,"6-PPD","0.10000","uM","NFA_20210818_MW75-9205_09(000).h5",1.33778491263065,1.335,0.118439226734433,29.5743333333333,1.67833333333333,35.3476666666667,8,3,0,NA,NA,0,NA,NA,NA,-0.000228744238357817,6.67294412231012e-06,1,""
"20210818","MW75-9205","A4",12,"6-PPD","0.30000","uM","NFA_20210818_MW75-9205_12(000).h5",0.431513268094093,1.31571428571429,0.0186188292781991,77.7689166666667,0.22125,43.06625,14,12,24,13.9166666666667,0.20424396494709,23.1912964641886,36.1260869565217,0.0311494250318,53.2916666666667,0.320189039701153,0.00392468666705615,1,""
"20210818","MW75-9205","A4",5,"6-PPD","0.30000","uM","NFA_20210818_MW75-9205_05(000)(000).h5",0.205581230366992,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20210818","MW75-9205","A4",7,"6-PPD","0.30000","uM","NFA_20210818_MW75-9205_07(000)(000).h5",2.18123306627544,0.33,0.15930301369863,17.109,10.337,33.148,2,1,0,NA,NA,0,NA,NA,NA,-0.00219167210531325,4.7493453766978e-08,1,""
"20210818","MW75-9205","A4",9,"6-PPD","0.30000","uM","NFA_20210818_MW75-9205_09(000).h5",0.588336471127846,0.39,0.0653793348481729,19.7065,0.319,64.139,6,2,0,NA,NA,0,NA,NA,NA,0.00103809772721912,5.39678946261113e-06,1,""
"20210818","MW75-9205","A5",12,"6-PPD","1.00000","uM","NFA_20210818_MW75-9205_12(000).h5",0.63869476011546,1.63636363636364,0.0248587519348773,73.0027,0.2586,39.8324,11,10,25,11.72,0.216905158730159,17.5810473815461,34.1875,0.0422195734197434,45.12,0.291128020859167,0.00368613426837357,1,""
