"date","Plate.SN","DIV","well","trt","dose","units","meanfiringrate","burst.per.min","mean.isis","per.spikes.in.burst","mean.dur","mean.IBIs","nAE","nABE","ns.n","ns.peak.m","ns.durn.m","ns.percent.of.spikes.in.ns","ns.mean.insis","ns.durn.sd","ns.mean.spikes.in.ns","r","file.name"
"20191113","MW70-2601","5","A1","97","0.03","uM",1.53280148510741,0,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,-0.00251476928387476,"NFA_20191113_MW70-2601_05_00_000.h5"
"20191113","MW70-2601","5","A3","97","0.1","uM",0.127779754104641,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20191113_MW70-2601_05_00_000.h5"
"20191113","MW70-2601","5","A5","97","0.95","uM",1.27057520711876,2.64,0.0654193972602738,32.362,0.302,11.178,2,1,0,NA,NA,0,NA,NA,NA,-0.00265763059429214,"NFA_20191113_MW70-2601_05_00_000.h5"
"20191113","MW70-2601","5","A6","97","2.85","uM",0.428339958324689,0.27,0.105312941176465,7.083,0.448,91.465,2,1,0,NA,NA,0,NA,NA,NA,-0.000534309821756243,"NFA_20191113_MW70-2601_05_00_000.h5"
"20191113","MW70-2601","5","A8","97","28.54","uM",0.716677751282553,2.01,0.0494775663026525,62.478,0.529,7.635,2,1,0,NA,NA,0,NA,NA,NA,0.00694816520201168,"NFA_20191113_MW70-2601_05_00_000.h5"
"20191113","MW70-2601","5","B1","93","0.03","uM",0.551119635094801,0.18,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20191113_MW70-2601_05_00_000.h5"
"20191113","MW70-2601","5","B2","93","0","uM",0.181113912339622,0,NA,0,NA,NA,4,0,0,NA,NA,0,NA,NA,NA,-0.00157671397771723,"NFA_20191113_MW70-2601_05_00_000.h5"
"20191113","MW70-2601","5","B3","93","0.1","uM",0.743344830400044,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20191113_MW70-2601_05_00_000.h5"
"20191113","MW70-2601","5","B4","93","0.3","uM",0.205780960523301,0.588,0.0247406392837509,72.4475,0.2195,44.8295,5,2,0,NA,NA,0,NA,NA,NA,0.0237801046266219,"NFA_20191113_MW70-2601_05_00_000.h5"
"20191113","MW70-2601","5","B5","93","1","uM",0.501859613947214,1.17,0.0708577319587627,48.645,0.412,8.5,6,1,0,NA,NA,0,NA,NA,NA,-0.00082065339743091,"NFA_20191113_MW70-2601_05_00_000.h5"
