"date","Plate.SN","well","treatment","dose","units","wllq","wllq_notes","meanfiringrate_auc","burst.per.min_auc","mean.isis_auc","per.spikes.in.burst_auc","mean.dur_auc","mean.IBIs_auc","nAE_auc","nABE_auc","ns.n_auc","ns.peak.m_auc","ns.durn.m_auc","ns.percent.of.spikes.in.ns_auc","ns.mean.insis_auc","ns.durn.sd_auc","ns.mean.spikes.in.ns_auc","r_auc","mi_auc"
"20191113","MW70-2602","D2","100","0.00000","uM","1","",2.249757,2.425714,0.127629,144.565864,2.453045,270.001409,39.5,19,26,55.333333,1.041029,55.590343,598.6,0.324223,294,1.105407,0.005571
"20191113","MW70-2520","E2","100","0.00000","uM","1","",9.401038,9.936875,0.328188,329.836714,7.268969,330.523496,76,63,121,83.591525,1.584579,41.016081,659.207004,0.750213,503.45838,1.154915,0.043451
"20191113","MW70-2601","F2","100","0.00000","uM","1","",4.702679,9.035,0.233473,422.888036,2.930679,326.801214,42.5,40.5,59.5,43.910714,1.029173,40.7884,389.886111,0.255124,167.107143,0.796531,0.012066
"20190807","MW69-3803","D2","11","0.00000","uM","1","",3.630062,4.3875,0.359077,161.48175,3.16875,196.8,30,9.5,11,51.875,0.759505,11.869099,1325.2,0.20533,183.375,0.341942,0.000899
"20190807","MW69-3715","E2","11","0.00000","uM","1","",8.527378,6.522143,0.207422,216.123125,5.823,170.243125,40.5,17,22,46.625,0.823077,9.676092,591.061905,0.161806,198.375,0.317516,0.003674
"20190807","MW69-3802","F2","11","0.00000","uM","1","",7.560462,6.096875,0.217304,242.550575,47.273075,153.737075,55,32.5,29.5,35.25,0.963115,8.730079,74.205882,0.127431,141.583333,0.280375,0.008314
"20190807","MW69-3802","D2","12","0.00000","uM","1","",2.546029,1.216538,0.078047,73.2735,1.092,69.6795,34.5,6,6,20.625,0.585268,14.840015,266.9,0.147116,201.75,0.317008,0.002317
"20190807","MW69-3803","E2","12","0.00000","uM","1","",11.950694,20.47,0.786243,267.63625,13.74925,137.85,25.5,13.5,15.5,41.892857,0.62533,10.199042,1194.525,0.116273,195.607143,0.19128,0.002503
"20190807","MW69-3715","F2","12","0.00000","uM","1","",8.381784,19.71875,0.347144,206.793433,2.97145,262.272517,45,39.5,31.5,46.5,1.442163,13.104581,1081.3775,0.339018,227.010417,0.366709,0.011507
"20190918","MW70-2403","A2","13","0.00000","uM","1","",6.024137,8.549167,0.361644,288.4303,2.9262,183.2276,50.5,29,66.5,55.583333,0.966051,48.142655,402.070536,0.142572,315.416667,0.980941,0.031734
