"date","Plate.SN","rowi","coli","src_acsn","treatment","conc","rval","srcf","wllq","wllq_notes"
"20190710","MW69-0210",1,1,"AB","L-Glufosinate Ammonium",0.03,18856.6666666667,"20190710_Glufosinate_1 Calculationsc.xlsx",1,""
"20190710","MW69-0210",1,1,"LDH","L-Glufosinate Ammonium",0.03,0.513566666666667,"20190710_Glufosinate_1 Calculationsc.xlsx",1,""
"20190710","MW69-0210",1,2,"AB","L-Glufosinate Ammonium",0,20371.6666666667,"20190710_Glufosinate_1 Calculationsc.xlsx",1,""
"20190710","MW69-0210",1,2,"LDH","L-Glufosinate Ammonium",0,0.705866666666667,"20190710_Glufosinate_1 Calculationsc.xlsx",1,""
"20190710","MW69-0210",1,3,"AB","L-Glufosinate Ammonium",0.1,17119.6666666667,"20190710_Glufosinate_1 Calculationsc.xlsx",1,""
"20190710","MW69-0210",1,3,"LDH","L-Glufosinate Ammonium",0.1,0.525266666666667,"20190710_Glufosinate_1 Calculationsc.xlsx",1,""
"20190710","MW69-0210",1,4,"AB","L-Glufosinate Ammonium",0.3,21265.6666666667,"20190710_Glufosinate_1 Calculationsc.xlsx",1,""
"20190710","MW69-0210",1,4,"LDH","L-Glufosinate Ammonium",0.3,0.637566666666667,"20190710_Glufosinate_1 Calculationsc.xlsx",1,""
"20190710","MW69-0210",1,5,"AB","L-Glufosinate Ammonium",1,25199.6666666667,"20190710_Glufosinate_1 Calculationsc.xlsx",1,""
"20190710","MW69-0210",1,5,"LDH","L-Glufosinate Ammonium",1,0.820766666666667,"20190710_Glufosinate_1 Calculationsc.xlsx",1,""
"20190710","MW69-0210",1,6,"AB","L-Glufosinate Ammonium",3,21945.6666666667,"20190710_Glufosinate_1 Calculationsc.xlsx",1,""
"20190710","MW69-0210",1,6,"LDH","L-Glufosinate Ammonium",3,0.612166666666667,"20190710_Glufosinate_1 Calculationsc.xlsx",1,""
"20190710","MW69-0210",1,7,"AB","L-Glufosinate Ammonium",10,20299.6666666667,"20190710_Glufosinate_1 Calculationsc.xlsx",1,""
"20190710","MW69-0210",1,7,"LDH","L-Glufosinate Ammonium",10,0.770766666666667,"20190710_Glufosinate_1 Calculationsc.xlsx",1,""
"20190710","MW69-0210",1,8,"AB","L-Glufosinate Ammonium",30,23992.6666666667,"20190710_Glufosinate_1 Calculationsc.xlsx",1,""
"20190710","MW69-0210",1,8,"LDH","L-Glufosinate Ammonium",30,0.618766666666667,"20190710_Glufosinate_1 Calculationsc.xlsx",1,""
