"date","Plate.SN","DIV","well","trt","dose","units","meanfiringrate","burst.per.min","mean.isis","per.spikes.in.burst","mean.dur","mean.IBIs","nAE","nABE","ns.n","ns.peak.m","ns.durn.m","ns.percent.of.spikes.in.ns","ns.mean.insis","ns.durn.sd","ns.mean.spikes.in.ns","r","file.name"
"20190710","MW69-0210","5","A1","L-Glufosinate Ammonium","0.03","uM",0.0866814603025583,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190710_MW69-0210_05_00(000).h5"
"20190710","MW69-0210","5","A2","L-Glufosinate Ammonium","0","uM",0.505086201378369,0,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,-0.00425779137950471,"NFA_20190710_MW69-0210_05_00(000).h5"
"20190710","MW69-0210","5","A4","L-Glufosinate Ammonium","0.3","uM",0.179289858061702,0.04,NA,0,NA,NA,3,0,0,NA,NA,0,NA,NA,NA,0.00050344675488186,"NFA_20190710_MW69-0210_05_00(000).h5"
"20190710","MW69-0210","5","A5","L-Glufosinate Ammonium","1","uM",0.861813749546589,1.53,0.211676179104478,32.987,1.542,17.034,2,1,0,NA,NA,0,NA,NA,NA,-0.00310657439864604,"NFA_20190710_MW69-0210_05_00(000).h5"
"20190710","MW69-0210","5","B2","Glufosinate Ammonium","0","uM",4.02624270097652,0.6,0.169121012658226,2.429,1.485,88.881,1,1,0,NA,NA,0,NA,NA,NA,0,"NFA_20190710_MW69-0210_05_00(000).h5"
"20190710","MW69-0210","5","B3","Glufosinate Ammonium","0.1","uM",2.18092776722783,1.17,0.173373420241098,7.146,1.211,46.5785,2,2,0,NA,NA,0,NA,NA,NA,0.00321854388280915,"NFA_20190710_MW69-0210_05_00(000).h5"
"20190710","MW69-0210","5","B5","Glufosinate Ammonium","1","uM",0.291160802554747,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190710_MW69-0210_05_00(000).h5"
"20190710","MW69-0210","5","B7","Glufosinate Ammonium","10","uM",0.220037553075725,0,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,-0.0020830051685143,"NFA_20190710_MW69-0210_05_00(000).h5"
"20190710","MW69-0210","5","C1","Glyphosate","0.03","uM",0.316720720336271,0.66,0.0964552380952384,18.246,0.405,53.928,1,1,0,NA,NA,0,NA,NA,NA,0,"NFA_20190710_MW69-0210_05_00(000).h5"
"20190710","MW69-0210","5","C2","Glyphosate","0","uM",0.470080227025412,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190710_MW69-0210_05_00(000).h5"
"20190710","MW69-0210","5","C4","Glyphosate","0.3","uM",0.128910889680728,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190710_MW69-0210_05_00(000).h5"
"20190710","MW69-0210","5","C6","Glyphosate","3","uM",0.115575280403411,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190710_MW69-0210_05_00(000).h5"
