"date","Plate.SN","well","treatment","dose","units","wllq_by_well","wllq_notes_by_well","meanfiringrate_auc","burst.per.min_auc","mean.isis_auc","per.spikes.in.burst_auc","mean.dur_auc","mean.IBIs_auc","nAE_auc","nABE_auc","ns.n_auc","ns.peak.m_auc","ns.durn.m_auc","ns.percent.of.spikes.in.ns_auc","ns.mean.insis_auc","ns.durn.sd_auc","ns.mean.spikes.in.ns_auc","r_auc","mi_auc"
"20210915","MW75-9217","A2","DMSO","0","uM","1","",14.789176,9.234375,0.350693,359.433896,15.402042,243.606427,85,35,64.5,64,2.307178,49.754031,380.244531,0.476433,686.371212,1.460504,0.051269
"20210915","MW75-9218","A2","DMSO","0","uM","1","",16.762942,12.751209,0.648682,393.833158,28.912858,376.704858,103.5,59.5,91,91.333333,3.27552,43.039751,1008.635795,0.371911,778.180952,1.812462,0.074549
"20210915","MW75-9219","A2","DMSO","0","uM","1","",14.480408,22.892212,0.652777,435.723866,18.162223,194.155777,97.5,58,87.5,95.625,2.935011,40.260374,1411.894186,0.403463,759.894481,1.36757,0.047497
"20210915","MW75-9220","A2","DMSO","0","uM","1","",12.528377,9.79275,0.275294,347.028625,20.270469,373.732781,86.5,72,83.5,92.944444,2.393838,27.308985,1239.433446,0.631141,644.320175,1.535625,0.0701
"20210915","MW75-9301","A2","DMSO","0","uM","1","",10.128794,7.406875,0.312072,269.417937,10.526969,216.218187,76,28.5,89,88.166667,2.621583,54.898596,785.240116,0.605912,671.068182,1.597499,0.056853
"20210915","MW75-9302","A2","DMSO","0","uM","1","",14.59031,15.769821,0.55354,567.293406,53.048031,192.476375,102,74.5,99,96,2.603464,54.048468,1018.476923,0.328521,762.296429,1.906315,0.079169
"20210929","MW75-9306","A2","DMSO","0","uM","1","Hot water shut off in building; ",14.161977,17.263125,0.235956,521.398031,5.522312,536.552281,116,98.5,194,124.201923,3.002472,78.186445,906.072156,0.870385,909.051768,2.641551,0.135333
"20210929","MW75-9307","A2","DMSO","0","uM","1","Hot water shut off in building; ",17.44025,23.702143,0.20889,600.444448,4.860948,290.844042,131,111,311,122.22243,3.009447,82.282211,526.170052,1.513313,801.73583,2.98124,0.162578
"20210929","MW75-9308","A2","DMSO","0","uM","1","Hot water shut off in building; ",23.862809,26.749375,0.349252,540.724469,11.295406,245.201625,133.5,121,287,130.180726,3.096839,58.028041,544.536139,1.776206,782.728223,2.435329,0.161756
"20210929","MW75-9309","A2","DMSO","0","uM","1","Hot water shut off in building; ",20.96374,24.654375,0.247309,578.623524,6.716538,277.57017,136,118.5,221,128.864341,4.331911,63.728991,537.910641,1.701205,929.257353,2.702413,0.178744
"20210929","MW75-9310","A2","DMSO","0","uM","1","Hot water shut off in building; ",23.429345,34.2875,0.346303,603.873344,6.522937,158.220344,133.5,108.5,363.5,126.047701,2.536123,69.162647,631.65078,1.353211,803.458765,2.854314,0.206996
"20210929","MW75-9311","A2","DMSO","0","uM","1","Hot water shut off in building; ",19.423756,24.908125,0.272867,550.435996,5.033326,291.83667,126,113.5,429,117.841276,2.468794,74.375242,547.82771,1.39696,610.252926,2.756763,0.176764
"20211110","MW78-6208","A2","DMSO","0","uM","1","Hot water shut off in building; ",0.449167,1.0125,0.049452,74.803,0.459,128.9145,6,4.5,15,15,0.15361,29.279279,142.841667,0.032887,39,0.284005,0
"20211110","MW78-6209","A2","DMSO","0","uM","1","Hot water shut off in building; ",6.301816,1.155,0.197496,131.4945,11.448,2.4375,30.5,1.5,3,22.5,0.795,1.31306,720.225,0.135234,215.25,0.13853,0.000687
"20211110","MW78-6210","A2","DMSO","0","uM","1","Hot water shut off in building; ",2.82785,1.644545,0.044833,55.02585,0.5988,86.21835,23.5,15,18,19.5,0.250064,13.740804,105.531818,0.022975,113.625,0.182145,0.003366
"20211110","MW78-6211","A2","DMSO","0","uM","1","Hot water shut off in building; ",4.112147,4.782692,0.272725,129.83735,2.08265,254.11435,24.5,17.5,12,23.25,0.338505,6.545837,170.55,0.142384,128.4375,0.247835,0.001787
"20211110","MW78-6212","A2","DMSO","0","uM","1","Hot water shut off in building; ",5.767652,11.147143,0.602763,197.371038,4.511442,173.592096,44,26.5,22.5,21.5,0.284853,10.334799,86.860714,0.04659,145.7,0.153654,0.004222
"20211110","MW78-6213","A2","DMSO","0","uM","1","Hot water shut off in building; ",5.957633,6.432,0.35285,171.35075,7.0895,71.323,32.5,11.5,9,24,0.451071,3.491649,201.15,0.192597,167.25,0.064741,0.001199
"20211124","MW78-6214","A2","DMSO","0","uM","1","Hot water shut off in building; ",6.01719,8.808,0.247149,235.8586,4.5161,111.715867,56.5,30,98,50.5,1.306055,36.313373,482.745982,0.252507,307.131579,0.913051,0.023166
"20211124","MW78-6215","A2","DMSO","0","uM","1","Hot water shut off in building; ",6.547928,9.263839,0.60891,261.579906,4.034594,131.399844,70.5,28.5,80,88.57971,2.021368,39.597803,1548.466667,0.594357,555.036232,0.6847,0.023869
"20211124","MW78-6216","A2","DMSO","0","uM","1","Hot water shut off in building; ",7.240801,9.858667,0.207254,274.45965,2.67735,73.31455,51,27.5,60.5,54.076389,1.078273,48.638809,334.486538,0.332682,352.125,1.234883,0.022852
"20211124","MW78-6217","A2","DMSO","0","uM","1","Hot water shut off in building; ",12.860205,17.5065,0.420735,401.5611,24.5506,76.4578,67,37,71,58.056818,2.678145,19.804733,1335.601744,0.212912,262.920455,0.81458,0.033523
"20211124","MW78-6218","A2","DMSO","0","uM","1","Hot water shut off in building; ",10.358106,9.935357,0.356124,393.082808,62.177185,251.843492,73,59,89.5,85.003216,1.763594,41.598274,541.734544,0.280587,544.59883,1.019747,0.027974
"20211124","MW78-6219","A2","DMSO","0","uM","1","Hot water shut off in building; ",15.684393,17.272083,0.449454,346.544656,23.0805,117.535438,84.5,52,62,91.9375,3.637195,19.028003,579.099731,1.321027,729.796875,0.903991,0.042315
"20211208","MW78-6303","A2","DMSO","0","uM","1","Hot water shut off in building; ",12.428195,19.222738,0.51052,226.96075,16.598625,86.28855,53.5,27,24.5,49.884615,0.703719,6.844533,1145.09375,0.244964,282.865385,0.11992,0.004331
"20211208","MW78-6304","A2","DMSO","0","uM","1","Hot water shut off in building; ",17.216948,40.230667,0.572587,354.3221,5.917,56.0958,56.5,39,308.5,38.151382,0.572222,17.513814,414.368561,0.201456,104.549623,0.271522,0.013093
"20211208","MW78-6305","A2","DMSO","0","uM","1","Hot water shut off in building; ",5.642373,12.122357,0.241569,316.819,2.7165,130.948625,51,32.5,97.5,43.399074,0.621218,40.722681,138.289777,0.160508,170.489815,0.456194,0.007225
"20211208","MW78-6306","A2","DMSO","0","uM","1","Hot water shut off in building; ",16.74647,31.799712,0.450361,300.278675,5.855387,107.19995,79,54,97.5,18.276923,0.47693,13.880657,19.414453,0.218709,111.692308,0.345267,0.020231
"20211208","MW78-6307","A2","DMSO","0","uM","1","Hot water shut off in building; ",17.199306,27.343322,0.334982,368.006511,16.113556,109.599778,78.5,57,149.5,60.732509,1.062365,15.194988,284.748099,0.333463,241.159432,0.355617,0.009815
"20211208","MW78-6308","A2","DMSO","0","uM","1","Hot water shut off in building; ",18.94313,33.146299,0.516825,363.935471,27.762897,76.222041,80.5,53,71,32.829545,0.702879,8.976489,374.643605,0.326303,138.909091,0.238369,0.013715
"20220119","MW78-6312","A2","DMSO","0","uM","1","",10.79576,10.515,0.402778,286.129406,6.837437,218.409781,84,48,80,87.758242,3.023228,25.185885,1442.758553,1.764762,549.879121,1.362459,0.054183
"20220119","MW78-6313","A2","DMSO","0","uM","1","",16.27708,17.80125,0.378235,367.996471,8.240832,250.404692,86.5,64.5,85,83.727941,2.303596,23.133904,1106.395455,1.169666,501.122549,1.260697,0.045436
"20220119","MW78-6314","A2","DMSO","0","uM","1","",6.767008,5.090625,0.144892,258.64876,4.142708,200.586448,69.5,39,63,90.354839,1.908493,37.246814,404.6275,0.558286,549.564516,1.142282,0.040484
"20220119","MW78-6315","A2","DMSO","0","uM","1","",9.576852,8.869,0.302191,401.699625,7.9445,288.960656,84,63.5,47.5,88.956349,2.540587,25.13145,1107.089423,1.697327,691.349206,1.40365,0.056211
"20220119","MW78-6316","A2","DMSO","0","uM","1","",10.926443,8.606875,0.275978,290.168415,6.900577,351.399378,90.5,53.5,60.5,93.477778,3.032024,35.51225,857.386897,1.573318,723.830556,1.518413,0.054559
"20220119","MW78-6317","A2","DMSO","0","uM","1","",8.7448,14.11444,0.295484,396.455038,5.883375,242.44775,69,49,67,79.367273,1.360263,35.011702,238.215625,0.583054,470.894545,1.121709,0.031505
"20220223","MW78-7106","A2","DMSO","0","uM","1","",10.618023,6.585455,0.328156,251.534011,30.236443,142.601364,45,26.5,28,53.058824,1.481232,14.14934,73.289062,0.325597,315.735294,0.650903,0.034871
"20220223","MW78-7107","A2","DMSO","0","uM","1","",13.178683,11.651212,0.617744,261.790312,19.509656,186.027625,69.5,47,17.5,64,2.646591,10.440884,126.408333,0.20407,429.4,0.57202,0.018591
"20220223","MW78-7108","A2","DMSO","0","uM","1","",22.400529,17.783409,0.902712,456.757125,40.408313,157.6165,88.5,59.5,48,64,1.926511,27.088059,512.233654,0.181142,429.666667,0.70501,0.027221
"20220223","MW78-7109","A2","DMSO","0","uM","1","",14.779628,12.601875,0.499159,293.451456,9.817554,170.9735,93,49,47,90,3.125026,24.265053,688.95,0.374208,547.92,0.78301,0.024321
"20220223","MW78-7110","A2","DMSO","0","uM","1","",9.671186,5.724375,0.708601,178.796938,9.012969,267.972312,57,36,32,60.25,1.399576,21.780048,969.122059,0.292819,370.416667,0.653874,0.01966
"20220223","MW78-7111","A2","DMSO","0","uM","1","",10.025947,8.46625,1.094389,214.483396,8.012979,329.903031,65,38,41,61.5,1.620389,30.756178,1301.31413,0.249006,444.625,0.819348,0.019584
