"date","Plate.SN","rowi","coli","src_acsn","treatment","conc","rval","srcf","wllq_by_well","wllq_notes_by_well"
"20210915","MW75-9217",1,1,"AB","7126 A1",0.100932,19535.3333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",1,1,"LDH","7126 A1",0.100932,0.882966666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",1,2,"AB","7126 A1",0,25245.3333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",1,2,"LDH","7126 A1",0,0.990566666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",1,3,"AB","7126 A1",0.302796,22937.3333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",1,3,"LDH","7126 A1",0.302796,0.948266666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",1,4,"AB","7126 A1",1.00932,25161.3333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",1,4,"LDH","7126 A1",1.00932,0.978566666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",1,5,"AB","7126 A1",3.02796,25355.3333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",1,5,"LDH","7126 A1",3.02796,0.967666666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",1,6,"AB","7126 A1",10.0932,24946.3333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",1,6,"LDH","7126 A1",10.0932,0.883366666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",1,7,"AB","7126 A1",30.2796,25566.3333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",1,7,"LDH","7126 A1",30.2796,0.954366666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",1,8,"AB","7126 A1",100.932,25355.3333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",1,8,"LDH","7126 A1",100.932,0.763566666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",2,1,"AB","7126 A2",0.020072,22759.3333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",2,1,"LDH","7126 A2",0.020072,1.09616666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",2,2,"AB","7126 A2",0,24956.3333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",2,2,"LDH","7126 A2",0,1.31966666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",2,3,"AB","7126 A2",0.060216,25283.3333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",2,3,"LDH","7126 A2",0.060216,1.24916666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",2,4,"AB","7126 A2",0.20072,25073.3333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",2,4,"LDH","7126 A2",0.20072,1.37346666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",2,5,"AB","7126 A2",0.60216,29967.3333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",2,5,"LDH","7126 A2",0.60216,1.32036666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",2,6,"AB","7126 A2",2.0072,6234.33333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",2,6,"LDH","7126 A2",2.0072,0.144766666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",2,7,"AB","7126 A2",6.0216,2522.33333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",2,7,"LDH","7126 A2",6.0216,0.110266666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",2,8,"AB","7126 A2",20.072,1564.33333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",2,8,"LDH","7126 A2",20.072,0.106966666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",3,1,"AB","7126 A3",0.050004,24024.3333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",3,1,"LDH","7126 A3",0.050004,1.03386666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",3,2,"AB","7126 A3",0,25712.3333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",3,2,"LDH","7126 A3",0,1.35566666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",3,3,"AB","7126 A3",0.150012,25196.3333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",3,3,"LDH","7126 A3",0.150012,1.52586666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",3,4,"AB","7126 A3",0.50004,26399.3333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",3,4,"LDH","7126 A3",0.50004,1.42946666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",3,5,"AB","7126 A3",1.50012,25036.3333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
