"date","Plate.SN","well","treatment","dose","units","wllq","wllq_notes","CCTE_Shafer_MEA_dev_firing_rate_mean","CCTE_Shafer_MEA_dev_burst_rate","CCTE_Shafer_MEA_dev_per_burst_interspike_interval","CCTE_Shafer_MEA_dev_per_burst_spike_percent","CCTE_Shafer_MEA_dev_burst_duration_mean","CCTE_Shafer_MEA_dev_interburst_interval_mean","CCTE_Shafer_MEA_dev_active_electrodes_number","CCTE_Shafer_MEA_dev_bursting_electrodes_number","CCTE_Shafer_MEA_dev_network_spike_number","CCTE_Shafer_MEA_dev_network_spike_peak","CCTE_Shafer_MEA_dev_spike_duration_mean","CCTE_Shafer_MEA_dev_per_network_spike_spike_percent","CCTE_Shafer_MEA_dev_inter_network_spike_interval_mean","CCTE_Shafer_MEA_dev_network_spike_duration_std","CCTE_Shafer_MEA_dev_per_network_spike_spike_number_mean","CCTE_Shafer_MEA_dev_correlation_coefficient_mean","CCTE_Shafer_MEA_dev_mutual_information_norm"
"20180801","MW1207-22","A1","1475812","0.00000","uM","1","",7.311026,12.353798,0.262542,330.541817,2.981142,231.413683,78,60.5,100,46.920455,1.19794,27.697061,1260.401216,0.336487,203.996212,0.307637,0.009638
"20180801","MW1207-21","A2","1475812","0.00000","uM","0","Fungal contamination; ",17.839614,28.021,0.735436,469.0505,15.58935,239.84275,90,60.5,94.5,55.095734,1.184487,18.105197,439.151923,0.373022,203.146329,0.379201,0.008804
"20180801","MW1207-23","A2","1475812","0.00000","uM","1","",6.765451,7.515625,0.380987,218.857037,3.584821,267.064494,67.5,56,96.5,39.996047,0.883225,26.320115,232.475833,0.261091,191.324111,0.357181,0.009664
"20180801","MW1207-22","B1","1475816","0.00000","uM","1","",4.93076,9.447071,0.243757,328.239096,2.255096,263.458212,63.5,46.5,61,38.625,0.772305,26.165523,268.686111,0.189079,168.8125,0.342188,0.003924
"20180801","MW1207-21","B2","1475816","0.00000","uM","0","Fungal contamination; ",3.911997,6.202143,0.11957,238.029297,1.525132,275.474544,52,37,117,41.4525,0.785553,36.839312,165.068878,0.14518,119.26875,0.270794,0.003515
"20180801","MW1207-23","B2","1475816","0.00000","uM","1","",5.762617,8.063308,0.243353,379.785269,2.735308,388.574385,57,41.5,91,23.769231,0.686035,29.243528,199.755482,0.23867,115.615385,0.237151,0.004519
"20180801","MW1207-22","C1","1475817","0.00000","uM","1","",4.005919,5.5405,0.184064,230.171332,2.154587,220.145927,63,47,109,25.141207,0.882482,31.261443,138.019375,0.325654,112.529525,0.279443,0.002827
"20180801","MW1207-21","C2","1475817","0.00000","uM","0","Fungal contamination; ",7.15754,13.675857,0.229026,207.611955,3.187073,122.956955,63.5,50,118.5,26.963203,1.067736,15.2433,134.701308,0.557675,120.080628,0.161134,0.007985
"20180801","MW1207-23","C2","1475817","0.00000","uM","1","",4.634002,10.36875,0.196702,214.087683,2.5895,191.822165,55,41.5,125.5,24.319079,0.708093,21.000335,159.41994,0.166465,85.667763,0.144868,0.003783
"20180801","MW1207-22","D1","1475818","0.00000","uM","1","",3.458057,6.954286,0.174416,257.777821,1.969714,241.775643,52,38.5,109,25.388587,0.7302,39.378326,171.155,0.26714,98.790761,0.252211,0.003238
