apid,treatment,spid,acsn,rowi,coli,wllt,wllq,conc,rval,srcf,wllq_notes
20180801_MW1207-21,1475812,1475812,CCTE_Shafer_MEA_dev_firing_rate_mean,1,1,t,0,0.03,13.563138,Example2020_AUC.csv,Fungal contamination; 
20180801_MW1207-23,1475812,1475812,CCTE_Shafer_MEA_dev_firing_rate_mean,1,1,t,1,0.03,8.170608,Example2020_AUC.csv,""
20180801_MW1207-22,1475812,1475812,CCTE_Shafer_MEA_dev_firing_rate_mean,1,2,t,1,0.03,5.14176,Example2020_AUC.csv,""
20180801_MW1207-21,1475812,1475812,CCTE_Shafer_MEA_dev_firing_rate_mean,1,3,t,0,0.1,8.053536,Example2020_AUC.csv,Fungal contamination; 
20180801_MW1207-22,1475812,1475812,CCTE_Shafer_MEA_dev_firing_rate_mean,1,3,t,1,0.1,7.732683,Example2020_AUC.csv,""
20180801_MW1207-23,1475812,1475812,CCTE_Shafer_MEA_dev_firing_rate_mean,1,3,t,1,0.1,7.961272,Example2020_AUC.csv,""
20180801_MW1207-21,1475812,1475812,CCTE_Shafer_MEA_dev_firing_rate_mean,1,4,t,0,0.3,4.312492,Example2020_AUC.csv,Fungal contamination; 
20180801_MW1207-22,1475812,1475812,CCTE_Shafer_MEA_dev_firing_rate_mean,1,4,t,1,0.3,9.090835,Example2020_AUC.csv,""
20180801_MW1207-23,1475812,1475812,CCTE_Shafer_MEA_dev_firing_rate_mean,1,4,t,1,0.3,10.241122,Example2020_AUC.csv,""
20180801_MW1207-21,1475812,1475812,CCTE_Shafer_MEA_dev_firing_rate_mean,1,5,t,0,1,7.016109,Example2020_AUC.csv,Fungal contamination; 
20180801_MW1207-22,1475812,1475812,CCTE_Shafer_MEA_dev_firing_rate_mean,1,5,t,1,1,12.47077,Example2020_AUC.csv,""
20180801_MW1207-23,1475812,1475812,CCTE_Shafer_MEA_dev_firing_rate_mean,1,5,t,1,1,9.4792,Example2020_AUC.csv,""
20180801_MW1207-21,1475812,1475812,CCTE_Shafer_MEA_dev_firing_rate_mean,1,7,t,0,10,4.278605,Example2020_AUC.csv,Fungal contamination; 
20180801_MW1207-22,1475812,1475812,CCTE_Shafer_MEA_dev_firing_rate_mean,1,7,t,1,10,8.760082,Example2020_AUC.csv,""
20180801_MW1207-23,1475812,1475812,CCTE_Shafer_MEA_dev_firing_rate_mean,1,7,t,1,10,11.319347,Example2020_AUC.csv,""
20180801_MW1207-21,1475812,1475812,CCTE_Shafer_MEA_dev_firing_rate_mean,1,6,t,0,3,6.720184,Example2020_AUC.csv,Fungal contamination; 
20180801_MW1207-22,1475812,1475812,CCTE_Shafer_MEA_dev_firing_rate_mean,1,6,t,1,3,7.269093,Example2020_AUC.csv,""
20180801_MW1207-23,1475812,1475812,CCTE_Shafer_MEA_dev_firing_rate_mean,1,6,t,1,3,6.051793,Example2020_AUC.csv,""
20180801_MW1207-21,1475812,1475812,CCTE_Shafer_MEA_dev_firing_rate_mean,1,8,t,0,30,12.192957,Example2020_AUC.csv,Fungal contamination; 
20180801_MW1207-22,1475812,1475812,CCTE_Shafer_MEA_dev_firing_rate_mean,1,8,t,1,30,6.664107,Example2020_AUC.csv,""
20180801_MW1207-23,1475812,1475812,CCTE_Shafer_MEA_dev_firing_rate_mean,1,8,t,1,30,7.147723,Example2020_AUC.csv,""
