date,Plate.SN,DIV,well,trt,dose,units,meanfiringrate,burst.per.min,mean.isis,per.spikes.in.burst,mean.dur,mean.IBIs,nAE,nABE,ns.n,ns.peak.m,ns.durn.m,ns.percent.of.spikes.in.ns,ns.mean.insis,ns.durn.sd,ns.mean.spikes.in.ns,r,mi,cv.time,cv.network,file.name
20140827,MW1007-100,12,A1,Acetaminophen,0,uM,2.149028901,6.96,0.027588395,74.33106667,0.335733333,10.91313333,15,15,315,11.68571429,0.107516468,34.94571939,2.791401274,0.049286295,32.29206349,0.334606816,0.016615238,0.242141594,2.1040752,ON_20140827_MW1007-100_12_00_001.h5
20140827,MW1007-100,12,A2,Acetaminophen,0.03,uM,3.007936462,7.28625,0.021365685,67.516625,0.3198125,9.3050625,16,16,368,14.32065217,0.108337382,44.3238885,2.38719346,0.063157495,52.28532609,0.46613178,0.029437338,0.2842421,2.508437645,ON_20140827_MW1007-100_12_00_001.h5
20140827,MW1007-100,12,A3,Acetaminophen,0.1,uM,2.13722166,6.85125,0.017844805,72.7838125,0.2163125,16.130875,16,16,214,13.61682243,0.125618765,39.98184412,4.130046948,0.05446793,57.62616822,0.419168439,0.020867819,0.354754227,2.123986945,ON_20140827_MW1007-100_12_00_001.h5
20140827,MW1007-100,12,A4,Acetaminophen,0.3,uM,1.716623311,5.475,0.022058489,67.83106667,0.252533333,14.68966667,16,15,192,13.78125,0.121051785,41.09146686,4.642408377,0.05520312,53.02083333,0.386141417,0.016788994,0.392559359,2.262652578,ON_20140827_MW1007-100_12_00_001.h5
20140827,MW1007-100,12,A5,Acetaminophen,1,uM,1.821183922,5.7225,0.020058969,78.4164375,0.2875625,13.4273125,16,16,198,13.21212121,0.131289906,32.26800594,4.517766497,0.05819876,42.83333333,0.395493997,0.01657681,0.363699474,2.601033412,ON_20140827_MW1007-100_12_00_001.h5
20140827,MW1007-100,12,A6,Acetaminophen,3,uM,2.304698794,7.04625,0.027566443,72.518,0.363866667,10.64873333,16,15,257,11.39299611,0.138618949,26.95950212,3.474023438,0.058392847,34.89105058,0.28549292,0.014139789,0.217342372,2.125842249,ON_20140827_MW1007-100_12_00_001.h5
20140827,MW1007-100,12,A7,Acetaminophen,10,uM,1.619961911,4.90875,0.015469274,68.442125,0.1988125,15.3996875,16,16,241,12.79253112,0.110116292,43.89837033,3.641666667,0.056645848,42.58506224,0.426507328,0.017291536,0.318539405,1.484978783,ON_20140827_MW1007-100_12_00_001.h5
20140827,MW1007-100,12,A8,Acetaminophen,30,uM,1.712050083,4.51125,0.020754555,66.502125,0.2946875,20.8856875,16,16,257,10.42801556,0.109918994,32.47126437,3.47734375,0.060552251,31.21789883,0.32772566,0.013460592,0.394742498,2.571231332,ON_20140827_MW1007-100_12_00_001.h5
20140827,MW1007-100,12,B1,Bisphenol A,0,uM,1.638254821,6.4275,0.012523591,82.4616875,0.136125,12.3701875,16,16,144,15.10416667,0.141878637,43.17979952,6.199300699,0.047763683,70.89583333,0.541072701,0.021914436,0.380619154,1.361648009,ON_20140827_MW1007-100_12_00_001.h5
20140827,MW1007-100,12,B2,Bisphenol A,0.03,uM,1.415242998,4.824,0.025932908,83.92293333,0.308866667,14.6734,15,15,116,12.05172414,0.157693713,28.00771476,7.745652174,0.066206472,46.31896552,0.339586809,0.012856276,0.360165052,2.293748217,ON_20140827_MW1007-100_12_00_001.h5
20140827,MW1007-100,12,B3,Bisphenol A,0.1,uM,1.085587205,3.9675,0.015772076,85.07713333,0.189,16.27793333,16,15,92,14.42391304,0.158852251,29.33554605,9.548901099,0.047092328,49.95652174,0.437462202,0.013910148,0.44894957,1.29758649,ON_20140827_MW1007-100_12_00_001.h5
20140827,MW1007-100,12,B4,Bisphenol A,0.3,uM,1.257739194,4.112,0.025387311,74.905,0.284,18.86321429,15,14,86,10.05813953,0.157233412,21.14720515,10.16588235,0.07563859,42.01162791,0.261902094,0.00698527,0.465830503,1.756285625,ON_20140827_MW1007-100_12_00_001.h5
20140827,MW1007-100,12,B5,Bisphenol A,1,uM,0.637849753,2.524,0.028165934,65.91876923,0.248307692,26.93361538,15,13,65,11.26153846,0.121296504,26.95420907,13.71640625,0.040196766,35.86153846,0.252649483,0.005123164,0.472697263,2.580005165,ON_20140827_MW1007-100_12_00_001.h5
20140827,MW1007-100,12,B6,Bisphenol A,3,uM,1.159867506,3.6,0.025015812,65.601375,0.2665625,21.458375,16,16,148,10.38513514,0.110977445,29.95399964,5.923129252,0.046444046,33.87837838,0.303107306,0.008440015,0.30862887,1.724909134,ON_20140827_MW1007-100_12_00_001.h5
20140827,MW1007-100,12,B7,Bisphenol A,10,uM,1.129826567,3.621818182,0.03386262,62.4238,0.283,19.0688,11,10,64,10.015625,0.111439154,20.42042042,14.0968254,0.029867972,36.125,0.173599475,0.004632908,0.46599728,0.827514051,ON_20140827_MW1007-100_12_00_001.h5
20140827,MW1007-100,12,B8,Bisphenol A,30,uM,1.048793511,3.09,0.016151175,62.1058125,0.16525,26.26975,16,16,225,11.14222222,0.09111924,43.43287526,3.979464286,0.04463819,29.21777778,0.393471135,0.011974632,0.238702425,2.309878414,ON_20140827_MW1007-100_12_00_001.h5
20140827,MW1007-100,12,C1,Deltamethrin,0,uM,2.445706643,7.05375,0.028498848,67.395375,0.3665,10.350625,16,16,255,13.70980392,0.116805443,32.94140979,3.508464567,0.05922785,45.59607843,0.327576884,0.017578136,0.257026787,2.160259227,ON_20140827_MW1007-100_12_00_001.h5
20140827,MW1007-100,12,C2,Deltamethrin,0.03,uM,1.525448542,4.54875,0.028248398,76.2865,0.3845,17.2038125,16,16,195,11.98974359,0.128841028,31.66023166,4.567525773,0.076183564,35.74358974,0.333788181,0.012517353,0.393038275,1.365654553,ON_20140827_MW1007-100_12_00_001.h5
