date,plate.SN,well,treatment,dose,units,meanfiringrate_AUC,burst.per.min_AUC,mean.isis_AUC,per.spikes.in.burst_AUC,mean.dur_AUC,mean.IBIs_AUC,nAE_AUC,nABE_AUC,ns.n_AUC,ns.peak.m_AUC,ns.durn.m_AUC,ns.percent.of.spikes.in.ns_AUC,ns.mean.insis_AUC,ns.durn.sd_AUC,ns.mean.spikes.in.ns_AUC,r_AUC,mi_AUC,cv.time_AUC,cv.network_AUC
20150128,MW1008-37,C1,1-2-PropyleneGlycol,0,uM,15.173,34.159,0.221,672.487,3.907,197.021,121,118.5,619,118.151,2.182,133.402,201.158,0.802,542.623,2.872,0.12,2.764,18.213
20150128,MW1008-41,C1,1-2-PropyleneGlycol,0,uM,9.293,26.952,0.154,407.89,1.525,138.986,90,76.5,713.5,79.107,0.874,183.031,72.411,0.192,355.993,1.808,0.073,3.234,16.463
20150128,MW1008-42,C1,1-2-PropyleneGlycol,0,uM,23.195,44.548,0.336,588.528,5.072,160.657,121.5,111.5,1004,102.236,2.075,109.855,208.389,1.029,395.385,2.141,0.149,3.029,20.619
20140910,MW1008-39,A1,5-Fluorouracil,0,uM,4.854,19.033,0.338,595.938,2.584,246.465,76,68.5,285.5,69.078,0.899,130.211,143.078,0.236,206.584,1.381,0.023,6.851,9.07
20140910,MW1008-40,A1,5-Fluorouracil,0,uM,10.202,25.084,0.325,490.118,3.191,277.142,101.5,92.5,502.5,84.117,1.359,110.333,94.024,0.55,293.268,1.703,0.058,7.055,7.545
20140910,MW1008-68,A1,5-Fluorouracil,0,uM,9.191,27.16,0.209,437.306,2.246,112.864,104,79.5,599.5,92.318,1.428,99.274,77.295,0.343,234.042,1.236,0.039,5.594,10.486
20141112,MW 1041-25,A1,Acetaminophen,0,uM,17.376,43.54,0.337,584.531,4.079,183.155,123.5,121,1250.5,106.434,2.1,144.82,370.417,0.751,369.266,2.307,0.127,3.308,15.492
20141112,MW 1041-28,A1,Acetaminophen,0,uM,21.47,54.957,0.364,605.099,4.354,134.947,116.5,109,1174.5,105.289,1.43,165.453,157.674,0.878,416.507,2.679,0.172,3.266,17.365
20140827,MW1007-100,A1,Acetaminophen,0,uM,14.578,37.492,0.617,487.262,6.022,124.781,98.5,82.5,1098,63.086,0.822,96.911,101.104,0.331,132.727,0.888,0.038,4.33,10.886
20140827,MW1007-91,A1,Acetaminophen,0,uM,11.907,28.838,0.511,505.798,5.689,142.91,105,86,697,65.656,1.207,101.015,87.294,0.525,192.544,1.383,0.063,4.712,9.45
20140827,MW1007-98,A1,Acetaminophen,0,uM,13.673,32.356,0.295,357.991,3.916,112.518,116.5,92,1458,79.992,0.901,153.795,68.099,0.352,232.508,1.624,0.08,3.139,10.165
20141112,MW1041-17,A1,Acetaminophen,0,uM,13.937,39.958,0.346,593.247,3.678,169.923,123.5,116.5,1202,106.463,1.613,154.086,718.907,0.665,375.297,2.209,0.105,3.08,16.525
20141203,MW1042-42,A1,Acetaminophen,0,uM,17.561,35.894,0.317,590.212,5.019,156.298,121.5,109,1000.5,103.871,1.751,127.267,163.204,0.769,400.619,2.192,0.114,3.624,12.974
20141203,MW1042-43,A1,Acetaminophen,0,uM,14.088,25.519,0.287,594.788,4.985,282.261,121,114,702.5,116.458,1.657,150.335,301.119,0.674,574.666,2.71,0.129,4.201,14.244
20141203,MW1042-44,A1,Acetaminophen,0,uM,24.869,46.284,0.366,606.021,6.478,199.292,126,126,1385,115.139,1.522,136.571,283.375,0.839,535.809,2.375,0.152,3.263,17.979
20150819,MW1044-2,B2,Acetaminophen,0,uM,19.686,43.224,0.252,627.587,4.291,173.613,133.5,131,837.5,121.489,1.769,126.939,217.984,0.795,625.135,2.633,0.139,2.599,23.078
20150819,MW1044-6,B3,Acetaminophen,0,uM,22.862,50.385,0.224,650.638,4.457,157.355,136,136,959,123.121,1.995,147.944,168.21,0.911,619.557,3.323,0.206,2.802,22.994
20150819,MW1044-7,B4,Acetaminophen,0,uM,14.907,34.969,0.27,634.235,4.338,203.642,136,131,621.5,125.411,1.966,115.646,270.704,0.748,624.635,2.593,0.112,2.564,19.529
20150805,MW1040-11,C3,Acetaminophen,0,uM,475.806,19.698,0.191,690.532,2.758,304.607,111.5,99.5,606,100.229,1.359,192.352,239.17,0.568,393.691,2.369,0.07,4.633,20.253
20150805,MW1040-12,C4,Acetaminophen,0,uM,496.456,22.953,0.256,621.973,3.598,385.512,107,101,589,104.769,1.419,174.521,378.908,0.51,403.262,2.206,0.07,5.618,18.115
20150128,MW1008-37,A1,Acetamiprid,0,uM,20.273,49.678,0.291,622.83,4.43,149.32,118.5,114,1007.5,101.822,2.168,111.228,133.339,1.109,317.73,2.243,0.116,3.247,16.408
20150128,MW1008-41,A1,Acetamiprid,0,uM,3.439,10.534,0.294,304.718,1.968,187.622,63,26.5,236.5,30.026,0.414,33.565,48.111,0.108,51.269,0.242,0.005,3.811,11.561
20150128,MW1008-42,A1,Acetamiprid,0,uM,19.647,47.188,0.346,551.293,4.259,218.782,116,109,1013,98.262,1.817,109.943,388.799,0.889,328.944,1.951,0.123,3.265,18.459
20150401,MW1053-26,A1,Acrylamide,0,uM,9.987,21.063,0.357,324.08,3.387,152.932,86.5,75.5,1035.5,65.01,0.792,130.135,144.676,0.381,185.14,1.206,0.052,5.818,17.738
20150401,MW1053-31,A1,Acrylamide,0,uM,17.456,43.135,0.513,457.854,4.533,170.246,107.5,93.5,1251,73.411,0.949,145.132,99.485,0.469,309.175,1.503,0.083,4.092,20.119
20150401,MW1053-33,A1,Acrylamide,0,uM,17.485,35.737,0.505,456.97,5.42,242.552,111.5,97.5,867.5,81.278,0.943,127.826,100.18,0.473,347.83,1.434,0.083,3.78,19.505
20150128,MW1007-109,A1,Aldicarb,0,uM,16.956,33.782,0.326,582.973,4.557,192.978,121.5,119,1049.5,108.426,1.895,142.548,193.338,0.98,388.372,2.33,0.121,3.757,13.228
20150128,MW1008-1,A1,Aldicarb,0,uM,16.347,33.312,0.264,623.703,4.244,186.148,128.5,126,915,113.457,1.774,164.912,160.657,0.719,526.761,2.571,0.127,2.937,20.041
20150128,MW1008-40,A1,Aldicarb,0,uM,22.968,52.117,0.315,571.844,4.525,171.929,126,121,1750,109.729,1.655,146.3,167.802,0.697,408.725,2.049,0.133,2.502,20.543
20150819,MW1044-2,C2,Aminonicotinamide,0,uM,14.495,31.119,0.209,633.33,3.709,213.607,136,136,638,121.616,1.881,150.537,226.462,0.65,728.597,2.902,0.118,2.746,17.645
20150819,MW1044-6,C3,Aminonicotinamide,0,uM,16.098,38.501,0.237,648.995,3.806,177.704,136,136,733.5,124.381,1.875,160.282,178.033,0.684,638.417,2.864,0.119,2.867,23.726
20150819,MW1044-7,C4,Aminonicotinamide,0,uM,13.239,26.419,0.24,647.91,5.759,230.805,133.5,133.5,319.5,126.027,2.502,93.545,331.273,0.529,740.313,2.615,0.092,2.862,18.454
20140924,MW1007-70,A1,Amoxacillin,0,uM,14.61,31.837,0.49,461.351,5.013,204.649,104.5,93,441,78.053,1.484,78.617,143.377,0.548,314.209,1.424,0.058,6.319,8.572
20140924,MW1007-81,A1,Amoxacillin,0,uM,6.731,16.701,0.144,443.419,2.33,192.504,102.5,88,286.5,82.788,1.127,126.266,155.31,0.419,403.183,2.014,0.061,6.055,12.591
20140924,MW1007-84,A1,Amoxacillin,0,uM,11.588,23.303,0.422,530.355,5.27,214.554,101.5,86,659,69.311,1.198,90.475,90.392,0.387,233.896,0.97,0.034,6.186,8.425
20150819,MW1044-2,A2,Amphetamine,0,uM,15.643,37.492,0.248,590.768,3.811,196.827,131,131,1102,123.079,1.861,191.111,212.933,0.695,609.225,2.938,0.132,3.068,22.27
20150819,MW1044-6,A3,Amphetamine,0,uM,20.277,42.555,0.285,597.163,5.098,190.638,129,126.5,1114,119.862,1.672,182.426,205.155,0.691,638.924,2.693,0.156,2.873,22.74
20150819,MW1044-7,A4,Amphetamine,0,uM,16.329,38.532,0.237,593.832,3.179,249.579,122,117,862.5,117.622,1.502,157.253,205.243,0.633,504.741,2.368,0.105,3.979,20.303
20150819,MW1044-2,D2,Bis tri n butylin oxide,0,uM,13.162,29.668,0.199,707.448,4.227,250.863,136,136,529,126.368,2.01,158.065,254.265,0.747,750.46,3.343,0.129,3.657,20.412
20150819,MW1044-6,D3,Bis tri n butylin oxide,0,uM,16.432,35.107,0.256,649.239,5.312,207.344,136,136,720.5,114.055,1.972,129.989,184.666,0.787,589.331,2.753,0.118,2.627,22.362
20150819,MW1044-7,D4,Bis tri n butylin oxide,0,uM,12.423,25.665,0.198,648.792,3.884,263.722,133.5,133.5,466,120.832,1.99,140.233,278.412,0.517,691.059,2.97,0.104,4.216,22.313
20141203,MW1042-42,B1,Bis1,0,uM,16.221,32.712,0.268,652.001,4.937,221.372,131,131,735,117.214,2.068,132.175,245.84,0.724,573.168,2.716,0.13,3.098,21.605
20141203,MW1042-43,B1,Bis1,0,uM,18.609,34.031,0.298,595.83,5.437,225.787,133.5,126,1093.5,109.044,1.649,127.398,205.833,0.901,430.626,2.28,0.128,2.84,14.6
20141203,MW1042-44,B1,Bis1,0,uM,19.119,39.656,0.287,608.89,4.642,188.981,126,113.5,979.5,120.513,1.696,133.366,257.428,0.616,550.211,2.769,0.147,3.454,16.167
20141112,MW 1041-25,B1,Bisphenol A,0,uM,14.274,30.269,0.3,634.144,4.503,193.871,126,109,882.5,107.597,1.867,128.388,309.806,0.696,433.88,2.62,0.125,3.308,17.413
20141112,MW 1041-28,B1,Bisphenol A,0,uM,14.577,35.934,0.289,629.653,3.767,172.874,118.5,116,1071.5,106.417,1.779,158.745,251.167,0.633,421.685,2.751,0.13,3.368,20.141
20140827,MW1007-100,B1,Bisphenol A,0,uM,9.637,22.893,0.498,576.418,15.114,192.771,107,90,773,75.601,0.956,137.756,87.787,0.416,225.344,1.648,0.055,5.706,12.411
20140827,MW1007-91,B1,Bisphenol A,0,uM,12.164,29.446,0.589,385.636,4.532,327.763,94,79.5,1140,64.164,0.881,130.963,123.17,0.39,196.839,1.324,0.061,5.774,8.678
20140827,MW1007-98,B1,Bisphenol A,0,uM,11.329,28.01,0.471,425.805,3.784,393.081,111,90.5,1058.5,68.876,0.849,129.992,87.566,0.371,230.746,1.499,0.062,4.912,10.325
