date,Plate.SN,well,treatment,dose,units,wllq,wllq_notes,meanfiringrate_auc,burst.per.min_auc,mean.isis_auc,per.spikes.in.burst_auc,mean.dur_auc,mean.IBIs_auc,nAE_auc,nABE_auc,ns.n_auc,ns.peak.m_auc,ns.durn.m_auc,ns.percent.of.spikes.in.ns_auc,ns.mean.insis_auc,ns.durn.sd_auc,ns.mean.spikes.in.ns_auc,r_auc,mi_auc
20150128,MW1008-37,C1,1-2-PropyleneGlycol,0,uM,1,,15.202297,34.240795,0.22096,672.778542,3.907302,197.020885,121,118.5,619,118.151071,2.182115,133.497655,201.158102,0.802348,542.622695,2.97669,0.119956
20150128,MW1008-41,C1,"1,2-Propylene glycol",0,uM,1,,9.300253,26.969231,0.154123,407.896596,1.525062,138.985585,90,76.5,711,79.069086,0.875257,181.716898,72.929515,0.19237,355.562975,1.838772,0.07278
20150128,MW1008-42,C1,"1,2-Propylene glycol",0,uM,1,,23.218819,44.603034,0.336085,588.663804,5.072412,160.657267,121.5,111.5,1001.5,102.17584,2.06915,109.467384,208.202931,1.025439,394.656242,2.199704,0.148951
20140910,MW1008-39,A1,5-Fluorouracil,0,uM,1,,4.767498,18.665833,0.338288,595.972523,2.584174,246.465449,78,68.5,285.5,69.078049,0.898617,130.24936,143.078277,0.236413,206.58398,1.786437,0.023458
20140910,MW1008-40,A1,5-Fluorouracil,0,uM,1,,11.158237,26.665,0.424496,491.4734,3.8759,201.4066,106.5,95,517,84.549098,1.38127,110.654209,92.908034,0.553332,313.476516,1.850646,0.067074
20140910,MW1008-68,A1,5-Fluorouracil,0,uM,1,,9.20938,27.21975,0.209461,437.483104,2.246906,112.847462,104,79.5,598,92.334796,1.428323,99.287368,77.290111,0.343508,234.154332,1.262177,0.038773
20140827,MW1007-100,A1,Acetaminophen,0,uM,1,,14.591435,37.594,0.616555,487.709831,6.021933,124.781036,98.5,82.5,1098,63.085682,0.821506,96.950569,101.103555,0.331106,132.727009,0.973546,0.037633
20140827,MW1007-91,A1,Acetaminophen,0,uM,1,,11.915305,28.849505,0.510274,505.975264,5.687862,142.937158,105,86,695.5,65.664219,1.207131,101.029461,87.294387,0.525307,192.593683,1.430512,0.062516
20140827,MW1007-98,A1,Acetaminophen,0,uM,1,,13.686577,32.376333,0.2953,358.162344,3.916924,112.520201,116.5,92,1456.5,79.989953,0.901089,153.879866,68.093634,0.352476,232.733465,1.631306,0.080272
20141112,MW1041-17,A1,Acetaminophen,0,uM,1,,13.930209,40.161477,0.345442,592.154271,3.67048,169.768079,123.5,116.5,1094.5,106.565802,1.615954,155.309904,718.75335,0.666221,375.862524,2.216118,0.104798
20141112,MW1041-25,A1,Acetaminophen,0,uM,1,,17.38945,43.563409,0.337348,584.86525,4.079688,183.196813,123.5,121,1249,106.430516,2.100303,144.629742,370.376869,0.751723,369.21246,2.354918,0.126747
20141112,MW1041-28,A1,Acetaminophen,0,uM,1,,21.497199,55.029,0.363927,605.206435,4.354304,134.94736,116.5,109,1174.5,105.289047,1.430048,165.465685,157.674414,0.878149,416.50692,2.733336,0.172514
20141203,MW1042-42,A1,Acetaminophen,0,uM,1,,17.56091,35.840886,0.318468,589.7895,5.036524,155.753908,121.5,109,1000.5,103.870756,1.751399,127.453499,163.203967,0.769099,400.618912,2.21824,0.114387
20141203,MW1042-43,A1,Acetaminophen,0,uM,1,,14.126036,25.580625,0.287338,595.07515,4.989456,281.831175,121,114,700.5,116.407437,1.657071,148.632501,301.109292,0.676068,572.26434,2.691192,0.128937
20141203,MW1042-44,A1,Acetaminophen,0,uM,1,,24.922336,46.42,0.366159,606.170865,6.476969,199.290802,126,126,1385,115.138628,1.52171,136.673324,283.37504,0.838844,535.809474,2.333508,0.151944
20150819,MW1044-2,B2,Acetaminophen,0,uM,1,,19.687752,43.203125,0.251652,627.595125,4.292308,173.670866,133.5,131,837.5,121.489147,1.76931,126.98542,217.984465,0.794731,625.134775,2.612777,0.138682
20150819,MW1044-6,B3,Acetaminophen,0,uM,1,,22.868286,50.386875,0.223543,650.667531,4.459438,157.326875,136,136,959,123.121399,1.994523,147.973032,168.210258,0.911344,619.557211,3.323664,0.206276
20150819,MW1044-7,B4,Acetaminophen,0,uM,1,,14.910752,34.978125,0.26961,634.348531,4.338415,203.641545,136,131,621.5,125.410989,1.965979,115.678322,270.704336,0.748263,624.635264,2.593233,0.111812
20150805,MW1038-36,C2,Acetaminophen,0,uM,0,"Data unusable, controls did not develop; ",6.153404,21.130909,0.546644,525.021517,4.322533,278.72645,53.5,37.5,135,11.05,0.304071,13.22012,14.921629,0.092672,20.5,0.192501,0.002698
20150805,MW1040-11,C3,Acetaminophen,0,uM,1,,7.935523,19.703786,0.191221,690.533932,2.757963,304.60656,111.5,99.5,606,100.229099,1.359349,192.356219,239.170215,0.568335,393.691377,2.465333,0.070315
20150805,MW1040-12,C4,Acetaminophen,0,uM,1,,8.275925,22.953482,0.256043,622.155968,3.597879,385.511909,107,101,589,104.768689,1.419324,174.58038,378.90811,0.509808,403.262193,2.583993,0.070269
20150128,MW1008-37,A1,Acetamiprid,0,uM,1,,20.25632,49.655833,0.291064,622.216535,4.424567,147.816029,118.5,114,1006,101.818419,2.166976,111.012253,133.342274,1.108673,317.210545,2.341606,0.11633
