date,Plate.SN,rowi,coli,src_acsn,treatment,conc,rval,srcf,wllq,wllq_notes
20140827,MW1007-100,1,1,AB,Acetaminophen,0,46613.33333,ON_20140827_MW1007-100_Summary.xlsx,1,
20140827,MW1007-100,1,2,AB,Acetaminophen,0.03,44022.33333,ON_20140827_MW1007-100_Summary.xlsx,1,
20140827,MW1007-100,1,3,AB,Acetaminophen,0.1,41645.33333,ON_20140827_MW1007-100_Summary.xlsx,1,
20140827,MW1007-100,1,4,AB,Acetaminophen,0.3,43615.33333,ON_20140827_MW1007-100_Summary.xlsx,1,
20140827,MW1007-100,1,5,AB,Acetaminophen,1,41186.33333,ON_20140827_MW1007-100_Summary.xlsx,1,
20140827,MW1007-100,1,6,AB,Acetaminophen,3,42842.33333,ON_20140827_MW1007-100_Summary.xlsx,1,
20140827,MW1007-100,1,7,AB,Acetaminophen,10,42418.33333,ON_20140827_MW1007-100_Summary.xlsx,1,
20140827,MW1007-100,1,8,AB,Acetaminophen,30,43466.33333,ON_20140827_MW1007-100_Summary.xlsx,1,
20140827,MW1007-100,2,1,AB,Bisphenol A,0,47528.33333,ON_20140827_MW1007-100_Summary.xlsx,1,
20140827,MW1007-100,2,2,AB,Bisphenol A,0.03,45103.33333,ON_20140827_MW1007-100_Summary.xlsx,1,
20140827,MW1007-100,2,3,AB,Bisphenol A,0.1,42980.33333,ON_20140827_MW1007-100_Summary.xlsx,1,
20140827,MW1007-100,2,4,AB,Bisphenol A,0.3,40305.33333,ON_20140827_MW1007-100_Summary.xlsx,1,
20140827,MW1007-100,2,5,AB,Bisphenol A,1,40316.33333,ON_20140827_MW1007-100_Summary.xlsx,1,
20140827,MW1007-100,2,6,AB,Bisphenol A,3,41408.33333,ON_20140827_MW1007-100_Summary.xlsx,1,
20140827,MW1007-100,2,7,AB,Bisphenol A,10,38904.33333,ON_20140827_MW1007-100_Summary.xlsx,1,
20140827,MW1007-100,2,8,AB,Bisphenol A,30,40639.33333,ON_20140827_MW1007-100_Summary.xlsx,1,
20140827,MW1007-100,3,1,AB,Deltamethrin,0,42560.33333,ON_20140827_MW1007-100_Summary.xlsx,1,
20140827,MW1007-100,3,2,AB,Deltamethrin,0.03,39864.33333,ON_20140827_MW1007-100_Summary.xlsx,1,
20140827,MW1007-100,3,3,AB,Deltamethrin,0.1,39372.33333,ON_20140827_MW1007-100_Summary.xlsx,1,
20140827,MW1007-100,3,4,AB,Deltamethrin,0.3,38933.33333,ON_20140827_MW1007-100_Summary.xlsx,1,
20140827,MW1007-100,3,5,AB,Deltamethrin,1,39723.33333,ON_20140827_MW1007-100_Summary.xlsx,1,
20140827,MW1007-100,3,6,AB,Deltamethrin,3,45614.33333,ON_20140827_MW1007-100_Summary.xlsx,1,
20140827,MW1007-100,3,7,AB,Deltamethrin,10,37469.33333,ON_20140827_MW1007-100_Summary.xlsx,1,
20140827,MW1007-100,3,8,AB,Deltamethrin,30,19023.33333,ON_20140827_MW1007-100_Summary.xlsx,1,
20140827,MW1007-100,4,1,AB,Cocaine,0,40335.33333,ON_20140827_MW1007-100_Summary.xlsx,1,
20140827,MW1007-100,4,2,AB,Cocaine,0.03,38577.33333,ON_20140827_MW1007-100_Summary.xlsx,1,
20140827,MW1007-100,4,3,AB,Cocaine,0.1,40286.33333,ON_20140827_MW1007-100_Summary.xlsx,1,
20140827,MW1007-100,4,4,AB,Cocaine,0.3,40444.33333,ON_20140827_MW1007-100_Summary.xlsx,1,
20140827,MW1007-100,4,5,AB,Cocaine,1,38156.33333,ON_20140827_MW1007-100_Summary.xlsx,1,
20140827,MW1007-100,4,6,AB,Cocaine,3,39848.33333,ON_20140827_MW1007-100_Summary.xlsx,1,
