date,Plate.SN,DIV,well,wllq,wllq_notes,affected_endpoints
20150805,MW1038-36,,A1,0,Data unusable,"LDH,CTB"
20150806,MW1038-37,,A2,0,Data unusable,"LDH,CTB"
20150807,MW1038-38,,A3,0,Data unusable,"LDH,CTB"
20150808,MW1038-39,,A4,0,Data unusable,"LDH,CTB"
20150809,MW1038-40,,A5,0,Data unusable,"LDH,CTB"
20150810,MW1038-41,,A6,0,Data unusable,"LDH,CTB"
20150811,MW1038-42,,A7,0,Data unusable,"LDH,CTB"
20150812,MW1038-43,,A8,0,Data unusable,"LDH,CTB"
20150813,MW1038-44,,B1,0,Data unusable,"LDH,CTB"
20150814,MW1038-45,,B2,0,Data unusable,"LDH,CTB"
20150815,MW1038-46,,B3,0,Data unusable,"LDH,CTB"
20150816,MW1038-47,,B4,0,Data unusable,"LDH,CTB"
20150817,MW1038-48,,B5,0,Data unusable,"LDH,CTB"
20150818,MW1038-49,,B6,0,Data unusable,"LDH,CTB"
20150819,MW1038-50,,B7,0,Data unusable,"LDH,CTB"
20150820,MW1038-51,,B8,0,Data unusable,"LDH,CTB"
20150821,MW1038-52,,C1,0,Data unusable,"LDH,CTB"
20150822,MW1038-53,,C2,0,Data unusable,"LDH,CTB"
20150823,MW1038-54,,C3,0,Data unusable,"LDH,CTB"
20150824,MW1038-55,,C4,0,Data unusable,"LDH,CTB"
20150825,MW1038-56,,C5,0,Data unusable,"LDH,CTB"
20150826,MW1038-57,,C6,0,Data unusable,"LDH,CTB"
20150827,MW1038-58,,C7,0,Data unusable,"LDH,CTB"
20150828,MW1038-59,,C8,0,Data unusable,"LDH,CTB"
20150829,MW1038-60,,D1,0,Data unusable,"LDH,CTB"
20150830,MW1038-61,,D2,0,Data unusable,"LDH,CTB"
20150831,MW1038-62,,D3,0,Data unusable,"LDH,CTB"
20150832,MW1038-63,,D4,0,Data unusable,"LDH,CTB"
20150833,MW1038-64,,D5,0,Data unusable,"LDH,CTB"
20150834,MW1038-65,,D6,0,Data unusable,"LDH,CTB"
20150835,MW1038-66,,D7,0,Data unusable,"LDH,CTB"
20150836,MW1038-67,,D8,0,Data unusable,"LDH,CTB"
20150837,MW1038-68,,E1,0,Data unusable,"LDH,CTB"
20150838,MW1038-69,,E2,0,Data unusable,"LDH,CTB"
20150839,MW1038-70,,E3,0,Data unusable,"LDH,CTB"
20150840,MW1038-71,,E4,0,Data unusable,"LDH,CTB"
20150841,MW1038-72,,E5,0,Data unusable,"LDH,CTB"
20150842,MW1038-73,,E6,0,Data unusable,"LDH,CTB"
20150843,MW1038-74,,E7,0,Data unusable,"LDH,CTB"
20150844,MW1038-75,,E8,0,Data unusable,"LDH,CTB"
20150845,MW1038-76,,F1,0,Data unusable,"LDH,CTB"
20150846,MW1038-77,,F2,0,Data unusable,"LDH,CTB"
20150847,MW1038-78,,F3,0,Data unusable,"LDH,CTB"
20150848,MW1038-79,,F4,0,Data unusable,"LDH,CTB"
20150849,MW1038-80,,F5,0,Data unusable,"LDH,CTB"
20150850,MW1038-81,,F6,0,Data unusable,"LDH,CTB"
20150851,MW1038-82,,F7,0,Data unusable,"LDH,CTB"
20150852,MW1038-83,,F8,0,Data unusable,"LDH,CTB"
