date,Plate.SN,DIV,well,trt,dose,units,file.name,wt.mean.resistance
20211103,MW507214B,0,A1,Thiamethoxam,0.03,uM,iNFA_20211103_MW507214B_00_(000)(000)_Compiler.csv,10.226751
20211103,MW507214B,0,A2,DMSO,0,uM,iNFA_20211103_MW507214B_00_(000)(000)_Compiler.csv,10.447002
20211103,MW507214B,0,A3,Thiamethoxam,0.1,uM,iNFA_20211103_MW507214B_00_(000)(000)_Compiler.csv,9.267133
20211103,MW507214B,0,A4,Thiamethoxam,0.3,uM,iNFA_20211103_MW507214B_00_(000)(000)_Compiler.csv,9.557551
20211103,MW507214B,0,A5,Thiamethoxam,1,uM,iNFA_20211103_MW507214B_00_(000)(000)_Compiler.csv,9.505403
20211103,MW507214B,0,A6,Thiamethoxam,3,uM,iNFA_20211103_MW507214B_00_(000)(000)_Compiler.csv,9.319442
20211103,MW507214B,0,A7,Thiamethoxam,10,uM,iNFA_20211103_MW507214B_00_(000)(000)_Compiler.csv,10.009538
20211103,MW507214B,0,A8,Thiamethoxam,30,uM,iNFA_20211103_MW507214B_00_(000)(000)_Compiler.csv,10.338545
20211103,MW507214B,0,B1,Tributyltin Chloride,0.03,uM,iNFA_20211103_MW507214B_00_(000)(000)_Compiler.csv,9.655638
20211103,MW507214B,0,B2,DMSO,0,uM,iNFA_20211103_MW507214B_00_(000)(000)_Compiler.csv,10.252826
20211103,MW507214B,0,B3,Tributyltin Chloride,0.1,uM,iNFA_20211103_MW507214B_00_(000)(000)_Compiler.csv,9.896237
20211103,MW507214B,0,B4,Tributyltin Chloride,0.3,uM,iNFA_20211103_MW507214B_00_(000)(000)_Compiler.csv,9.99267
20211103,MW507214B,0,B5,Tributyltin Chloride,1,uM,iNFA_20211103_MW507214B_00_(000)(000)_Compiler.csv,9.281464
20211103,MW507214B,0,B6,Tributyltin Chloride,3,uM,iNFA_20211103_MW507214B_00_(000)(000)_Compiler.csv,8.363345
20211103,MW507214B,0,B7,Tributyltin Chloride,10,uM,iNFA_20211103_MW507214B_00_(000)(000)_Compiler.csv,9.524977
20211103,MW507214B,0,B8,Tributyltin Chloride,30,uM,iNFA_20211103_MW507214B_00_(000)(000)_Compiler.csv,8.877262
20211103,MW507214B,0,C1,Deltamethrin,0.03,uM,iNFA_20211103_MW507214B_00_(000)(000)_Compiler.csv,8.664574
20211103,MW507214B,0,C2,EtOH:DMSO,0,uM,iNFA_20211103_MW507214B_00_(000)(000)_Compiler.csv,9.105493
20211103,MW507214B,0,C3,Deltamethrin,0.1,uM,iNFA_20211103_MW507214B_00_(000)(000)_Compiler.csv,9.682291
20211103,MW507214B,0,C4,Deltamethrin,0.3,uM,iNFA_20211103_MW507214B_00_(000)(000)_Compiler.csv,8.636669
20211103,MW507214B,0,C5,Deltamethrin,1,uM,iNFA_20211103_MW507214B_00_(000)(000)_Compiler.csv,10.220789
20211103,MW507214B,0,C6,Deltamethrin,3,uM,iNFA_20211103_MW507214B_00_(000)(000)_Compiler.csv,9.071811
20211103,MW507214B,0,C7,Deltamethrin,10,uM,iNFA_20211103_MW507214B_00_(000)(000)_Compiler.csv,8.53726
20211103,MW507214B,0,C8,Deltamethrin,30,uM,iNFA_20211103_MW507214B_00_(000)(000)_Compiler.csv,9.688662
20211103,MW507214B,0,D1,Glyphosate,0.03,uM,iNFA_20211103_MW507214B_00_(000)(000)_Compiler.csv,8.654772
20211103,MW507214B,0,D2,H2O,0,uM,iNFA_20211103_MW507214B_00_(000)(000)_Compiler.csv,9.564044
20211103,MW507214B,0,D3,Glyphosate,0.1,uM,iNFA_20211103_MW507214B_00_(000)(000)_Compiler.csv,9.406089
20211103,MW507214B,0,D4,Glyphosate,0.3,uM,iNFA_20211103_MW507214B_00_(000)(000)_Compiler.csv,9.809426
20211103,MW507214B,0,D5,Glyphosate,1,uM,iNFA_20211103_MW507214B_00_(000)(000)_Compiler.csv,9.462276
20211103,MW507214B,0,D6,Glyphosate,3,uM,iNFA_20211103_MW507214B_00_(000)(000)_Compiler.csv,9.265868
20211103,MW507214B,0,D7,Glyphosate,10,uM,iNFA_20211103_MW507214B_00_(000)(000)_Compiler.csv,8.536237
20211103,MW507214B,0,D8,Glyphosate,30,uM,iNFA_20211103_MW507214B_00_(000)(000)_Compiler.csv,9.414137
20211103,MW507214B,0,E1,Lindane,0.03,uM,iNFA_20211103_MW507214B_00_(000)(000)_Compiler.csv,9.912711
20211103,MW507214B,0,E2,EtOH,0,uM,iNFA_20211103_MW507214B_00_(000)(000)_Compiler.csv,8.873549
20211103,MW507214B,0,E3,Lindane,0.1,uM,iNFA_20211103_MW507214B_00_(000)(000)_Compiler.csv,8.440307
20211103,MW507214B,0,E4,Lindane,0.3,uM,iNFA_20211103_MW507214B_00_(000)(000)_Compiler.csv,9.595343
20211103,MW507214B,0,E5,Lindane,1,uM,iNFA_20211103_MW507214B_00_(000)(000)_Compiler.csv,8.71689
20211103,MW507214B,0,E6,Lindane,3,uM,iNFA_20211103_MW507214B_00_(000)(000)_Compiler.csv,8.968017
20211103,MW507214B,0,E7,Lindane,10,uM,iNFA_20211103_MW507214B_00_(000)(000)_Compiler.csv,8.674714
20211103,MW507214B,0,E8,Lindane,30,uM,iNFA_20211103_MW507214B_00_(000)(000)_Compiler.csv,8.599489
20211103,MW507214B,0,F1,Rotenone,0.03,uM,iNFA_20211103_MW507214B_00_(000)(000)_Compiler.csv,9.942642
20211103,MW507214B,0,F2,DMSO,0,uM,iNFA_20211103_MW507214B_00_(000)(000)_Compiler.csv,9.431435
20211103,MW507214B,0,F3,Rotenone,0.1,uM,iNFA_20211103_MW507214B_00_(000)(000)_Compiler.csv,8.905694
20211103,MW507214B,0,F4,Rotenone,0.3,uM,iNFA_20211103_MW507214B_00_(000)(000)_Compiler.csv,8.410519
20211103,MW507214B,0,F5,Rotenone,1,uM,iNFA_20211103_MW507214B_00_(000)(000)_Compiler.csv,9.187367
