"date","Plate.SN","well","treatment","dose","units","wllq_by_well","wllq_notes_by_well","meanfiringrate_auc","burst.per.min_auc","mean.isis_auc","per.spikes.in.burst_auc","mean.dur_auc","mean.IBIs_auc","nAE_auc","nABE_auc","ns.n_auc","ns.peak.m_auc","ns.durn.m_auc","ns.percent.of.spikes.in.ns_auc","ns.mean.insis_auc","ns.durn.sd_auc","ns.mean.spikes.in.ns_auc","r_auc","mi_auc"
"20211103","MW502622D","A2","DMSO","0","uM","1","",6.124666,2.715,0.107932,174.568438,0.7855,259.763188,32,14.5,27,14.833333,0.284709,28.708712,75.436765,0.018792,138.583333,0.405004,0.010188
"20211103","MW507214B","A2","DMSO","0","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D; ",4.720487,4.681,0.225477,83.3634,3.6259,240.34945,28.75,23.75,25.5,48.823529,0.721032,11.163454,754.775,0.116915,243.970588,0.243683,0.007629
"20220209","MW89-4613","A2","DMSO","0","uM","1","",7.906631,6.822054,0.058723,336.671129,2.22071,238.539862,69,61,121.5,58.670765,1.360997,53.277603,210.008068,0.359962,494.702186,2.007649,0.087063
"20220209","MW89-4616","A2","DMSO","0","uM","1","",5.159471,6.135,0.192736,227.4095,1.902727,126.621,51,20.5,106.5,45.180556,1.053025,91.594997,213.224261,0.340078,368.671627,2.164592,0.05963
"20211103","MW502622B","B2","DMSO","0","uM","1","",3.51053,4.9275,0.038935,97.4445,0.844031,35.971031,29,24,31.5,24,0.337697,21.94182,37.71,0.092108,264.357143,0.453729,0.015896
"20211103","MW507214B","B2","DMSO","0","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D; ",7.550393,8.803,0.266502,77.572875,2.22825,232.961375,32.75,19.25,13.5,47.166667,0.773257,3.078126,813.640625,0.149786,207.166667,0.087714,0.004383
"20220209","MW89-4613","B2","DMSO","0","uM","1","",6.818447,6.124,0.387655,343.932536,5.068971,425.585464,81,50.5,109.5,82.157012,1.545105,85.885425,547.87375,0.550002,689.00686,2.180746,0.065213
"20220209","MW89-4615","B2","DMSO","0","uM","1","",6.792363,6.35961,0.016241,136.43925,0.671625,22.584125,82,18,109,89.313559,1.479931,92.641027,870.663434,0.280035,905.567797,2.126223,0.075315
"20211103","MW502622B","C2","DMSO","0","uM","1","",6.518762,6.519375,0.234098,152.645813,1.770781,131.088688,48.5,26.5,82,46.735849,0.806531,22.670026,24.522115,0.075897,170.688679,0.441587,0.025855
"20211103","MW502622D","C2","DMSO","0","uM","1","",6.627898,3.522857,0.430432,101.789036,4.909321,253.822036,40.5,23.5,39,21.576923,0.249171,33.1557,50.805,0.033506,220.153846,0.420545,0.015324
"20220209","MW89-4615","C2","DMSO","0","uM","1","",4.840297,4.892,0.140109,316.654024,3.918667,449.130536,80,30.5,65.5,93.888889,1.582694,79.858004,837.365385,0.298816,857.738889,1.868478,0.044389
