"date","Plate.SN","well","treatment","dose","units","wllq_by_well","wllq_notes_by_well","wt.mean.resistance_auc"
"20211103","MW502622D","A2","DMSO","0","uM","1","","246.995696"
"20211103","MW507214B","A2","DMSO","0","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","224.945231"
"20220209","MW89-4613","A2","DMSO","0","uM","1","","211.541348"
"20220209","MW89-4616","A2","DMSO","0","uM","1","","203.934869"
"20211103","MW502622B","B2","DMSO","0","uM","1","","247.877794"
"20211103","MW507214B","B2","DMSO","0","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","237.64521"
"20220209","MW89-4613","B2","DMSO","0","uM","1","","228.511556"
"20220209","MW89-4615","B2","DMSO","0","uM","1","","227.073552"
"20211103","MW502622B","C2","DMSO","0","uM","1","","230.115484"
"20211103","MW502622D","C2","DMSO","0","uM","1","","221.207058"
"20220209","MW89-4615","C2","DMSO","0","uM","1","","241.343007"
"20220209","MW89-4616","C2","DMSO","0","uM","1","","212.52271"
"20211103","MW502622B","D2","DMSO","0","uM","1","","235.96419"
"20220209","MW89-4615","D2","DMSO","0","uM","1","","251.633825"
"20211103","MW502622D","E2","DMSO","0","uM","1","","190.51999"
"20220209","MW89-4616","E2","DMSO","0","uM","1","","210.940888"
"20211103","MW507214B","F2","DMSO","0","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","235.827059"
"20220209","MW89-4613","F2","DMSO","0","uM","1","","192.343718"
"20211103","MW502622D","D2","EtOH","0","uM","1","","209.764132"
"20220209","MW89-4616","D2","EtOH","0","uM","1","","201.364342"
"20211103","MW507214B","E2","EtOH","0","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","217.178235"
"20220209","MW89-4613","E2","EtOH","0","uM","1","","211.800672"
"20211103","MW502622B","F2","EtOH","0","uM","1","","184.908601"
"20220209","MW89-4615","F2","EtOH","0","uM","1","","227.855646"
"20211103","MW502622B","A2","EtOH:DMSO","0","uM","1","","250.331588"
"20220209","MW89-4615","A2","EtOH:DMSO","0","uM","1","","225.020495"
"20211103","MW502622D","B2","EtOH:DMSO","0","uM","1","","221.823288"
"20220209","MW89-4616","B2","EtOH:DMSO","0","uM","1","","204.774112"
"20211103","MW507214B","C2","EtOH:DMSO","0","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","217.195787"
"20220209","MW89-4613","C2","EtOH:DMSO","0","uM","1","","204.641613"
"20211103","MW507214B","D2","H2O","0","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","235.88484"
"20220209","MW89-4613","D2","H2O","0","uM","1","","201.401102"
"20211103","MW502622B","E2","H2O","0","uM","1","","228.967512"
"20220209","MW89-4615","E2","H2O","0","uM","1","","240.897085"
"20211103","MW502622D","F2","H2O","0","uM","1","","193.09435"
"20220209","MW89-4616","F2","H2O","0","uM","1","","186.419268"
"20220209","MW89-4615","D5","Rotenone","0.001","uM","1","","251.830101"
"20220209","MW89-4616","E5","Rotenone","0.001","uM","1","","217.194344"
"20220209","MW89-4613","F5","Rotenone","0.001","uM","1","","217.06913"
"20220209","MW89-4616","A4","Tributyltin Chloride","0.001","uM","1","","200.714049"
"20220209","MW89-4613","B4","Tributyltin Chloride","0.001","uM","1","","218.347405"
"20220209","MW89-4615","C4","Tributyltin Chloride","0.001","uM","1","","266.151666"
"20220209","MW89-4615","D6","Rotenone","0.003","uM","1","","227.142218"
"20220209","MW89-4616","E6","Rotenone","0.003","uM","1","","207.638725"
"20220209","MW89-4613","F6","Rotenone","0.003","uM","1","","197.851012"
"20220209","MW89-4616","A5","Tributyltin Chloride","0.003","uM","1","","233.718836"
"20220209","MW89-4613","B5","Tributyltin Chloride","0.003","uM","1","","222.399663"
"20220209","MW89-4615","C5","Tributyltin Chloride","0.003","uM","1","","224.066414"
"20220209","MW89-4615","D7","Rotenone","0.01","uM","1","","219.163765"
"20220209","MW89-4616","E7","Rotenone","0.01","uM","1","","231.473957"
"20220209","MW89-4613","F7","Rotenone","0.01","uM","1","","223.944013"
"20220209","MW89-4616","A6","Tributyltin Chloride","0.01","uM","1","","244.81055"
"20220209","MW89-4613","B6","Tributyltin Chloride","0.01","uM","1","","226.7287"
"20220209","MW89-4615","C6","Tributyltin Chloride","0.01","uM","1","","242.947939"
"20211103","MW502622B","A1","Deltamethrin","0.03","uM","1","","220.795306"
"20220209","MW89-4615","A1","Deltamethrin","0.03","uM","1","","210.744721"
"20211103","MW502622D","B1","Deltamethrin","0.03","uM","1","","227.890554"
"20220209","MW89-4616","B1","Deltamethrin","0.03","uM","1","","224.49319"
"20211103","MW507214B","C1","Deltamethrin","0.03","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","213.095576"
"20220209","MW89-4613","C1","Deltamethrin","0.03","uM","1","","196.688124"
"20211103","MW507214B","D1","Glyphosate","0.03","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","208.940639"
"20220209","MW89-4613","D1","Glyphosate","0.03","uM","1","","179.23933"
"20211103","MW502622B","E1","Glyphosate","0.03","uM","1","","208.183716"
"20220209","MW89-4615","E1","Glyphosate","0.03","uM","1","","202.636361"
"20211103","MW502622D","F1","Glyphosate","0.03","uM","1","","200.814087"
"20220209","MW89-4616","F1","Glyphosate","0.03","uM","1","","216.589547"
"20211103","MW502622D","D1","Lindane","0.03","uM","1","","143.887255"
"20220209","MW89-4616","D1","Lindane","0.03","uM","1","","192.028364"
"20211103","MW507214B","E1","Lindane","0.03","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","209.42242"
"20220209","MW89-4613","E1","Lindane","0.03","uM","1","","190.720613"
"20211103","MW502622B","F1","Lindane","0.03","uM","1","","178.61343"
"20220209","MW89-4615","F1","Lindane","0.03","uM","1","","200.71349"
"20211103","MW502622B","D1","Rotenone","0.03","uM","1","","157.695249"
"20220209","MW89-4615","D8","Rotenone","0.03","uM","1","","228.379322"
"20211103","MW502622D","E1","Rotenone","0.03","uM","1","","119.437484"
"20220209","MW89-4616","E8","Rotenone","0.03","uM","1","","227.734814"
"20211103","MW507214B","F1","Rotenone","0.03","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","126.312064"
"20220209","MW89-4613","F8","Rotenone","0.03","uM","1","","238.925754"
"20211103","MW507214B","A1","Thiamethoxam","0.03","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","232.501353"
"20220209","MW89-4613","A1","Thiamethoxam","0.03","uM","1","","213.428824"
"20211103","MW502622B","B1","Thiamethoxam","0.03","uM","1","","229.365146"
"20220209","MW89-4615","B1","Thiamethoxam","0.03","uM","1","","225.040219"
"20211103","MW502622D","C1","Thiamethoxam","0.03","uM","1","","163.8496"
"20220209","MW89-4616","C1","Thiamethoxam","0.03","uM","1","","217.268868"
"20211103","MW502622D","A1","Tributyltin Chloride","0.03","uM","1","","213.74174"
