"date","Plate.SN","DIV","well","treatment","dose","units","file.name","wt.mean.resistance","wllq_by_well","wllq_notes_by_well"
20211103,"MW502622B",0,"A1","Deltamethrin","0.03","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",11.171643,"1",""
20211103,"MW502622B",0,"A2","EtOH:DMSO","0","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",11.774529,"1",""
20211103,"MW502622B",0,"A3","Deltamethrin","0.1","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",11.438391,"1",""
20211103,"MW502622B",0,"A4","Deltamethrin","0.3","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",11.899279,"1",""
20211103,"MW502622B",0,"A5","Deltamethrin","1","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",10.150155,"1",""
20211103,"MW502622B",0,"A6","Deltamethrin","3","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",9.940465,"1",""
20211103,"MW502622B",0,"A7","Deltamethrin","10","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",9.798796,"1",""
20211103,"MW502622B",0,"A8","Deltamethrin","30","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",10.260664,"1",""
20211103,"MW502622B",0,"B1","Thiamethoxam","0.03","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",10.026177,"1",""
20211103,"MW502622B",0,"B2","DMSO","0","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",9.544456,"1",""
20211103,"MW502622B",0,"B3","Thiamethoxam","0.1","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",10.999012,"1",""
20211103,"MW502622B",0,"B4","Thiamethoxam","0.3","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",11.010092,"1",""
20211103,"MW502622B",0,"B5","Thiamethoxam","1","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",10.621497,"1",""
20211103,"MW502622B",0,"B6","Thiamethoxam","3","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",10.292294,"1",""
20211103,"MW502622B",0,"B7","Thiamethoxam","10","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",10.377948,"1",""
20211103,"MW502622B",0,"B8","Thiamethoxam","30","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",10.331051,"1",""
20211103,"MW502622B",0,"C1","Tributyltin Chloride","0.03","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",10.065487,"1",""
20211103,"MW502622B",0,"C2","DMSO","0","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",10.390861,"1",""
20211103,"MW502622B",0,"C3","Tributyltin Chloride","0.1","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",11.190529,"1",""
20211103,"MW502622B",0,"C4","Tributyltin Chloride","0.3","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",10.963694,"1",""
20211103,"MW502622B",0,"C5","Tributyltin Chloride","1","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",11.295979,"1",""
20211103,"MW502622B",0,"C6","Tributyltin Chloride","3","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",9.990491,"1",""
20211103,"MW502622B",0,"C7","Tributyltin Chloride","10","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",9.891743,"1",""
20211103,"MW502622B",0,"C8","Tributyltin Chloride","30","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",9.312577,"1",""
20211103,"MW502622B",0,"D1","Rotenone","0.03","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",10.829811,"1",""
20211103,"MW502622B",0,"D2","DMSO","0","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",10.848148,"1",""
20211103,"MW502622B",0,"D3","Rotenone","0.1","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",11.6157,"1",""
20211103,"MW502622B",0,"D4","Rotenone","0.3","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",10.728074,"1",""
20211103,"MW502622B",0,"D5","Rotenone","1","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",11.692083,"1",""
20211103,"MW502622B",0,"D6","Rotenone","3","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",10.600584,"1",""
20211103,"MW502622B",0,"D7","Rotenone","10","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",9.886142,"1",""
20211103,"MW502622B",0,"D8","Rotenone","30","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",10.990987,"1",""
20211103,"MW502622B",0,"E1","Glyphosate","0.03","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",11.098768,"1",""
20211103,"MW502622B",0,"E2","H2O","0","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",11.057718,"1",""
20211103,"MW502622B",0,"E3","Glyphosate","0.1","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",10.429815,"1",""
20211103,"MW502622B",0,"E4","Glyphosate","0.3","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",10.298215,"1",""
20211103,"MW502622B",0,"E5","Glyphosate","1","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",10.54409,"1",""
20211103,"MW502622B",0,"E6","Glyphosate","3","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",10.462049,"1",""
20211103,"MW502622B",0,"E7","Glyphosate","10","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",9.716301,"1",""
20211103,"MW502622B",0,"E8","Glyphosate","30","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",8.824992,"1",""
20211103,"MW502622B",0,"F1","Lindane","0.03","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",12.07049,"1",""
20211103,"MW502622B",0,"F2","EtOH","0","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",11.767003,"1",""
20211103,"MW502622B",0,"F3","Lindane","0.1","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",12.151857,"1",""
20211103,"MW502622B",0,"F4","Lindane","0.3","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",12.225036,"1",""
20211103,"MW502622B",0,"F5","Lindane","1","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",10.772539,"1",""
20211103,"MW502622B",0,"F6","Lindane","3","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",12.575769,"1",""
20211103,"MW502622B",0,"F7","Lindane","10","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",11.187987,"1",""
20211103,"MW502622B",0,"F8","Lindane","30","uM","iNFA_20211103_MW502622B_00_(000)(000)_Compiler.csv",11.963012,"1",""
20211103,"MW502622B",2,"A1","Deltamethrin","0.03","uM","iNFA_20211103_MW502622B_02_00(000)(000)_Compiler.csv",17.676764,"1",""
