"date","Plate.SN","rowi","coli","src_acsn","treatment","conc","rval","srcf","wllq_by_well","wllq_notes_by_well"
"20211103","MW502622B",1,1,"AB","Deltamethrin",0.03,4344.66666666667,"20211103_NFA_Impedance_Calculations.xlsx",1,""
"20211103","MW502622B",1,1,"LDH","Deltamethrin",0.03,0.105766666666667,"20211103_NFA_Impedance_Calculations.xlsx",1,""
"20211103","MW502622B",1,2,"AB","Deltamethrin",0,6823.66666666667,"20211103_NFA_Impedance_Calculations.xlsx",1,""
"20211103","MW502622B",1,2,"LDH","Deltamethrin",0,0.219466666666667,"20211103_NFA_Impedance_Calculations.xlsx",1,""
"20211103","MW502622B",1,3,"AB","Deltamethrin",0.1,9106.66666666667,"20211103_NFA_Impedance_Calculations.xlsx",1,""
"20211103","MW502622B",1,3,"LDH","Deltamethrin",0.1,0.271866666666667,"20211103_NFA_Impedance_Calculations.xlsx",1,""
"20211103","MW502622B",1,4,"AB","Deltamethrin",0.3,8141.66666666667,"20211103_NFA_Impedance_Calculations.xlsx",1,""
"20211103","MW502622B",1,4,"LDH","Deltamethrin",0.3,0.397866666666667,"20211103_NFA_Impedance_Calculations.xlsx",1,""
"20211103","MW502622B",1,5,"AB","Deltamethrin",1,6917.66666666667,"20211103_NFA_Impedance_Calculations.xlsx",1,""
"20211103","MW502622B",1,5,"LDH","Deltamethrin",1,0.307366666666667,"20211103_NFA_Impedance_Calculations.xlsx",1,""
"20211103","MW502622B",1,6,"AB","Deltamethrin",3,7893.66666666667,"20211103_NFA_Impedance_Calculations.xlsx",1,""
"20211103","MW502622B",1,6,"LDH","Deltamethrin",3,0.298366666666667,"20211103_NFA_Impedance_Calculations.xlsx",1,""
"20211103","MW502622B",1,7,"AB","Deltamethrin",10,7464.66666666667,"20211103_NFA_Impedance_Calculations.xlsx",1,""
"20211103","MW502622B",1,7,"LDH","Deltamethrin",10,0.106966666666667,"20211103_NFA_Impedance_Calculations.xlsx",1,""
"20211103","MW502622B",1,8,"AB","Deltamethrin",30,311.666666666667,"20211103_NFA_Impedance_Calculations.xlsx",1,""
"20211103","MW502622B",1,8,"LDH","Deltamethrin",30,0.00286666666666667,"20211103_NFA_Impedance_Calculations.xlsx",1,""
"20211103","MW502622B",2,1,"AB","Thiamethoxam",0.03,9044.66666666667,"20211103_NFA_Impedance_Calculations.xlsx",1,""
"20211103","MW502622B",2,1,"LDH","Thiamethoxam",0.03,0.504566666666667,"20211103_NFA_Impedance_Calculations.xlsx",1,""
"20211103","MW502622B",2,2,"AB","Thiamethoxam",0,11842.6666666667,"20211103_NFA_Impedance_Calculations.xlsx",1,""
"20211103","MW502622B",2,2,"LDH","Thiamethoxam",0,0.784466666666667,"20211103_NFA_Impedance_Calculations.xlsx",1,""
"20211103","MW502622B",2,3,"AB","Thiamethoxam",0.1,12233.6666666667,"20211103_NFA_Impedance_Calculations.xlsx",1,""
"20211103","MW502622B",2,3,"LDH","Thiamethoxam",0.1,0.992766666666667,"20211103_NFA_Impedance_Calculations.xlsx",1,""
"20211103","MW502622B",2,4,"AB","Thiamethoxam",0.3,11180.6666666667,"20211103_NFA_Impedance_Calculations.xlsx",1,""
"20211103","MW502622B",2,4,"LDH","Thiamethoxam",0.3,0.922666666666667,"20211103_NFA_Impedance_Calculations.xlsx",1,""
"20211103","MW502622B",2,5,"AB","Thiamethoxam",1,10738.6666666667,"20211103_NFA_Impedance_Calculations.xlsx",1,""
"20211103","MW502622B",2,5,"LDH","Thiamethoxam",1,0.236166666666667,"20211103_NFA_Impedance_Calculations.xlsx",1,""
"20211103","MW502622B",2,6,"AB","Thiamethoxam",3,352.666666666667,"20211103_NFA_Impedance_Calculations.xlsx",1,""
"20211103","MW502622B",2,6,"LDH","Thiamethoxam",3,0.0734666666666667,"20211103_NFA_Impedance_Calculations.xlsx",1,""
"20211103","MW502622B",2,7,"AB","Thiamethoxam",10,290.666666666667,"20211103_NFA_Impedance_Calculations.xlsx",1,""
"20211103","MW502622B",2,7,"LDH","Thiamethoxam",10,0.0579666666666667,"20211103_NFA_Impedance_Calculations.xlsx",1,""
"20211103","MW502622B",2,8,"AB","Thiamethoxam",30,310.666666666667,"20211103_NFA_Impedance_Calculations.xlsx",1,""
"20211103","MW502622B",2,8,"LDH","Thiamethoxam",30,0.0573666666666667,"20211103_NFA_Impedance_Calculations.xlsx",1,""
"20211103","MW502622B",3,1,"AB","Tributyltin Chloride",0.03,8275.66666666667,"20211103_NFA_Impedance_Calculations.xlsx",1,""
"20211103","MW502622B",3,1,"LDH","Tributyltin Chloride",0.03,0.363966666666667,"20211103_NFA_Impedance_Calculations.xlsx",1,""
"20211103","MW502622B",3,2,"AB","Tributyltin Chloride",0,14689.6666666667,"20211103_NFA_Impedance_Calculations.xlsx",1,""
"20211103","MW502622B",3,2,"LDH","Tributyltin Chloride",0,0.789766666666667,"20211103_NFA_Impedance_Calculations.xlsx",1,""
