"date","Plate.SN","well","DIV","treatment","dose","units","file.name","meanfiringrate","burst.per.min","mean.isis","per.spikes.in.burst","mean.dur","mean.IBIs","nAE","nABE","ns.n","ns.peak.m","ns.durn.m","ns.percent.of.spikes.in.ns","ns.mean.insis","ns.durn.sd","ns.mean.spikes.in.ns","r","mi","wllq_by_well","wllq_notes_by_well"
"20211103","MW502622B","A1",12,"Deltamethrin","0.03","uM","iNFA_20211103_MW502622B_12_00(000).h5",2.09806245584985,3.255,0.159453965896172,42.345,1.9935,36.974,4,2,0,NA,NA,0,NA,NA,NA,-0.00114527706970519,1.10728083704825e-05,1,""
"20211103","MW502622B","A1",5,"Deltamethrin","0.03","uM","iNFA_20211103_MW502622B_05_00(000)(000).h5",0.347795936887344,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20211103","MW502622B","A1",7,"Deltamethrin","0.03","uM","iNFA_20211103_MW502622B_07_00(000).h5",2.0323087534127,0.03,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,0.0023395145721046,1.07302248752994e-08,1,""
"20211103","MW502622B","A1",9,"Deltamethrin","0.03","uM","iNFA_20211103_MW502622B_09_00(001).h5",0.96111213629739,0.12,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20211103","MW502622B","A2",12,"EtOH:DMSO","0","uM","iNFA_20211103_MW502622B_12_00(000).h5",2.25900742962444,2.952,0.153462442664505,19.8265,1.13166666666667,23.1985,10,6,0,NA,NA,0,NA,NA,NA,-0.000652407022006818,1.44408193634149e-05,1,""
"20211103","MW502622B","A2",5,"EtOH:DMSO","0","uM","iNFA_20211103_MW502622B_05_00(000)(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20211103","MW502622B","A2",7,"EtOH:DMSO","0","uM","iNFA_20211103_MW502622B_07_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20211103","MW502622B","A2",9,"EtOH:DMSO","0","uM","iNFA_20211103_MW502622B_09_00(001).h5",0.984815865285071,0.06,NA,0,NA,NA,3,0,0,NA,NA,0,NA,NA,NA,-0.00106257462345264,0,1,""
"20211103","MW502622B","A3",12,"Deltamethrin","0.1","uM","iNFA_20211103_MW502622B_12_00(000).h5",2.62189751201848,3.282,0.0999561682717543,49.8103333333333,6.0895,16.6065,10,6,0,NA,NA,0,NA,NA,NA,0.000221982083268778,2.083882562115e-05,1,""
"20211103","MW502622B","A3",5,"Deltamethrin","0.1","uM","iNFA_20211103_MW502622B_05_00(000)(000).h5",0.277567911169707,0,NA,0,NA,NA,3,0,0,NA,NA,0,NA,NA,NA,-0.00260665330958726,0,1,""
"20211103","MW502622B","A3",7,"Deltamethrin","0.1","uM","iNFA_20211103_MW502622B_07_00(000).h5",0.302235090720752,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20211103","MW502622B","A3",9,"Deltamethrin","0.1","uM","iNFA_20211103_MW502622B_09_00(001).h5",0.261666945778076,0.15,0.0539945454545432,26.238,0.264,78.63,4,1,0,NA,NA,0,NA,NA,NA,0.000970180828020896,0,1,""
"20211103","MW502622B","A4",12,"Deltamethrin","0.3","uM","iNFA_20211103_MW502622B_12_00(000).h5",1.74097794810525,5.73,0.0443529973088128,51.8572857142857,0.425428571428571,45.0162857142857,8,7,10,10.8,0.206,3.67153572838531,89.7444444444444,0.0330564017165274,46.5,0.0925826700717454,0.00113282935090228,1,""
"20211103","MW502622B","A4",5,"Deltamethrin","0.3","uM","iNFA_20211103_MW502622B_05_00(000)(000).h5",0.14157078200222,0.06,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,-0.00137196959336821,0,1,""
"20211103","MW502622B","A4",7,"Deltamethrin","0.3","uM","iNFA_20211103_MW502622B_07_00(000).h5",1.36005790824338,4.98,0.037782501571339,98.753,0.537,3.479,3,1,0,NA,NA,0,NA,NA,NA,0.00259995775560836,0,1,""
"20211103","MW502622B","A4",9,"Deltamethrin","0.3","uM","iNFA_20211103_MW502622B_09_00(001).h5",0.173333518222419,0,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,0.005602566488041,0,1,""
"20211103","MW502622B","A5",12,"Deltamethrin","1","uM","iNFA_20211103_MW502622B_12_00(000).h5",0.706854176616699,3.29,0.0267835750467664,67.44775,0.2245,37.3415,6,4,3,9,0.175833333333333,1.73019057171515,261.725,0.0237609623823055,23,0.0295669561003469,0.000102956656182381,1,""
"20211103","MW502622B","A5",5,"Deltamethrin","1","uM","iNFA_20211103_MW502622B_05_00(000)(000).h5",0.319184519002381,0.42,0.0390530000000008,14.224,0.174,49.95,3,1,0,NA,NA,0,NA,NA,NA,0.000646135135005993,0,1,""
"20211103","MW502622B","A5",7,"Deltamethrin","1","uM","iNFA_20211103_MW502622B_07_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20211103","MW502622B","A5",9,"Deltamethrin","1","uM","iNFA_20211103_MW502622B_09_00(001).h5",0.166666844444634,0.48,0.024257032258065,93.37,0.269,62.932,2,1,0,NA,NA,0,NA,NA,NA,-0.00163340812869461,0,1,""
"20211103","MW502622B","A6",12,"Deltamethrin","3","uM","iNFA_20211103_MW502622B_12_00(000).h5",0.322382012659572,0.111428571428571,NA,0,NA,NA,7,0,0,NA,NA,0,NA,NA,NA,0.00171772777859673,4.43578830317676e-06,1,""
"20211103","MW502622B","A6",5,"Deltamethrin","3","uM","iNFA_20211103_MW502622B_05_00(000)(000).h5",0.558480014040254,0.18,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20211103","MW502622B","A6",7,"Deltamethrin","3","uM","iNFA_20211103_MW502622B_07_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20211103","MW502622B","A6",9,"Deltamethrin","3","uM","iNFA_20211103_MW502622B_09_00(001).h5",0.353333710222624,1.18,0.0154266108786636,43.778,0.07,16.654,3,1,0,NA,NA,0,NA,NA,NA,3.28004349041281e-05,0,1,""
"20211103","MW502622B","A7",12,"Deltamethrin","10","uM","iNFA_20211103_MW502622B_12_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20211103","MW502622B","A7",5,"Deltamethrin","10","uM","iNFA_20211103_MW502622B_05_00(000)(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20211103","MW502622B","A7",7,"Deltamethrin","10","uM","iNFA_20211103_MW502622B_07_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20211103","MW502622B","A7",9,"Deltamethrin","10","uM","iNFA_20211103_MW502622B_09_00(001).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20211103","MW502622B","A8",12,"Deltamethrin","30","uM","iNFA_20211103_MW502622B_12_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20211103","MW502622B","A8",5,"Deltamethrin","30","uM","iNFA_20211103_MW502622B_05_00(000)(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20211103","MW502622B","A8",7,"Deltamethrin","30","uM","iNFA_20211103_MW502622B_07_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20211103","MW502622B","A8",9,"Deltamethrin","30","uM","iNFA_20211103_MW502622B_09_00(001).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20211103","MW502622B","B1",12,"Thiamethoxam","0.03","uM","iNFA_20211103_MW502622B_12_00(000).h5",2.30524567693499,1.22571428571429,0.0579235733365286,40.746,0.91675,58.17725,14,4,5,15.8,0.304262626262626,3.06455491806095,196.525,0.0217707979032423,178.4,0.21476607452412,0.00254041812908316,1,""
"20211103","MW502622B","B1",5,"Thiamethoxam","0.03","uM","iNFA_20211103_MW502622B_05_00(000)(000).h5",0.231863957924896,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20211103","MW502622B","B1",7,"Thiamethoxam","0.03","uM","iNFA_20211103_MW502622B_07_00(000).h5",0.146672911673306,0,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,-0.00133530508029356,0,1,""
"20211103","MW502622B","B1",9,"Thiamethoxam","0.03","uM","iNFA_20211103_MW502622B_09_00(001).h5",1.16703828187787,1.46,0.157050419426048,19.719,1.078,12.399,3,1,0,NA,NA,0,NA,NA,NA,0.000311816978386641,6.34191586051935e-08,1,""
"20211103","MW502622B","B2",12,"DMSO","0","uM","iNFA_20211103_MW502622B_12_00(000).h5",1.75701966753135,2.985,0.0259563470801424,64.963,0.5626875,23.9806875,16,16,21,16,0.225131039595325,14.6278803209359,25.14,0.0614052116881279,176.238095238095,0.289184862480005,0.0105973300134839,1,""
"20211103","MW502622B","B2",5,"DMSO","0","uM","iNFA_20211103_MW502622B_05_00(000)(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
