date,Plate.SN,DIV,well,trt,dose,units,meanfiringrate,burst.per.min,mean.isis,per.spikes.in.burst,mean.dur,mean.IBIs,nAE,nABE,ns.n,ns.peak.m,ns.durn.m,ns.percent.of.spikes.in.ns,ns.mean.insis,ns.durn.sd,ns.mean.spikes.in.ns,r,cv.time,cv.network,file.name
20160720,MW1139-19,5,A1,2-Ethylhexyl diphenyl phosphate,20,uM,0.311871925,0,NA,0,NA,NA,6,0,0,NA,NA,0,NA,NA,NA,0.004420913,1.02786478,2.030127007,ON_20160720_MW1139-19_05_00_000.h5
20160720,MW1139-19,5,A2,2-Ethylhexyl diphenyl phosphate,0,uM,0.105684789,0.15,NA,0,NA,NA,6,0,0,NA,NA,0,NA,NA,NA,0.037237468,1.046023821,2.028666518,ON_20160720_MW1139-19_05_00_000.h5
20160720,MW1139-19,5,A3,2-Ethylhexyl diphenyl phosphate,0.03,uM,0.180460016,1.14,0.036804638,65.776,0.1865,64.7775,2,2,0,NA,NA,0,NA,NA,NA,0.030090267,1.261906504,3.000383881,ON_20160720_MW1139-19_05_00_000.h5
20160720,MW1139-19,5,A4,2-Ethylhexyl diphenyl phosphate,0.1,uM,0.215996758,0,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,0.006156527,1.438721737,2.122180884,ON_20160720_MW1139-19_05_00_000.h5
20160720,MW1139-19,5,A5,2-Ethylhexyl diphenyl phosphate,0.3,uM,0.797725814,1.44,0.059043338,25.3355,0.288,32.4545,3,2,0,NA,NA,0,NA,NA,NA,0.003486599,1.302696718,1.959082573,ON_20160720_MW1139-19_05_00_000.h5
20160720,MW1139-19,5,A6,2-Ethylhexyl diphenyl phosphate,1,uM,0.505473132,0.69,0.051926242,20.27666667,0.235666667,63.24533333,6,3,0,NA,NA,0,NA,NA,NA,0.005059303,1.336290027,2.042385927,ON_20160720_MW1139-19_05_00_000.h5
20160720,MW1139-19,5,A7,2-Ethylhexyl diphenyl phosphate,3,uM,0.43699087,0,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,0.004189518,1.402032671,2.15480456,ON_20160720_MW1139-19_05_00_000.h5
20160720,MW1139-19,5,A8,2-Ethylhexyl diphenyl phosphate,10,uM,0.159915337,0.26,0.072450196,30.435,0.308,67.636,3,1,0,NA,NA,0,NA,NA,NA,0.018681132,0.857774155,1.914159062,ON_20160720_MW1139-19_05_00_000.h5
20160720,MW1139-19,5,B2,"2-Ethylhexyl-2,3,4,5-tetrabromobenzoate",0,uM,0.684526485,1.26,0.057894402,36.4124,0.3826,49.6168,5,5,0,NA,NA,0,NA,NA,NA,0.012589298,1.599759338,2.304285566,ON_20160720_MW1139-19_05_00_000.h5
20160720,MW1139-19,5,B3,"2-Ethylhexyl-2,3,4,5-tetrabromobenzoate",0.03,uM,0.371470002,0.71,0.064627136,36.11,0.363,44.186,6,3,1,9,0.097142857,0.413033502,NA,NA,9,0.018521387,1.039996395,1.700495779,ON_20160720_MW1139-19_05_00_000.h5
