date,Plate.SN,DIV,well,trt,dose,units,Mutual Information
20160720,MW1139-19,5,A1,2-Ethylhexyl diphenyl phosphate,20,uM,1.03E-05
20160720,MW1139-19,5,A2,2-Ethylhexyl diphenyl phosphate,0,uM,0
20160720,MW1139-19,5,A3,2-Ethylhexyl diphenyl phosphate,0.03,uM,0
20160720,MW1139-19,5,A4,2-Ethylhexyl diphenyl phosphate,0.1,uM,0
20160720,MW1139-19,5,A5,2-Ethylhexyl diphenyl phosphate,0.3,uM,2.34E-06
20160720,MW1139-19,5,A6,2-Ethylhexyl diphenyl phosphate,1,uM,5.42E-06
20160720,MW1139-19,5,A7,2-Ethylhexyl diphenyl phosphate,3,uM,0
20160720,MW1139-19,5,A8,2-Ethylhexyl diphenyl phosphate,10,uM,0
20160720,MW1139-19,5,B1,2-Ethylhexyl diphenyl phosphate,20,uM,0
20160720,MW1139-19,5,B2,2-Ethylhexyl diphenyl phosphate,0,uM,6.70E-05
20160720,MW1139-19,5,B3,2-Ethylhexyl diphenyl phosphate,0.03,uM,6.33E-06
20160720,MW1139-19,5,B4,2-Ethylhexyl diphenyl phosphate,0.1,uM,0
20160720,MW1139-19,5,B5,2-Ethylhexyl diphenyl phosphate,0.3,uM,1.20E-05
20160720,MW1139-19,5,B6,2-Ethylhexyl diphenyl phosphate,1,uM,0
20160720,MW1139-19,5,B7,2-Ethylhexyl diphenyl phosphate,3,uM,0
20160720,MW1139-19,5,B8,2-Ethylhexyl diphenyl phosphate,10,uM,9.94E-07
20160720,MW1139-19,5,C1,"2,2',4,4',5-Pentabromodiphenyl ether",20,uM,0
20160720,MW1139-19,5,C2,"2,2',4,4',5-Pentabromodiphenyl ether",0,uM,1.73E-05
20160720,MW1139-19,5,C3,"2,2',4,4',5-Pentabromodiphenyl ether",0.03,uM,8.85E-05
20160720,MW1139-19,5,C4,"2,2',4,4',5-Pentabromodiphenyl ether",0.1,uM,0
20160720,MW1139-19,5,C5,"2,2',4,4',5-Pentabromodiphenyl ether",0.3,uM,0
20160720,MW1139-19,5,C6,"2,2',4,4',5-Pentabromodiphenyl ether",1,uM,6.88E-06
20160720,MW1139-19,5,C7,"2,2',4,4',5-Pentabromodiphenyl ether",3,uM,0
20160720,MW1139-19,5,C8,"2,2',4,4',5-Pentabromodiphenyl ether",10,uM,0
20160720,MW1139-19,5,D1,"2,2',4,4',5-Pentabromodiphenyl ether",10,uM,8.56E-07
20160720,MW1139-19,5,D2,"2,2',4,4',5-Pentabromodiphenyl ether",0,uM,7.25E-05
20160720,MW1139-19,5,D3,"2,2',4,4',5-Pentabromodiphenyl ether",0.02,uM,0.000134838
20160720,MW1139-19,5,D4,"2,2',4,4',5-Pentabromodiphenyl ether",0.05,uM,0
20160720,MW1139-19,5,D5,"2,2',4,4',5-Pentabromodiphenyl ether",0.15,uM,8.42E-06
20160720,MW1139-19,5,D6,"2,2',4,4',5-Pentabromodiphenyl ether",0.5,uM,7.87E-05
20160720,MW1139-19,5,D7,"2,2',4,4',5-Pentabromodiphenyl ether",1.5,uM,0
20160720,MW1139-19,5,D8,"2,2',4,4',5-Pentabromodiphenyl ether",5,uM,0
20160720,MW1139-19,5,E1,"2,2',4,4'-Tetrabromodiphenyl ether",20,uM,0
20160720,MW1139-19,5,E2,"2,2',4,4'-Tetrabromodiphenyl ether",0,uM,3.19E-05
20160720,MW1139-19,5,E3,"2,2',4,4'-Tetrabromodiphenyl ether",0.03,uM,0
20160720,MW1139-19,5,E4,"2,2',4,4'-Tetrabromodiphenyl ether",0.1,uM,0
20160720,MW1139-19,5,E5,"2,2',4,4'-Tetrabromodiphenyl ether",0.3,uM,3.17E-06
20160720,MW1139-19,5,E6,"2,2',4,4'-Tetrabromodiphenyl ether",1,uM,0
20160720,MW1139-19,5,E7,"2,2',4,4'-Tetrabromodiphenyl ether",3,uM,0
20160720,MW1139-19,5,E8,"2,2',4,4'-Tetrabromodiphenyl ether",10,uM,0
20160720,MW1139-19,5,F1,Bis(2-ethylhexyl) tetrabromophthalate,20,uM,0
20160720,MW1139-19,5,F2,Bis(2-ethylhexyl) tetrabromophthalate,0,uM,1.15E-05
20160720,MW1139-19,5,F3,Bis(2-ethylhexyl) tetrabromophthalate,0.03,uM,0
20160720,MW1139-19,5,F4,Bis(2-ethylhexyl) tetrabromophthalate,0.1,uM,1.42E-05
20160720,MW1139-19,5,F5,Bis(2-ethylhexyl) tetrabromophthalate,0.3,uM,0
20160720,MW1139-19,5,F6,Bis(2-ethylhexyl) tetrabromophthalate,1,uM,0
20160720,MW1139-19,5,F7,Bis(2-ethylhexyl) tetrabromophthalate,3,uM,0
20160720,MW1139-19,5,F8,Bis(2-ethylhexyl) tetrabromophthalate,10,uM,0
20160720,MW1139-19,7,A1,2-Ethylhexyl diphenyl phosphate,20,uM,0.000260949
20160720,MW1139-19,7,A2,2-Ethylhexyl diphenyl phosphate,0,uM,0.003673376
20160720,MW1139-19,7,A3,2-Ethylhexyl diphenyl phosphate,0.03,uM,0.003554394
20160720,MW1139-19,7,A4,2-Ethylhexyl diphenyl phosphate,0.1,uM,0.001917623
20160720,MW1139-19,7,A5,2-Ethylhexyl diphenyl phosphate,0.3,uM,0.002221767
20160720,MW1139-19,7,A6,2-Ethylhexyl diphenyl phosphate,1,uM,0.001224375
20160720,MW1139-19,7,A7,2-Ethylhexyl diphenyl phosphate,3,uM,2.52E-05
20160720,MW1139-19,7,A8,2-Ethylhexyl diphenyl phosphate,10,uM,0.000440939
20160720,MW1139-19,7,B1,"2-Ethylhexyl-2,3,4,5-tetrabromobenzoate",20,uM,0
20160720,MW1139-19,7,B2,"2-Ethylhexyl-2,3,4,5-tetrabromobenzoate",0,uM,0.005832714
20160720,MW1139-19,7,B3,"2-Ethylhexyl-2,3,4,5-tetrabromobenzoate",0.03,uM,0.003229565
20160720,MW1139-19,7,B4,"2-Ethylhexyl-2,3,4,5-tetrabromobenzoate",0.1,uM,0.001423087
20160720,MW1139-19,7,B5,"2-Ethylhexyl-2,3,4,5-tetrabromobenzoate",0.3,uM,0.002077237
20160720,MW1139-19,7,B6,"2-Ethylhexyl-2,3,4,5-tetrabromobenzoate",1,uM,0.002508681
20160720,MW1139-19,7,B7,"2-Ethylhexyl-2,3,4,5-tetrabromobenzoate",3,uM,0.000359661
20160720,MW1139-19,7,B8,"2-Ethylhexyl-2,3,4,5-tetrabromobenzoate",10,uM,0.001597037
20160720,MW1139-19,7,C1,"2,2',4,4',5-Pentabromodiphenyl ether",20,uM,0
20160720,MW1139-19,7,C2,"2,2',4,4',5-Pentabromodiphenyl ether",0,uM,0.005718123
20160720,MW1139-19,7,C3,"2,2',4,4',5-Pentabromodiphenyl ether",0.03,uM,0.003389723
20160720,MW1139-19,7,C4,"2,2',4,4',5-Pentabromodiphenyl ether",0.1,uM,0.0051659
20160720,MW1139-19,7,C5,"2,2',4,4',5-Pentabromodiphenyl ether",0.3,uM,0.003227772
20160720,MW1139-19,7,C6,"2,2',4,4',5-Pentabromodiphenyl ether",1,uM,0.001592982
20160720,MW1139-19,7,C7,"2,2',4,4',5-Pentabromodiphenyl ether",3,uM,0.000765573
20160720,MW1139-19,7,C8,"2,2',4,4',5-Pentabromodiphenyl ether",10,uM,1.72E-05
20160720,MW1139-19,7,D1,"2,2',4,4',5,5'-Hexabromodiphenyl ether",10,uM,3.68E-05
20160720,MW1139-19,7,D2,"2,2',4,4',5,5'-Hexabromodiphenyl ether",0,uM,0.006586315
20160720,MW1139-19,7,D3,"2,2',4,4',5,5'-Hexabromodiphenyl ether",0.02,uM,0.002796796
20160720,MW1139-19,7,D4,"2,2',4,4',5,5'-Hexabromodiphenyl ether",0.05,uM,0.002032145
20160720,MW1139-19,7,D5,"2,2',4,4',5,5'-Hexabromodiphenyl ether",0.15,uM,0.002888697
