apid,treatment,spid,acsn,rowi,coli,wllt,wllq,conc,rval,srcf,wllq_notes
20170913_MW1147-10,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,1,2,n,1,0,12.960567,NTP91_AUC.csv,""
20170913_MW1147-11,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,1,2,n,1,0,10.74546,NTP91_AUC.csv,""
20170913_MW1147-12,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,1,2,n,1,0,12.174485,NTP91_AUC.csv,""
20160907_MW1140-17,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,1,2,n,1,0,4.770684,NTP91_AUC.csv,""
20160907_MW1140-18,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,1,3,n,1,0,5.416283,NTP91_AUC.csv,""
20160907_MW1140-19,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,1,4,n,1,0,1.886876,NTP91_AUC.csv,""
20170913_MW1147-7,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,1,2,n,1,0,22.278006,NTP91_AUC.csv,""
20170913_MW1147-8,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,1,2,n,1,0,8.322576,NTP91_AUC.csv,""
20170913_MW1147-9,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,1,2,n,1,0,9.916901,NTP91_AUC.csv,""
20160720_MW1139-19,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,5,2,n,1,0,15.815841,NTP91_AUC.csv,""
20160720_MW1139-21,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,5,3,n,1,0,11.686646,NTP91_AUC.csv,""
20160720_MW1139-22,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,5,4,n,1,0,5.570174,NTP91_AUC.csv,""
20160720_MW1139-19,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,3,2,n,1,0,14.367951,NTP91_AUC.csv,""
20160720_MW1139-21,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,3,3,n,1,0,4.481454,NTP91_AUC.csv,""
20160720_MW1139-22,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,3,4,n,1,0,10.805483,NTP91_AUC.csv,""
20160720_MW1139-19,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,4,2,n,1,0,14.793121,NTP91_AUC.csv,""
20160720_MW1139-21,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,4,3,n,1,0,19.34518,NTP91_AUC.csv,""
20160720_MW1139-22,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,4,4,n,1,0,14.292024,NTP91_AUC.csv,""
20160720_MW1139-19,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,2,2,n,1,0,14.136172,NTP91_AUC.csv,""
20160720_MW1139-21,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,2,3,n,1,0,12.915473,NTP91_AUC.csv,""
20160720_MW1139-22,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,2,4,n,1,0,8.583033,NTP91_AUC.csv,""
20160720_MW1139-19,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,1,2,n,1,0,13.473268,NTP91_AUC.csv,""
20160720_MW1139-21,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,1,3,n,1,0,14.326417,NTP91_AUC.csv,""
20160720_MW1139-22,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,1,4,n,1,0,6.302537,NTP91_AUC.csv,""
20170913_MW1147-7,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,2,2,n,1,0,13.259167,NTP91_AUC.csv,""
20170913_MW1147-8,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,2,2,n,1,0,10.597882,NTP91_AUC.csv,""
20170913_MW1147-9,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,2,2,n,1,0,16.305671,NTP91_AUC.csv,""
20160803_MW1139-27,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,1,2,n,1,0,11.19499,NTP91_AUC.csv,""
20160803_MW1139-28,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,1,3,n,1,0,8.071803,NTP91_AUC.csv,""
20160803_MW1139-29,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,1,4,n,1,0,5.75425,NTP91_AUC.csv,""
20170913_MW1147-10,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,2,2,n,1,0,13.474892,NTP91_AUC.csv,""
20170913_MW1147-11,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,2,2,n,1,0,12.001233,NTP91_AUC.csv,""
20170913_MW1147-12,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,2,2,n,1,0,11.08035,NTP91_AUC.csv,""
20161013_MW1140-26,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,3,2,n,1,0,7.582007,NTP91_AUC.csv,""
20161013_MW1140-27,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,3,3,n,1,0,4.98184,NTP91_AUC.csv,""
20161013_MW1140-28,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,3,4,n,1,0,6.552519,NTP91_AUC.csv,""
20170913_MW1147-7,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,3,2,n,1,0,11.920917,NTP91_AUC.csv,""
20170913_MW1147-8,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,3,2,n,1,0,11.832591,NTP91_AUC.csv,""
20170913_MW1147-9,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,3,2,n,1,0,16.88886,NTP91_AUC.csv,""
20161013_MW1140-23,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,1,2,n,1,0,9.427801,NTP91_AUC.csv,""
20161013_MW1140-24,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,1,3,n,1,0,7.647292,NTP91_AUC.csv,""
20161013_MW1140-25,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,1,4,n,1,0,11.027369,NTP91_AUC.csv,""
20170913_MW1147-7,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,4,2,n,1,0,13.322743,NTP91_AUC.csv,""
20170913_MW1147-8,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,4,2,n,1,0,15.724757,NTP91_AUC.csv,""
20170913_MW1147-9,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,4,2,n,1,0,14.021252,NTP91_AUC.csv,""
20160803_MW1139-27,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,2,2,n,1,0,13.224851,NTP91_AUC.csv,""
20160803_MW1139-28,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,2,3,n,1,0,8.161223,NTP91_AUC.csv,""
20160803_MW1139-29,DMSO,DMSO,CCTE_Shafer_MEA_dev_firing_rate_mean,2,4,n,1,0,6.754179,NTP91_AUC.csv,""
