"date","Plate.SN","well","treatment","dose","units","wllq","wllq_notes","meanfiringrate_auc","burst.per.min_auc","mean.isis_auc","per.spikes.in.burst_auc","mean.dur_auc","mean.IBIs_auc","nAE_auc","nABE_auc","ns.n_auc","ns.peak.m_auc","ns.durn.m_auc","ns.percent.of.spikes.in.ns_auc","ns.mean.insis_auc","ns.durn.sd_auc","ns.mean.spikes.in.ns_auc","r_auc","mi_auc"
"20170913","MW1147-10","A2","1-Methyl-4-phenylpyridinium iodide","0.00000","uM","1","",12.960567,32.440393,0.340911,667.88475,4.843683,120.268134,111.5,94.5,328.5,86.648535,1.620149,91.221908,113.271686,0.703272,416.842879,1.810165,0.070914
"20170913","MW1147-11","A2","1-Methyl-4-phenylpyridinium iodide","0.00000","uM","1","",10.74546,23.229375,0.516867,491.204417,5.221421,257.667896,123.5,104,289.5,86.126471,1.887084,74.589222,121.95375,1.036581,331.352288,1.4825,0.048252
"20170913","MW1147-12","A2","1-Methyl-4-phenylpyridinium iodide","0.00000","uM","1","",12.174485,26.535,0.528589,537.432344,5.003281,277.886375,121,98.5,393.5,82.414179,1.520703,86.11894,102.239087,0.567621,339.830949,1.673351,0.062741
"20160907","MW1140-17","A2","1Ethyl3methylimidazolium diethylphosphate","0.00000","uM","1","",4.770684,4.2675,0.154709,179.10485,1.889,284.92225,30,20,78.5,33.125,0.549674,36.735116,485.21657,0.148903,101.840909,0.433297,0.00765
"20160907","MW1140-18","A3","1Ethyl3methylimidazolium diethylphosphate","0.00000","uM","1","",5.416283,9.542,0.267118,272.622787,2.205462,337.152075,56,44.5,142,52.641201,0.603428,60.982044,193.9375,0.197749,180.798209,0.974832,0.014283
"20160907","MW1140-19","A4","1Ethyl3methylimidazolium diethylphosphate","0.00000","uM","1","",1.886876,5.939,0.156086,261.779917,1.586792,206.426583,37.5,25.5,113.5,46.711864,0.564706,80.108792,235.473276,0.178549,140.610169,0.784105,0.007593
"20170913","MW1147-7","A2","2-Methoxyethanol","0.00000","uM","1","",22.278006,47.076292,0.572588,525.292433,7.537884,142.978874,116.5,107,484.5,70.440845,1.781309,56.568839,135.089704,0.950106,250.942254,1.282974,0.070245
"20170913","MW1147-8","A2","2-Methoxyethanol","0.00000","uM","1","",8.322576,19.647443,0.343091,458.387678,3.889398,324.055744,98.5,75.5,326.5,70.054429,1.32053,79.256899,220.604877,0.395054,254.781744,1.031404,0.040485
"20170913","MW1147-9","A2","2-Methoxyethanol","0.00000","uM","1","",9.916901,20.033654,0.296891,426.780514,4.406459,148.053187,97.5,90,276,82.314362,1.441424,76.89961,260.538394,0.347244,323.430026,1.419417,0.053445
"20160720","MW1139-19","E2","2244 Tetrabromodiphenyl ether","0.00000","uM","1","",15.815841,39.838,0.358802,570.298202,4.070917,182.268429,94,87.5,1154.5,72.368815,1.288407,133.083028,77.184953,0.5535,241.118201,1.885986,0.090475
"20160720","MW1139-21","E3","2244 Tetrabromodiphenyl ether","0.00000","uM","1","",11.686646,26.215179,0.360429,519.986168,4.048164,260.394037,107,99.5,601,74.73735,1.274028,92.569806,80.326383,0.491455,255.137229,1.718856,0.059344
"20160720","MW1139-22","E4","2244 Tetrabromodiphenyl ether","0.00000","uM","1","",5.570174,14.201769,0.558476,431.898161,4.348786,317.913095,83.5,64.5,359.5,54.353066,1.103452,85.84593,173.70391,0.365421,136.275438,0.987698,0.01806
"20160720","MW1139-19","C2","22445 Pentabromodiphenyl ether","0.00000","uM","1","",14.367951,32.279536,0.306849,584.344083,4.10271,218.140073,111.5,101.5,803,90.281457,1.794958,98.70507,82.963226,0.528405,324.919825,1.998591,0.085286
"20160720","MW1139-21","C3","22445 Pentabromodiphenyl ether","0.00000","uM","1","",4.481454,12.266126,0.228002,600.422642,2.441508,445.411025,97.5,86.5,300.5,101.266775,1.362763,174.352392,389.631192,0.291486,378.291928,2.053664,0.03267
"20160720","MW1139-22","C4","22445 Pentabromodiphenyl ether","0.00000","uM","1","",10.805483,25.441731,0.454789,560.884875,5.683125,173.429917,88,74.5,585.5,59.722285,1.17083,84.215532,96.339844,0.487069,193.641896,1.252372,0.037555
"20160720","MW1139-19","D2","224455 Hexabromodiphenyl ether","0.00000","uM","1","",14.793121,33.435,0.287107,614.429259,4.325214,234.969397,123.5,113.5,810,105.02433,2.021122,122.072312,205.888206,0.758616,371.374365,1.957423,0.088408
"20160720","MW1139-21","D3","224455 Hexabromodiphenyl ether","0.00000","uM","1","",19.34518,38.322792,0.445644,535.155117,6.612358,165.945358,116.5,106.5,581.5,92.737547,2.213504,66.972306,95.799345,0.814739,328.930581,1.372414,0.06064
"20160720","MW1139-22","D4","224455 Hexabromodiphenyl ether","0.00000","uM","1","",14.292024,37.04275,0.414953,634.52278,5.290036,227.99069,104,92.5,688,67.969498,1.428982,93.628395,90.798967,0.576839,253.345599,1.68083,0.062501
"20160720","MW1139-19","B2","2Ethylhexyl 2345 tetrabromobenzoate","0.00000","uM","1","",14.136172,36.506857,0.329168,534.007203,3.931076,251.592615,100.5,94.5,1046.5,69.103501,1.107384,138.404229,81.983736,0.515205,300.811037,1.681032,0.080372
"20160720","MW1139-21","B3","2Ethylhexyl 2345 tetrabromobenzoate","0.00000","uM","1","",12.915473,34.831071,0.356213,521.634754,4.279342,277.707558,113.5,106.5,932,97.059378,1.768336,93.767838,448.367422,0.725905,240.679876,1.600642,0.057738
