"date","Plate.SN","rowi","coli","src_acsn","treatment","conc","rval","srcf","wllq","wllq_notes"
"20160720","MW1139-19",1,1,"AB","2Ethylhexyl diphenyl phosphate",20,27588,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",1,1,"LDH","2Ethylhexyl diphenyl phosphate",20,0.791233333333333,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",1,2,"AB","2Ethylhexyl diphenyl phosphate",0,27718,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",1,2,"LDH","2Ethylhexyl diphenyl phosphate",0,1.36743333333333,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",1,3,"AB","2Ethylhexyl diphenyl phosphate",0.03,24726,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",1,3,"LDH","2Ethylhexyl diphenyl phosphate",0.03,1.10053333333333,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",1,4,"AB","2Ethylhexyl diphenyl phosphate",0.1,18907,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",1,4,"LDH","2Ethylhexyl diphenyl phosphate",0.1,1.33093333333333,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",1,5,"AB","2Ethylhexyl diphenyl phosphate",0.3,20892,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",1,5,"LDH","2Ethylhexyl diphenyl phosphate",0.3,1.22653333333333,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",1,6,"AB","2Ethylhexyl diphenyl phosphate",1,22066,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",1,6,"LDH","2Ethylhexyl diphenyl phosphate",1,1.17443333333333,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",1,7,"AB","2Ethylhexyl diphenyl phosphate",3,23379,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",1,7,"LDH","2Ethylhexyl diphenyl phosphate",3,1.16013333333333,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",1,8,"AB","2Ethylhexyl diphenyl phosphate",10,21577,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",1,8,"LDH","2Ethylhexyl diphenyl phosphate",10,1.01443333333333,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",2,1,"AB","2Ethylhexyl 2345 tetrabromobenzoate",20,1669,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",2,1,"LDH","2Ethylhexyl 2345 tetrabromobenzoate",20,0.0579333333333333,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",2,2,"AB","2Ethylhexyl 2345 tetrabromobenzoate",0,24456,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",2,2,"LDH","2Ethylhexyl 2345 tetrabromobenzoate",0,1.44103333333333,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",2,3,"AB","2Ethylhexyl 2345 tetrabromobenzoate",0.03,22161,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",2,3,"LDH","2Ethylhexyl 2345 tetrabromobenzoate",0.03,1.35883333333333,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",2,4,"AB","2Ethylhexyl 2345 tetrabromobenzoate",0.1,17845,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",2,4,"LDH","2Ethylhexyl 2345 tetrabromobenzoate",0.1,1.39633333333333,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",2,5,"AB","2Ethylhexyl 2345 tetrabromobenzoate",0.3,22204,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",2,5,"LDH","2Ethylhexyl 2345 tetrabromobenzoate",0.3,1.41943333333333,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",2,6,"AB","2Ethylhexyl 2345 tetrabromobenzoate",1,21146,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",2,6,"LDH","2Ethylhexyl 2345 tetrabromobenzoate",1,1.28173333333333,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",2,7,"AB","2Ethylhexyl 2345 tetrabromobenzoate",3,22076,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",2,7,"LDH","2Ethylhexyl 2345 tetrabromobenzoate",3,1.37163333333333,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",2,8,"AB","2Ethylhexyl 2345 tetrabromobenzoate",10,20660,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",2,8,"LDH","2Ethylhexyl 2345 tetrabromobenzoate",10,1.19463333333333,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",3,1,"AB","22445 Pentabromodiphenyl ether",20,869,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",3,1,"LDH","22445 Pentabromodiphenyl ether",20,0.00733333333333334,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",3,2,"AB","22445 Pentabromodiphenyl ether",0,22533,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",3,2,"LDH","22445 Pentabromodiphenyl ether",0,1.39753333333333,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",3,3,"AB","22445 Pentabromodiphenyl ether",0.03,22273,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",3,3,"LDH","22445 Pentabromodiphenyl ether",0.03,1.32883333333333,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",3,4,"AB","22445 Pentabromodiphenyl ether",0.1,21152,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",3,4,"LDH","22445 Pentabromodiphenyl ether",0.1,1.45163333333333,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",3,5,"AB","22445 Pentabromodiphenyl ether",0.3,21104,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",3,5,"LDH","22445 Pentabromodiphenyl ether",0.3,1.42633333333333,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",3,6,"AB","22445 Pentabromodiphenyl ether",1,19628,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",3,6,"LDH","22445 Pentabromodiphenyl ether",1,1.34803333333333,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",3,7,"AB","22445 Pentabromodiphenyl ether",3,24088,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",3,7,"LDH","22445 Pentabromodiphenyl ether",3,1.38563333333333,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",3,8,"AB","22445 Pentabromodiphenyl ether",10,17206,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",3,8,"LDH","22445 Pentabromodiphenyl ether",10,0.815733333333333,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",4,1,"AB","224455 Hexabromodiphenyl ether",10,21578,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",4,1,"LDH","224455 Hexabromodiphenyl ether",10,0.472933333333333,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",4,2,"AB","224455 Hexabromodiphenyl ether",0,25035,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",4,2,"LDH","224455 Hexabromodiphenyl ether",0,1.39003333333333,"ON_20160720_MW1139-19_Summary.xlsx",1,""
"20160720","MW1139-19",4,3,"AB","224455 Hexabromodiphenyl ether",0.02,18280,"ON_20160720_MW1139-19_Summary.xlsx",1,""
