"date","Plate.SN","well","treatment","dose","units","wllq","wllq_notes","meanfiringrate_auc","burst.per.min_auc","mean.isis_auc","per.spikes.in.burst_auc","mean.dur_auc","mean.IBIs_auc","nAE_auc","nABE_auc","ns.n_auc","ns.peak.m_auc","ns.durn.m_auc","ns.percent.of.spikes.in.ns_auc","ns.mean.insis_auc","ns.durn.sd_auc","ns.mean.spikes.in.ns_auc","r_auc","mi_auc"
"20151209","MW1056-28","D2","Acephate","0.00000","uM","1","",15.325387,41.231394,0.180864,458.667594,2.644271,75.329781,100,85.5,1236,70.349811,1.116478,141.764484,43.439845,0.58251,237.66485,1.790538,0.098063
"20151209","MW1056-29","D3","Acephate","0.00000","uM","1","",17.133879,45.249107,0.389695,493.364519,3.921804,264.670794,113.5,104,873,67.388966,1.436528,86.906094,50.18332,0.688059,240.096507,1.439868,0.071877
"20151209","MW1056-36","D4","Acephate","0.00000","uM","1","",10.689018,24.14575,0.348278,474.204696,3.418714,310.041254,102.5,94,479,82.944049,1.768855,103.578968,98.691992,0.513709,325.145648,1.793748,0.061977
"20151209","MW1056-28","C2","Bensulide","0.00000","uM","1","",8.925963,24.632659,0.337304,536.63575,2.952738,357.724841,94.5,76.5,890,57.860005,1.07645,133.603294,70.187012,0.354594,181.425636,1.555464,0.053774
"20151209","MW1056-29","C3","Bensulide","0.00000","uM","1","",16.079957,40.46875,0.395132,569.717863,4.178958,356.067637,103.5,96.5,1312.5,71.114941,1.193954,122.664517,41.848774,0.575679,216.531369,1.551017,0.075763
"20151209","MW1056-36","C4","Bensulide","0.00000","uM","1","",9.591571,28.85375,0.344422,573.773915,3.2463,244.182821,119,109,646,103.17402,1.486761,137.668643,222.505335,0.552062,295.10309,1.756807,0.053509
"20160330","MW1117-22","F2","Bensulide","0.00000","uM","1","",13.37354,25.246875,0.356293,507.020946,3.953388,281.032714,108.5,97,503,101.341049,2.024714,70.553591,164.996441,0.904737,400.721451,1.803324,0.074426
"20160330","MW1117-23","F3","Bensulide","0.00000","uM","1","",9.509792,16.47875,0.133173,430.984371,2.543746,190.058522,103.5,92,312.5,86.592353,1.467638,92.481408,169.643677,0.569751,428.238235,1.975496,0.072167
"20160330","MW1117-24","F4","Bensulide","0.00000","uM","1","",12.056511,22.072143,0.37487,482.144781,4.146656,339.613948,109.5,98,303.5,105.774465,1.964202,86.229279,541.27309,0.763268,458.0232,1.675281,0.061013
"20160413","MW1125-3","F2","Chlorethoxyfos","0.00000","uM","1","",9.28755,19.579607,0.389061,463.595351,3.658036,350.012406,84,75,592.5,62.475439,0.999022,96.997121,117.693005,0.522053,214.892449,1.443618,0.052825
"20160413","MW1125-4","F3","Chlorethoxyfos","0.00000","uM","1","",11.042254,24.534952,0.214252,406.420491,2.665435,156.15669,100,86,730,71.522748,1.025839,100.672272,112.39661,0.546272,225.879959,1.333846,0.059012
"20160413","MW1125-5","F4","Chlorethoxyfos","0.00000","uM","1","",11.292484,24.715144,0.408051,445.214531,3.894604,302.640885,97.5,90.5,798.5,67.776611,0.966721,94.560991,90.238807,0.584522,197.033178,1.526168,0.061878
"20160217","MW1105-20","E2","Chlorpyrifos","0.00000","uM","1","",10.713425,14.847955,0.332531,330.671042,5.13851,206.592906,91,73.5,300,78.991071,1.158511,51.55285,324.376425,0.507851,322.21875,1.1914,0.047646
"20160217","MW1105-23","E3","Chlorpyrifos","0.00000","uM","1","",8.348825,12.269712,0.474076,426.404287,23.150585,160.522031,68.5,53.5,264.5,69.881073,0.85895,45.40307,1329.557506,0.273102,197.559717,0.919788,0.023505
"20160217","MW1105-26","E4","Chlorpyrifos","0.00000","uM","1","",10.35618,23.139375,0.297377,407.274448,4.674854,236.204808,80,71.5,450,71.884146,1.132107,53.011249,294.865408,0.435233,215.675422,0.913626,0.032588
"20160413","MW1125-3","E2","Chlorpyrifos oxon","0.00000","uM","1","",15.009611,30.029,0.450954,595.000204,21.771499,163.393857,109,99.5,708,85.540774,1.70997,97.992037,1303.302162,0.579044,333.636884,1.742789,0.065116
"20160413","MW1125-4","E3","Chlorpyrifos oxon","0.00000","uM","1","",9.396786,23.759375,0.315396,629.037781,3.437552,229.887771,106.5,93,444,77.426613,1.10017,79.484831,131.006406,0.480503,248.298758,1.533686,0.047342
"20160413","MW1125-5","E4","Chlorpyrifos oxon","0.00000","uM","1","",17.955691,37.207875,0.400878,546.079366,7.744101,229.058107,114,99.5,1152,72.401888,0.987068,99.610191,78.923877,0.479531,271.173133,1.555689,0.075005
"20151209","MW1056-28","B2","Coumaphos","0.00000","uM","1","",11.192044,33.443213,0.22126,430.387383,2.263142,102.26915,87,68,977.5,63.950842,1.04707,148.932029,65.418052,0.442913,198.543701,1.590722,0.074915
"20151209","MW1056-29","B3","Coumaphos","0.00000","uM","1","",22.335206,51.765679,0.554181,515.428251,7.243585,103.114108,109,88.5,1272.5,75.538535,1.281087,121.25335,41.854496,0.716265,267.680391,1.615561,0.101549
"20151209","MW1056-36","B4","Coumaphos","0.00000","uM","1","",11.502018,27.47975,0.491847,488.740769,4.616619,173.031085,101.5,95,612,75.576161,1.186816,119.715602,77.816314,0.45661,270.414704,1.8478,0.062344
"20160330","MW1117-22","A2","Diazonon","0.00000","uM","1","",17.650429,27.672125,0.429784,488.292898,5.66621,211.877162,114,104,359.5,105.172227,2.116324,69.194026,320.3987,1.001938,474.432387,2.063598,0.093733
"20160330","MW1117-23","A3","Diazonon","0.00000","uM","1","",10.352525,23.165625,0.290281,545.167875,3.965844,270.333094,116,108.5,561.5,102.423113,1.606932,106.016323,321.052993,0.681066,381.29031,2.223984,0.078001
"20160330","MW1117-24","A4","Diazonon","0.00000","uM","1","",9.396141,17.918304,0.272572,519.768333,3.875656,399.153073,113.5,103.5,293.5,104.255472,1.860954,91.853095,384.998264,0.80621,497.411472,1.964905,0.064076
"20160413","MW1125-3","D2","Diazoxon","0.00000","uM","1","",12.806441,31.08875,0.349374,537.225083,3.779521,280.074208,118.5,111,654,96.601328,1.430414,95.537847,528.499267,0.650689,351.820402,1.872326,0.081297
"20160413","MW1125-4","D3","Diazoxon","0.00000","uM","1","",12.845073,32.027411,0.305113,560.131156,3.478479,174.371615,107,98,674.5,70.356294,1.072489,82.660087,90.331345,0.565296,205.233566,1.532494,0.059348
"20160413","MW1125-5","D4","Diazoxon","0.00000","uM","1","",12.952723,26.539554,0.370694,536.006469,4.312031,239.278146,113.5,103.5,585.5,76.786976,1.109367,82.592517,126.069319,0.479492,323.420295,1.860424,0.081427
"20160120","MW1092-5","C2","Dichlorvos","0.00000","uM","1","",7.675669,18.975429,0.308879,564.116412,3.033295,395.812476,80,72,316,77.552423,1.311419,134.525364,154.713151,0.414063,342.570478,2.446409,0.064521
"20160120","MW1092-6","C3","Dichlorvos","0.00000","uM","1","",6.243824,16.497792,0.203483,402.853286,2.339107,173.669357,83,70,363,64.522115,1.180579,92.310556,125.112964,0.389958,202.337019,1.161617,0.026432
"20160120","MW1092-29","C4","Dichlorvos","0.00000","uM","1","",7.632551,19.221042,0.144341,420.142382,1.932838,172.172995,84.5,69,387,78.170019,1.058601,112.23243,149.896088,0.340617,316.282049,1.843998,0.053653
"20160330","MW1117-22","C2","Dicrotophos","0.00000","uM","1","",7.434797,13.171875,0.185958,643.530177,3.581979,412.008969,108.5,103.5,220.5,119.450321,2.011368,156.495706,429.145777,0.491328,650.46223,3.063681,0.079214
"20160330","MW1117-23","C3","Dicrotophos","0.00000","uM","1","",9.799717,20.159375,0.229636,384.967667,3.5895,168.838733,107.5,90,211,86.655556,1.431498,62.741565,204.10186,0.326778,433.151111,1.254367,0.035879
"20160330","MW1117-24","C4","Dicrotophos","0.00000","uM","1","",11.984669,19.441625,0.302292,516.707056,5.58351,330.103256,119,106.5,201.5,124.074924,2.433408,81.356178,434.434685,0.566521,601.558453,1.77719,0.049996
"20160330","MW1117-22","B2","Dimethoate","0.00000","uM","1","",10.675836,19.367946,0.270781,528.563531,3.694531,311.248219,113.5,101,224,116.267442,2.104148,74.61981,227.639417,0.624749,628.53876,2.162691,0.081255
"20160330","MW1117-23","B3","Dimethoate","0.00000","uM","1","",8.893239,16.6675,0.313388,527.777073,4.050979,294.368667,111,103.5,207.5,124.413082,2.24548,98.349552,449.234906,0.52288,615.324597,2.247391,0.062389
"20160330","MW1117-24","B4","Dimethoate","0.00000","uM","1","",10.699474,18.4725,0.255797,551.017594,4.044625,338.969156,126,106,231,116.955308,2.430446,78.041552,405.564159,0.689558,544.783242,1.923557,0.070128
"20160217","MW1105-20","A2","Ethoprop","0.00000","uM","1","",13.89471,19.0315,0.329349,287.17159,4.541354,213.336894,91.5,71.5,347.5,74.38369,1.110975,32.527066,391.304485,0.366277,244.008467,0.743727,0.035035
