"date","Plate.SN","rowi","coli","src_acsn","treatment","conc","rval","srcf","wllq","wllq_notes"
"20151209","MW1056-28",1,1,"AB","Profenofos",10,27629,"ON_20151209_MW1056-28_Summary.xlsx",1,""
"20151209","MW1056-28",1,1,"LDH","Profenofos",10,0.473166666666667,"ON_20151209_MW1056-28_Summary.xlsx",1,""
"20151209","MW1056-28",1,2,"AB","Profenofos",0,36405,"ON_20151209_MW1056-28_Summary.xlsx",1,""
"20151209","MW1056-28",1,2,"LDH","Profenofos",0,0.656566666666667,"ON_20151209_MW1056-28_Summary.xlsx",1,""
"20151209","MW1056-28",1,3,"AB","Profenofos",0.01,38695,"ON_20151209_MW1056-28_Summary.xlsx",1,""
"20151209","MW1056-28",1,3,"LDH","Profenofos",0.01,0.837266666666667,"ON_20151209_MW1056-28_Summary.xlsx",1,""
"20151209","MW1056-28",1,4,"AB","Profenofos",0.03,30141,"ON_20151209_MW1056-28_Summary.xlsx",1,""
"20151209","MW1056-28",1,4,"LDH","Profenofos",0.03,0.941066666666667,"ON_20151209_MW1056-28_Summary.xlsx",1,""
"20151209","MW1056-28",1,5,"AB","Profenofos",0.1,29675,"ON_20151209_MW1056-28_Summary.xlsx",1,""
"20151209","MW1056-28",1,5,"LDH","Profenofos",0.1,0.998166666666667,"ON_20151209_MW1056-28_Summary.xlsx",1,""
"20151209","MW1056-28",1,6,"AB","Profenofos",0.3,31395,"ON_20151209_MW1056-28_Summary.xlsx",1,""
"20151209","MW1056-28",1,6,"LDH","Profenofos",0.3,1.37456666666667,"ON_20151209_MW1056-28_Summary.xlsx",1,""
"20151209","MW1056-28",1,7,"AB","Profenofos",1,24505,"ON_20151209_MW1056-28_Summary.xlsx",1,""
"20151209","MW1056-28",1,7,"LDH","Profenofos",1,0.857966666666667,"ON_20151209_MW1056-28_Summary.xlsx",1,""
"20151209","MW1056-28",1,8,"AB","Profenofos",3,31192,"ON_20151209_MW1056-28_Summary.xlsx",1,""
"20151209","MW1056-28",1,8,"LDH","Profenofos",3,0.618066666666667,"ON_20151209_MW1056-28_Summary.xlsx",1,""
"20151209","MW1056-28",2,1,"AB","Coumaphos",100,1398,"ON_20151209_MW1056-28_Summary.xlsx",1,""
"20151209","MW1056-28",2,1,"LDH","Coumaphos",100,0.144766666666667,"ON_20151209_MW1056-28_Summary.xlsx",1,""
"20151209","MW1056-28",2,2,"AB","Coumaphos",0,37219,"ON_20151209_MW1056-28_Summary.xlsx",1,""
"20151209","MW1056-28",2,2,"LDH","Coumaphos",0,0.834166666666667,"ON_20151209_MW1056-28_Summary.xlsx",1,""
"20151209","MW1056-28",2,3,"AB","Coumaphos",0.1,37688,"ON_20151209_MW1056-28_Summary.xlsx",1,""
"20151209","MW1056-28",2,3,"LDH","Coumaphos",0.1,0.946366666666667,"ON_20151209_MW1056-28_Summary.xlsx",1,""
"20151209","MW1056-28",2,4,"AB","Coumaphos",0.3,32782,"ON_20151209_MW1056-28_Summary.xlsx",1,""
"20151209","MW1056-28",2,4,"LDH","Coumaphos",0.3,0.958566666666667,"ON_20151209_MW1056-28_Summary.xlsx",1,""
"20151209","MW1056-28",2,5,"AB","Coumaphos",1,28110,"ON_20151209_MW1056-28_Summary.xlsx",1,""
"20151209","MW1056-28",2,5,"LDH","Coumaphos",1,0.949666666666667,"ON_20151209_MW1056-28_Summary.xlsx",1,""
