"date","Plate.SN","well","treatment","dose","units","wllq","wllq_notes","meanfiringrate_auc","burst.per.min_auc","mean.isis_auc","per.spikes.in.burst_auc","mean.dur_auc","mean.IBIs_auc","nAE_auc","nABE_auc","ns.n_auc","ns.peak.m_auc","ns.durn.m_auc","ns.percent.of.spikes.in.ns_auc","ns.mean.insis_auc","ns.durn.sd_auc","ns.mean.spikes.in.ns_auc","r_auc","mi_auc"
"20210303","MW75-5813","A2","3360 A04","0.00000","uM","1","",10.631675,20.09125,0.402099,394.108135,4.252635,331.944146,113,83.5,713,87.516817,1.390321,78.827575,1727.227013,0.558871,354.658271,1.016783,0.041419
"20210303","MW75-5814","B2","3360 A04","0.00000","uM","1","",3.934209,4.837827,0.350409,478.443375,2.599656,570.104125,99.5,53.5,53,90.1875,1.148327,76.343283,848.432222,0.154463,502.53125,1.457024,0.021813
"20210303","MW75-5815","C2","3360 A04","0.00000","uM","1","",4.069344,6.7475,0.362731,431.89495,3.478117,528.251508,105.5,51.5,97,78.445887,1.457457,80.152575,1410.110156,0.546146,586.357143,1.381293,0.025127
"20210303","MW75-5815","A2","3360 A07","0.00000","uM","1","",10.566399,12.879732,0.453755,434.917448,41.22801,378.310448,107,79.5,144.5,82.712821,1.391925,53.695306,400.630909,0.784746,461.6,1.316342,0.047674
"20210303","MW75-5813","B2","3360 A07","0.00000","uM","1","",7.635423,12.625375,0.171638,390.258719,3.033802,357.469583,84,69.5,91.5,83.042424,1.730331,52.059475,647.481071,0.626195,598.533333,1.189514,0.034715
"20210303","MW75-5814","C2","3360 A07","0.00000","uM","1","",5.053569,8.26443,0.243231,531.952958,3.146042,358.102667,102,62,255,74.51149,1.085096,100.734335,506.240804,0.426906,388.265629,1.688583,0.032296
"20210303","MW75-5814","A2","3360 A11","0.00000","uM","1","",12.59728,32.368636,0.489412,495.01549,6.039635,205.178052,115.5,81,676.5,63.298961,0.827652,63.858459,427.271271,0.464547,271.82199,0.805055,0.032349
"20210303","MW75-5815","B2","3360 A11","0.00000","uM","1","",3.99873,6.387078,0.248664,339.534933,3.0006,318.061433,92,47,32.5,95,1.706845,55.604233,1067.345833,0.143074,696.125,1.279452,0.015023
"20210303","MW75-5813","C2","3360 A11","0.00000","uM","1","",3.300315,4.499505,0.177116,340.058,3.014286,389.735375,73.5,45,64,73.266667,1.073523,83.033744,738.063397,0.482968,486.366667,1.527458,0.022478
"20210303","MW75-5813","D2","3360 B03","0.00000","uM","1","",3.878302,4.134714,0.195334,345.062028,3.148292,329.552354,82,38.5,58.5,73.057692,1.247793,63.955538,733.670673,0.602613,357.700549,1.367777,0.014722
"20210303","MW75-5814","E2","3360 B03","0.00000","uM","1","",3.706006,4.690549,0.124671,377.498595,2.054298,426.974655,72,40,59.5,75.977106,1.273757,91.726558,970.104006,0.371375,507.938645,1.652638,0.018626
"20210303","MW75-5815","F2","3360 B03","0.00000","uM","1","",8.858411,17.291042,0.246296,331.74274,3.329729,300.168323,82,69.5,153.5,67.705556,0.878235,47.02396,386.795578,0.363993,327.4,1.177365,0.032803
"20210303","MW75-5815","D2","3360 B04","0.00000","uM","1","",3.09226,4.845857,0.559139,440.672143,4.582464,431.757214,89,32,52.5,74.352941,0.749753,108.867951,313.637153,0.305974,454.955882,1.616652,0.010789
"20210303","MW75-5813","E2","3360 B04","0.00000","uM","1","",4.413213,6.2225,0.179103,334.952071,2.822687,322.958397,94,49.5,91.5,73.646135,1.144806,95.631632,505.505094,0.355229,544.698068,1.606234,0.028044
"20210303","MW75-5814","F2","3360 B04","0.00000","uM","1","",6.875155,15.781929,0.298011,307.693179,2.824464,178.59175,73.5,42.5,88.5,65.416667,0.882033,36.636773,873.576923,0.197508,310.891667,0.785097,0.015147
"20210303","MW75-5814","D2","3360 B12","0.00000","uM","1","",5.377619,6.593818,0.186523,327.149833,2.5131,311.112383,69.5,41.5,155.5,70.648352,1.038153,74.384412,1165.425,0.308616,477.661172,1.096548,0.020317
"20210303","MW75-5815","E2","3360 B12","0.00000","uM","1","",4.886715,8.199911,0.215096,407.205188,2.965979,313.354802,95,47,55.5,88.125,1.265026,83.341732,870.309868,0.271127,643.742857,1.6252,0.02806
"20210303","MW75-5813","F2","3360 B12","0.00000","uM","1","",17.445126,26.888304,0.587715,363.748797,6.156337,262.378255,97,74,154,69.10989,1.24555,28.129828,491.627954,0.67821,408.840659,0.770361,0.03683
"20210303","MW75-5816","A2","3360 C09","0.00000","uM","1","",3.565452,5.922,0.350271,312.99994,3.17325,325.168012,67,38,63.5,72.443627,1.037443,80.497745,737.915956,0.222458,334.306373,1.077738,0.014611
"20210303","MW75-5817","B2","3360 C09","0.00000","uM","1","",5.257595,10.30875,0.447927,474.320357,4.516476,330.843667,98,56,51,85.5,1.566665,71.345976,784.488889,0.599317,698.5,1.822533,0.030955
"20210303","MW75-5818","C2","3360 C09","0.00000","uM","1","",4.21071,7.324808,0.417209,495.89249,5.391708,547.098375,97.5,50,42,91.452381,1.910347,73.236629,934.884615,0.269733,713.511905,2.146285,0.033892
"20210303","MW75-5818","A2","3360 C11","0.00000","uM","1","",14.653835,26.06375,0.410621,442.645871,6.152699,242.634494,126,88.5,392.5,88.246544,3.134247,32.734404,428.72,0.918838,340.52381,1.13865,0.052388
"20210303","MW75-5816","B2","3360 C11","0.00000","uM","1","",3.109654,5.59525,0.14138,282.191937,1.550813,177.202687,44.5,22,35,53.727273,0.946707,64.288654,1142.91375,0.294869,235.5,0.734183,0.007021
"20210303","MW75-5817","C2","3360 C11","0.00000","uM","1","",2.814393,5.331429,0.254714,326.157893,2.80625,284.832857,80,28.5,30.5,90.5,1.477179,80.624422,914.34375,0.194062,713.375,1.479282,0.011756
"20210303","MW75-5817","A2","3360 D01","0.00000","uM","1","",9.521948,15.251154,0.351848,378.962328,3.829906,374.444549,94,74,155.5,81.641348,1.50125,67.109674,444.695211,0.353954,561.381288,1.294832,0.043054
"20210303","MW75-5818","B2","3360 D01","0.00000","uM","1","",8.635184,14.900048,0.315133,418.340557,4.93261,558.23114,97.5,71,174,85.126231,1.955334,47.623288,588.856957,0.747036,461.022855,1.491175,0.040473
"20210303","MW75-5816","C2","3360 D01","0.00000","uM","1","",7.450737,1.490714,0.070842,65.1785,0.685,117.4165,29,4.5,16.5,37.5,0.465513,72.307857,685.1175,0.167358,200.833333,1.174386,0
"20210303","MW75-5816","D2","3360 D03","0.00000","uM","1","",1.415374,1.887,0.255598,169.643,1.75,410.3175,32.5,11.5,21,47.666667,0.38239,75.050434,890.209375,0.08204,182.166667,0.742956,0
"20210303","MW75-5817","E2","3360 D03","0.00000","uM","1","",4.370453,7.409077,0.228242,335.014125,2.321825,184.284025,86.5,36.5,64,88.37931,1.452935,73.341094,888.16131,0.106453,632.431034,1.481855,0.024045
"20210303","MW75-5818","F2","3360 D03","0.00000","uM","1","",9.111652,19.210476,0.387974,505.906627,4.682438,421.569964,103,70.5,244,62.755357,1.216171,77.15476,368.117816,0.476029,406.692857,1.256669,0.03838
"20210303","MW75-5818","D2","3360 D07","0.00000","uM","1","",9.378203,12.661607,0.536002,457.55347,7.114977,357.623705,102,62,60,80.753589,1.805296,63.401855,890.275,0.70587,689.729665,1.696839,0.031572
"20210303","MW75-5816","E2","3360 D07","0.00000","uM","1","",4.098111,5.145,0.203106,159.125167,1.343167,245.520333,30.5,12,26,36,0.328247,20.75048,664.521875,0.061641,80.5,0.298053,0.006823
"20210303","MW75-5817","F2","3360 D07","0.00000","uM","1","",7.789634,13.376895,0.273221,323.854682,2.379182,146.216205,69,25.5,89,69.328571,1.249831,44.256865,1192.405492,0.284705,390.742857,1.190959,0.018237
"20210303","MW75-5817","D2","3360 D12","0.00000","uM","1","",2.085814,2.870844,0.224185,402.301786,2.867786,442.746929,76,23,35,91,1.43742,127.013721,701.982292,0.234459,761.111111,2.030673,0.016392
"20210303","MW75-5818","E2","3360 D12","0.00000","uM","1","",6.470084,7.306571,0.259195,338.647607,4.348107,318.515429,96,54.5,36,87.75,2.438024,54.148983,890.041667,0.399463,782.933333,1.438862,0.024381
"20210303","MW75-5816","F2","3360 D12","0.00000","uM","1","",1.446051,2.30625,0.218249,246.586437,2.418437,277.37525,24.5,14.5,32,41.038462,0.47072,39.003386,564.86875,0.099442,109.423077,0.416543,0.001139
"20210127","MW75-5620","E2","Acetomenophin","0.00000","uM","0","low activity across culture; ",1.985055,0.12,0,0,0,0,18.5,0,0,0,0,0,0,0,0,0.050302,3e-06
