"date","Plate.SN","rowi","coli","src_acsn","treatment","conc","rval","srcf","wllq","wllq_notes"
"20150422","MW1060-35",1,1,"AB","Caffeine",0,30835.3333333333,"ON_20150422_MW1060-35_Summary.xlsx",1,""
"20150422","MW1060-35",1,1,"LDH","Caffeine",0,1.97466666666667,"ON_20150422_MW1060-35_Summary.xlsx",1,""
"20150422","MW1060-35",1,2,"AB","Caffeine",0.03,31441.3333333333,"ON_20150422_MW1060-35_Summary.xlsx",1,""
"20150422","MW1060-35",1,2,"LDH","Caffeine",0.03,1.86146666666667,"ON_20150422_MW1060-35_Summary.xlsx",1,""
"20150422","MW1060-35",1,3,"AB","Caffeine",0.1,27776.3333333333,"ON_20150422_MW1060-35_Summary.xlsx",1,""
"20150422","MW1060-35",1,3,"LDH","Caffeine",0.1,1.79486666666667,"ON_20150422_MW1060-35_Summary.xlsx",1,""
"20150422","MW1060-35",1,4,"AB","Caffeine",0.3,23698.3333333333,"ON_20150422_MW1060-35_Summary.xlsx",1,""
"20150422","MW1060-35",1,4,"LDH","Caffeine",0.3,1.73666666666667,"ON_20150422_MW1060-35_Summary.xlsx",1,""
"20150422","MW1060-35",1,5,"AB","Caffeine",1,19788.3333333333,"ON_20150422_MW1060-35_Summary.xlsx",1,""
"20150422","MW1060-35",1,5,"LDH","Caffeine",1,1.77346666666667,"ON_20150422_MW1060-35_Summary.xlsx",1,""
"20150422","MW1060-35",1,6,"AB","Caffeine",3,21236.3333333333,"ON_20150422_MW1060-35_Summary.xlsx",1,""
"20150422","MW1060-35",1,6,"LDH","Caffeine",3,1.76286666666667,"ON_20150422_MW1060-35_Summary.xlsx",1,""
"20150422","MW1060-35",1,7,"AB","Caffeine",10,24480.3333333333,"ON_20150422_MW1060-35_Summary.xlsx",1,""
"20150422","MW1060-35",1,7,"LDH","Caffeine",10,1.69746666666667,"ON_20150422_MW1060-35_Summary.xlsx",1,""
