"date","Plate.SN","well","treatment","dose","units","wllq","wllq_notes","meanfiringrate_auc","burst.per.min_auc","mean.isis_auc","per.spikes.in.burst_auc","mean.dur_auc","mean.IBIs_auc","nAE_auc","nABE_auc","ns.n_auc","ns.peak.m_auc","ns.durn.m_auc","ns.percent.of.spikes.in.ns_auc","ns.mean.insis_auc","ns.durn.sd_auc","ns.mean.spikes.in.ns_auc","r_auc","mi_auc"
"20201209","MW71-7211","A6","3360 G12","0.00000","uM","1","",10.358992,16.35375,0.48943,524.003137,5.871925,303.136344,90,56.5,85,82.255319,1.79866,61.728944,479.145109,0.292848,555.531915,1.269457,0.032665
"20201209","MW71-7213","B6","3360 G12","0.00000","uM","1","",8.436377,7.693857,0.480788,463.395567,10.450067,153.791,80.5,31,44.5,85.877193,1.835907,50.102253,1116.675,0.190459,595.964912,1.512361,0.027287
"20201209","MW71-7214","C6","3360 G12","0.00000","uM","1","",5.701108,1.8525,0.01784,144.761625,0.441,182.447625,13,6,19,35.875,0.563157,84.397421,628.215,0.210904,192.125,1.994992,0
"20201118","MW71-7107","A2","DMSO","0.00000","uM","1"," Incubator CO2 supply cutoff for a period of time during DIV10 8 DIV11. 11.30.20 SC; ",12.589517,16.171,0.333039,239.323865,4.653806,181.735766,78.5,49.5,94,53.142857,0.878469,15.141057,314.647,0.49017,443.521008,0.29323,0.013973
"20201118","MW71-7108","A2","DMSO","0.00000","uM","1","Momentarily misdosed on DIV5, then aspirated and redosed;  Incubator CO2 supply cutoff for a period of time during DIV10 8 DIV11. 11.30.20 SC; ",11.843562,17.970024,0.735108,326.817094,8.360381,293.201294,96,56.5,57,53.410714,1.312332,24.399496,352.169444,0.56637,441.125,0.59805,0.019491
"20201118","MW71-7109","A2","DMSO","0.00000","uM","1"," Incubator CO2 supply cutoff for a period of time during DIV10 8 DIV11. 11.30.20 SC; ",6.67267,8.124911,0.461758,228.978938,3.82104,352.019272,69.5,43.5,121.5,54.181925,0.755279,33.260801,319.381786,0.245198,299.083333,0.622907,0.018308
"20201209","MW71-7211","A2","DMSO","0.00000","uM","1","",13.133424,11.589026,0.361599,328.467357,28.666417,191.191881,78,44,84.5,79.550136,1.584279,28.073158,925.305625,1.118562,592.201897,0.54999,0.014285
"20201209","MW71-7213","A2","DMSO","0.00000","uM","1","",10.573616,13.782,0.628178,382.783952,9.000024,384.935857,85,60.5,139.5,74.077397,1.534445,60.22191,667.544643,0.485019,593.02363,1.325337,0.040937
"20201209","MW71-7214","A2","DMSO","0.00000","uM","1","",5.132332,8.506071,0.273458,311.69325,2.931,189.128,49,25,80,59.797619,1.254539,56.251167,418.217683,0.228111,359.714286,1.361172,0.020674
"20201209","MW71-7215","A2","DMSO","0.00000","uM","1","",6.506532,6.292214,0.536814,302.359,67.804375,118.653375,63.5,25,127.5,67.126623,1.140159,50.101019,566.04693,0.449519,417.305195,0.941514,0.019825
