"date","Plate.SN","well","DIV","treatment","dose","units","file.name","meanfiringrate","burst.per.min","mean.isis","per.spikes.in.burst","mean.dur","mean.IBIs","nAE","nABE","ns.n","ns.peak.m","ns.durn.m","ns.percent.of.spikes.in.ns","ns.mean.insis","ns.durn.sd","ns.mean.spikes.in.ns","r","mi","wllq","wllq_notes"
"20201118","MW71-7107","A1",12,"3360 A01","30.00000","uM","NFA_20201118_MW71-7107_12_00(000).h5",4.65813245301193,6.12375,0.0641732113772744,63.4649333333333,2.77133333333333,21.7120666666667,16,15,84,8.92857142857143,0.179574121315193,2.9652488930632,10.2536144578313,0.188150489115989,23.6785714285714,0.0709733021222218,0.00413423904456833,1,""
"20201118","MW71-7107","A1",5,"3360 A01","30.00000","uM","NFA_20201118_MW71-7107_05_00(000).h5",0.21889460933468,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20201118","MW71-7107","A1",7,"3360 A01","30.00000","uM","NFA_20201118_MW71-7107_07_00(000).h5",0.621657424347181,0.42,0.167345813953487,8.646,0.7835,48.666,9,2,0,NA,NA,0,NA,NA,NA,-0.000853013098128374,3.00626158785122e-06,1,""
"20201118","MW71-7107","A1",9,"3360 A01","30.00000","uM","NFA_20201118_MW71-7107_09_00(000).h5",3.19564120141705,2.952,0.0852438463633201,50.9673333333333,6.75888888888889,17.1272222222222,15,9,4,16,0.21125,1.29027774560448,190.45,0.0976826399527989,139.25,0.0351255020638856,0.00088050785493646,1,""
"20201118","MW71-7107","A2",12,"DMSO","0.00000","uM","NFA_20201118_MW71-7107_12_00(000).h5",2.83244897636281,5.884,0.0665685490000664,57.9034285714286,1.3335,15.6232142857143,15,14,51,9,0.147673319327731,4.59280921172877,16.598,0.181395113816116,34.4901960784314,0.107513409604796,0.00569686480059619,1,""
"20201118","MW71-7107","A2",5,"DMSO","0.00000","uM","NFA_20201118_MW71-7107_05_00(000).h5",0.476679123881104,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20201118","MW71-7107","A2",7,"DMSO","0.00000","uM","NFA_20201118_MW71-7107_07_00(000).h5",0.502781187137764,1.0125,0.0355047955706925,35.7336666666667,0.185666666666667,25.4636666666667,8,3,0,NA,NA,0,NA,NA,NA,0.00125601464879537,7.04469082117923e-06,1,""
"20201118","MW71-7107","A2",9,"DMSO","0.00000","uM","NFA_20201118_MW71-7107_09_00(000).h5",2.45743319080428,2.128,0.0648706759732081,32.4005555555556,0.912888888888889,42.9494444444444,15,9,7,15.8571428571429,0.262783446712018,3.30073717466526,115.9,0.0872309010027016,156.714285714286,0.0517789427201418,0.00216560633772389,1,""
"20201118","MW71-7107","A3",12,"3360 A08","30.00000","uM","NFA_20201118_MW71-7107_12_00(000).h5",1.33795085867009,2.44153846153846,0.0430881172002088,48.5742222222222,0.577777777777778,64.7985555555556,13,9,13,11,0.111683220625528,4.58454533957253,65.6041666666667,0.0442149878635379,55.7692307692308,0.129198479899434,0.00298554341972664,1,""
"20201118","MW71-7107","A3",5,"3360 A08","30.00000","uM","NFA_20201118_MW71-7107_05_00(000).h5",0.193338385909818,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20201118","MW71-7107","A3",7,"3360 A08","30.00000","uM","NFA_20201118_MW71-7107_07_00(000).h5",0.474856617197258,0.375,0.108283711340202,13.25,0.525,45.249,4,1,0,NA,NA,0,NA,NA,NA,-0.000169962623589349,6.91483874594445e-06,1,""
"20201118","MW71-7107","A3",9,"3360 A08","30.00000","uM","NFA_20201118_MW71-7107_09_00(000).h5",2.65360486974044,2.68285714285714,0.0835547019827223,50.35125,3.9445,45.801,7,4,5,14.2,0.10382215007215,1.67346697415883,168.0875,0.0209269645329678,56.6,0.0355286271009596,0.000190491754823829,1,""
"20201118","MW71-7107","A4",12,"3360 B04","30.00000","uM","NFA_20201118_MW71-7107_12_00(000).h5",0.408056208445489,0.875,0.0254830408826106,75.3516666666667,0.3605,52.0986666666667,12,6,21,11,0.138000283446712,24.283825473777,41.3225,0.0647096370877277,52.4761904761905,0.27033782667039,0.00285267838269061,1,""
"20201118","MW71-7107","A4",5,"3360 B04","30.00000","uM","NFA_20201118_MW71-7107_05_00(000).h5",0.451678470530697,0,NA,0,NA,NA,4,0,0,NA,NA,0,NA,NA,NA,0.00718332277664961,2.66643568633471e-05,1,""
"20201118","MW71-7107","A4",7,"3360 B04","30.00000","uM","NFA_20201118_MW71-7107_07_00(000).h5",1.12931962254917,2.928,0.0447924234803985,54.798,0.312666666666667,13.865,10,6,9,5.44444444444444,0.215509259259259,1.0046820132657,89.525,0.0800059073822015,11.4444444444444,0.040604455395674,0.000428140715746805,1,""
"20201118","MW71-7107","A4",9,"3360 B04","30.00000","uM","NFA_20201118_MW71-7107_09_00(000).h5",2.41724678299251,2.47090909090909,0.0999647033169264,44.7502,4.8916,22.7588,11,5,3,15,0.117261904761905,1.47163046650269,259.15,0.0137622664827234,117.666666666667,0.0634533157947851,0.000444787184927131,1,""
"20201118","MW71-7107","A5",12,"3360 C01","30.00000","uM","NFA_20201118_MW71-7107_12_00(000).h5",1.35666883733681,2.44,0.0308198754200436,71.2498666666667,0.708533333333333,42.657,15,15,43,9.34883720930233,0.190754282861841,9.71334971334971,20.1535714285714,0.186471077183839,41.3720930232558,0.253527335428861,0.00787902816357124,1,""
"20201118","MW71-7107","A5",5,"3360 C01","30.00000","uM","NFA_20201118_MW71-7107_05_00(000).h5",0.361953903506456,0.03,NA,0,NA,NA,4,0,0,NA,NA,0,NA,NA,NA,0.000549860366952664,0,1,""
