"date","Plate.SN","rowi","coli","src_acsn","treatment","conc","rval","srcf","wllq","wllq_notes"
"20160921","MW1159-40",1,1,"AB","Simvastatin",20,0,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",1,1,"LDH","Simvastatin",20,0.004,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",1,2,"AB","Simvastatin",0,16631.3333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",1,2,"LDH","Simvastatin",0,0.3252,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",1,3,"AB","Simvastatin",0.03,19413.3333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",1,3,"LDH","Simvastatin",0.03,0.9186,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",1,4,"AB","Simvastatin",0.1,19249.3333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",1,4,"LDH","Simvastatin",0.1,0.7141,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",1,5,"AB","Simvastatin",0.3,18775.3333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",1,5,"LDH","Simvastatin",0.3,0.3591,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",1,6,"AB","Simvastatin",1,12836.3333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",1,6,"LDH","Simvastatin",1,0.139,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",1,7,"AB","Simvastatin",3,8258.33333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",1,7,"LDH","Simvastatin",3,0.0785,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",1,8,"AB","Simvastatin",10,230.333333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",1,8,"LDH","Simvastatin",10,0.0175,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",2,1,"AB","Tributyltin chloride",20,0,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",2,1,"LDH","Tributyltin chloride",20,0.0585,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",2,2,"AB","Tributyltin chloride",0,5604.33333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",2,2,"LDH","Tributyltin chloride",0,0.176,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",2,3,"AB","Tributyltin chloride",0.03,17912.3333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",2,3,"LDH","Tributyltin chloride",0.03,0.5065,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",2,4,"AB","Tributyltin chloride",0.1,1747.33333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",2,4,"LDH","Tributyltin chloride",0.1,0.0829,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",2,5,"AB","Tributyltin chloride",0.3,0,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",2,5,"LDH","Tributyltin chloride",0.3,0.0537,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",2,6,"AB","Tributyltin chloride",1,0,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",2,6,"LDH","Tributyltin chloride",1,0.076,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",2,7,"AB","Tributyltin chloride",3,0,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",2,7,"LDH","Tributyltin chloride",3,0.0545,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",2,8,"AB","Tributyltin chloride",10,0,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",2,8,"LDH","Tributyltin chloride",10,0.0475,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",3,1,"AB","Mercuric chloride",20,0,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",3,1,"LDH","Mercuric chloride",20,0,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",3,2,"AB","Mercuric chloride",0,18476.3333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",3,2,"LDH","Mercuric chloride",0,0.4117,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",3,3,"AB","Mercuric chloride",0.03,24016.3333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",3,3,"LDH","Mercuric chloride",0.03,1.1957,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",3,4,"AB","Mercuric chloride",0.1,24166.3333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",3,4,"LDH","Mercuric chloride",0.1,1.2866,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",3,5,"AB","Mercuric chloride",0.3,17012.3333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",3,5,"LDH","Mercuric chloride",0.3,0.554,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",3,6,"AB","Mercuric chloride",1,14281.3333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",3,6,"LDH","Mercuric chloride",1,0.2482,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",3,7,"AB","Mercuric chloride",3,0,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",3,7,"LDH","Mercuric chloride",3,0.0063,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",3,8,"AB","Mercuric chloride",10,0,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",3,8,"LDH","Mercuric chloride",10,0,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",4,1,"AB","Tributyltin methylacrylate",20,0,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",4,1,"LDH","Tributyltin methylacrylate",20,0.0058,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",4,2,"AB","Tributyltin methylacrylate",0,15077.3333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",4,2,"LDH","Tributyltin methylacrylate",0,0.189,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",4,3,"AB","Tributyltin methylacrylate",0.03,14262.3333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",4,3,"LDH","Tributyltin methylacrylate",0.03,0.1505,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",4,4,"AB","Tributyltin methylacrylate",0.1,9602.33333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",4,4,"LDH","Tributyltin methylacrylate",0.1,0.129,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",4,5,"AB","Tributyltin methylacrylate",0.3,0,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",4,5,"LDH","Tributyltin methylacrylate",0.3,0.00699999999999999,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",4,6,"AB","Tributyltin methylacrylate",1,0,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",4,6,"LDH","Tributyltin methylacrylate",1,0.00849999999999999,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",4,7,"AB","Tributyltin methylacrylate",3,0,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",4,7,"LDH","Tributyltin methylacrylate",3,0.00459999999999999,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",4,8,"AB","Tributyltin methylacrylate",10,0,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",4,8,"LDH","Tributyltin methylacrylate",10,0.00879999999999999,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",5,1,"AB","Lovastatin",20,0,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",5,1,"LDH","Lovastatin",20,0.00559999999999999,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",5,2,"AB","Lovastatin",0,22572.3333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",5,2,"LDH","Lovastatin",0,0.8288,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",5,3,"AB","Lovastatin",0.03,25601.3333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",5,3,"LDH","Lovastatin",0.03,1.1191,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",5,4,"AB","Lovastatin",0.1,26745.3333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",5,4,"LDH","Lovastatin",0.1,0.9569,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",5,5,"AB","Lovastatin",0.3,28315.3333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",5,5,"LDH","Lovastatin",0.3,1.0727,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",5,6,"AB","Lovastatin",1,25071.3333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",5,6,"LDH","Lovastatin",1,0.3838,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",5,7,"AB","Lovastatin",3,17808.3333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",5,7,"LDH","Lovastatin",3,0.1447,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",5,8,"AB","Lovastatin",10,13268.3333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",5,8,"LDH","Lovastatin",10,0.0885,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",6,1,"AB","Phenylmercuric acetate",20,0,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",6,1,"LDH","Phenylmercuric acetate",20,0.00489999999999999,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",6,2,"AB","Phenylmercuric acetate",0,23781.3333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",6,2,"LDH","Phenylmercuric acetate",0,0.879,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",6,3,"AB","Phenylmercuric acetate",0.03,20068.3333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",6,3,"LDH","Phenylmercuric acetate",0.03,0.3153,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",6,4,"AB","Phenylmercuric acetate",0.1,0,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",6,4,"LDH","Phenylmercuric acetate",0.1,0.00689999999999999,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",6,5,"AB","Phenylmercuric acetate",0.3,0,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",6,5,"LDH","Phenylmercuric acetate",0.3,0.00639999999999999,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",6,6,"AB","Phenylmercuric acetate",1,0,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",6,6,"LDH","Phenylmercuric acetate",1,0.00779999999999999,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",6,7,"AB","Phenylmercuric acetate",3,0,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",6,7,"LDH","Phenylmercuric acetate",3,0.00639999999999999,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",6,8,"AB","Phenylmercuric acetate",10,0,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-40",6,8,"LDH","Phenylmercuric acetate",10,0.00749999999999999,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",1,1,"AB","Simvastatin",10,0,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",1,1,"LDH","Simvastatin",10,0.00543333333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",1,2,"AB","Simvastatin",20,0,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",1,2,"LDH","Simvastatin",20,0.00653333333333334,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",1,3,"AB","Simvastatin",0,20473,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",1,3,"LDH","Simvastatin",0,0.378033333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",1,4,"AB","Simvastatin",0.03,30394,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",1,4,"LDH","Simvastatin",0.03,0.953133333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",1,5,"AB","Simvastatin",0.1,25966,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",1,5,"LDH","Simvastatin",0.1,0.684133333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",1,6,"AB","Simvastatin",0.3,23710,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",1,6,"LDH","Simvastatin",0.3,0.418033333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",1,7,"AB","Simvastatin",1,17703,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",1,7,"LDH","Simvastatin",1,0.176733333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",1,8,"AB","Simvastatin",3,14194,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",1,8,"LDH","Simvastatin",3,0.102633333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",2,1,"AB","Tributyltin chloride",10,0,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",2,1,"LDH","Tributyltin chloride",10,0.0550333333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",2,2,"AB","Tributyltin chloride",20,0,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",2,2,"LDH","Tributyltin chloride",20,0.0495333333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",2,3,"AB","Tributyltin chloride",0,3959,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",2,3,"LDH","Tributyltin chloride",0,0.151533333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",2,4,"AB","Tributyltin chloride",0.03,22910,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",2,4,"LDH","Tributyltin chloride",0.03,0.601433333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",2,5,"AB","Tributyltin chloride",0.1,3028,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",2,5,"LDH","Tributyltin chloride",0.1,0.0770333333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",2,6,"AB","Tributyltin chloride",0.3,0,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",2,6,"LDH","Tributyltin chloride",0.3,0.0707333333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",2,7,"AB","Tributyltin chloride",1,0,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",2,7,"LDH","Tributyltin chloride",1,0.0486333333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",2,8,"AB","Tributyltin chloride",3,0,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",2,8,"LDH","Tributyltin chloride",3,0.0432333333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",3,1,"AB","Mercuric chloride",10,0,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",3,1,"LDH","Mercuric chloride",10,0.00113333333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",3,2,"AB","Mercuric chloride",20,0,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",3,2,"LDH","Mercuric chloride",20,0,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",3,3,"AB","Mercuric chloride",0,14307,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",3,3,"LDH","Mercuric chloride",0,0.269733333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",3,4,"AB","Mercuric chloride",0.03,25945,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",3,4,"LDH","Mercuric chloride",0.03,1.05583333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",3,5,"AB","Mercuric chloride",0.1,25828,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",3,5,"LDH","Mercuric chloride",0.1,0.985933333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",3,6,"AB","Mercuric chloride",0.3,23324,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",3,6,"LDH","Mercuric chloride",0.3,0.601733333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",3,7,"AB","Mercuric chloride",1,15620,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",3,7,"LDH","Mercuric chloride",1,0.235933333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",3,8,"AB","Mercuric chloride",3,13,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",3,8,"LDH","Mercuric chloride",3,0.00463333333333334,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",4,1,"AB","Tributyltin methylacrylate",10,0,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",4,1,"LDH","Tributyltin methylacrylate",10,0.00573333333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",4,2,"AB","Tributyltin methylacrylate",20,0,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",4,2,"LDH","Tributyltin methylacrylate",20,0.00603333333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",4,3,"AB","Tributyltin methylacrylate",0,19677,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",4,3,"LDH","Tributyltin methylacrylate",0,0.580133333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",4,4,"AB","Tributyltin methylacrylate",0.03,14574,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",4,4,"LDH","Tributyltin methylacrylate",0.03,0.215133333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",4,5,"AB","Tributyltin methylacrylate",0.1,13120,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",4,5,"LDH","Tributyltin methylacrylate",0.1,0.147633333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",4,6,"AB","Tributyltin methylacrylate",0.3,0,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",4,6,"LDH","Tributyltin methylacrylate",0.3,0.00623333333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",4,7,"AB","Tributyltin methylacrylate",1,0,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",4,7,"LDH","Tributyltin methylacrylate",1,0.00633333333333334,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",4,8,"AB","Tributyltin methylacrylate",3,0,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",4,8,"LDH","Tributyltin methylacrylate",3,0.00693333333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",5,1,"AB","Lovastatin",10,3818,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",5,1,"LDH","Lovastatin",10,0.0649333333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",5,2,"AB","Lovastatin",20,4822,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",5,2,"LDH","Lovastatin",20,0.0710333333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",5,3,"AB","Lovastatin",0,27277,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",5,3,"LDH","Lovastatin",0,0.812133333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",5,4,"AB","Lovastatin",0.03,26535,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",5,4,"LDH","Lovastatin",0.03,0.859133333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",5,5,"AB","Lovastatin",0.1,25037,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",5,5,"LDH","Lovastatin",0.1,0.794233333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",5,6,"AB","Lovastatin",0.3,26460,"20160921_ON_G6_1 Calculations.xlsx",1,""
"20160921","MW1159-43",5,6,"LDH","Lovastatin",0.3,0.615233333333333,"20160921_ON_G6_1 Calculations.xlsx",1,""
