"date","Plate.SN","well","DIV","trt","dose","units","file.name","meanfiringrate","burst.per.min","mean.isis","per.spikes.in.burst","mean.dur","mean.IBIs","nAE","nABE","ns.n","ns.peak.m","ns.durn.m","ns.percent.of.spikes.in.ns","ns.mean.insis","ns.durn.sd","ns.mean.spikes.in.ns","r","mi","wllq","wllq_notes"
"20160921","MW1159-40","A1",12,"Simvastatin",20,"uM","ON_20160921_MW1159-40_12_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","A1",5,"Simvastatin",20,"uM","ON_20160921_MW1159-40_05_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","A1",7,"Simvastatin",20,"uM","ON_20160921_MW1159-40_07_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","A1",9,"Simvastatin",20,"uM","ON_20160921_MW1159-40_09_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","A2",12,"Simvastatin",0,"uM","ON_20160921_MW1159-40_12_00(000).h5",0.82593671816571,2.06666666666667,0.0594486410244334,46.5684285714286,0.567,29.94,9,7,30,8.13333333333333,0.122618326118326,8.52430302145672,28.4672413793103,0.0353830209958799,19.4666666666667,0.104108112009524,0.00121940518758801,1,""
"20160921","MW1159-40","A2",5,"Simvastatin",0,"uM","ON_20160921_MW1159-40_05_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","A2",7,"Simvastatin",0,"uM","ON_20160921_MW1159-40_07_00(000).h5",1.07974995979897,0.315,0.0831240494487137,7.0025,0.4975,100.4465,4,2,1,7,0.0979166666666664,0.32565130260521,NA,NA,13,0.00758671827021406,3.76633133077064e-05,1,""
"20160921","MW1159-40","A2",9,"Simvastatin",0,"uM","ON_20160921_MW1159-40_09_00(000).h5",1.00070752035604,0.675,0.0706259542226958,19.03675,0.66475,64.18225,8,4,7,8.28571428571429,0.139506802721088,1.8450184501845,105.308333333333,0.0164657932620515,19.2857142857143,0.045671055765051,0.000273415175146063,1,""
"20160921","MW1159-40","A3",12,"Simvastatin",0.03,"uM","ON_20160921_MW1159-40_12_00(000).h5",3.44365610821759,8.1975,0.0269233243763017,92.0018125,0.51825,7.897375,16,16,255,13.9450980392157,0.157685711075417,30.0354924578527,3.47755905511811,0.0873361259781392,58.4078431372549,0.490468876836835,0.0321100421446357,1,""
"20160921","MW1159-40","A3",5,"Simvastatin",0.03,"uM","ON_20160921_MW1159-40_05_00(000).h5",3.8866358933264,3.72,0.120158242839571,84.87,6.274,1.977,2,1,0,NA,NA,0,NA,NA,NA,-6.78822486176155e-05,0,1,""
"20160921","MW1159-40","A3",7,"Simvastatin",0.03,"uM","ON_20160921_MW1159-40_07_00(000).h5",2.36753556683286,4.69636363636364,0.0899465518471523,52.8937142857143,2.29971428571429,22.4161428571429,11,7,17,10.7647058823529,0.187629551820728,1.28205128205128,53.2875,0.0463375112425687,17.7647058823529,0.0305577597326128,0.000100839076926817,1,""
"20160921","MW1159-40","A3",9,"Simvastatin",0.03,"uM","ON_20160921_MW1159-40_09_00(000).h5",2.56307052782527,3.996,0.0466148459242318,69.0780666666667,0.9162,19.1257333333333,15,15,142,10.4014084507042,0.14370013007337,10.2341967714921,6.27978723404255,0.118024038704346,24.9577464788732,0.194714421332592,0.00811361189982155,1,""
"20160921","MW1159-40","A4",12,"Simvastatin",0.1,"uM","ON_20160921_MW1159-40_12_00(000).h5",2.43885131210159,6.67125,0.0202587268099815,94.2454,0.364,9.24813333333333,16,15,162,13.7098765432099,0.192490654492969,32.2987556593297,5.47857142857143,0.0791516093016637,70.0185185185185,0.451968077642032,0.0257269567853388,1,""
"20160921","MW1159-40","A4",5,"Simvastatin",0.1,"uM","ON_20160921_MW1159-40_05_00(000).h5",0.171504638418882,0.22,0.0659939999999953,26.596,0.264,90.903,3,1,0,NA,NA,0,NA,NA,NA,-0.0017027354650371,0,1,""
"20160921","MW1159-40","A4",7,"Simvastatin",0.1,"uM","ON_20160921_MW1159-40_07_00(000).h5",0.861627072513734,1.7,0.0484324432430867,60.297875,0.537375,40.10725,9,8,17,10.2352941176471,0.242769607843137,6.65353776902518,53.83125,0.0515621719637021,27.8235294117647,0.103027757828611,0.000745719941241108,1,""
"20160921","MW1159-40","A4",9,"Simvastatin",0.1,"uM","ON_20160921_MW1159-40_09_00(000).h5",1.40735172272918,2.44,0.0343416110815687,77.7926153846154,0.758846153846154,26.0422307692308,15,13,52,11.9230769230769,0.270496222527472,11.8075954678976,16.7970588235294,0.102725765786246,43.2884615384615,0.242268724031687,0.00750522637979258,1,""
