"date","Plate.SN","well","treatment","dose","units","wllq","wllq_notes","meanfiringrate_auc","burst.per.min_auc","mean.isis_auc","per.spikes.in.burst_auc","mean.dur_auc","mean.IBIs_auc","nAE_auc","nABE_auc","ns.n_auc","ns.peak.m_auc","ns.durn.m_auc","ns.percent.of.spikes.in.ns_auc","ns.mean.insis_auc","ns.durn.sd_auc","ns.mean.spikes.in.ns_auc","r_auc","mi_auc"
"20171011","MW1147-28","D2","1,1,2,2-Tetrahydroperfluoro-1-decanol - TP0001411","0.00000","uM","1","",10.293764,23.574911,0.33044,539.079121,3.342534,221.90265,112,95.5,251.5,107.915202,1.742756,127.031087,1447.64992,0.398377,598.319192,2.089248,0.075839
"20171011","MW1147-29","D2","1,1,2,2-Tetrahydroperfluoro-1-decanol - TP0001411","0.00000","uM","1","",11.68435,35.810625,0.427385,524.726365,3.318892,216.066875,121,101.5,507.5,78.50243,1.574122,80.886264,83.709813,0.586289,228.991474,1.374246,0.049224
"20171011","MW1147-30","D2","1,1,2,2-Tetrahydroperfluoro-1-decanol - TP0001411","0.00000","uM","1","",9.525567,22.860385,0.349598,548.952275,3.575517,226.802633,94,86.5,303.5,93.266004,1.788459,113.416026,149.330362,0.275566,377.369498,1.756717,0.051064
"20170222","MW1146-3","C2","17beta Estradiol","0.00000","uM","1","",5.205896,15.42,0.358848,481.851111,3.068989,439.714533,87.5,80.5,254,69.019899,1.264967,95.056146,219.583338,0.344866,231.884615,1.419003,0.028564
"20171004","MW1147-23","C2","17beta Estradiol","0.00000","uM","1","",6.587053,9.827662,0.421227,269.520652,4.345223,231.048652,63,45,82.5,45.8,0.828334,49.256606,224.493917,0.179012,207.928571,0.659358,0.011734
"20171004","MW1147-24","C2","17beta Estradiol","0.00000","uM","1","",5.962631,12.37875,0.369559,227.362852,2.949124,271.465895,75,46,68.5,67.407143,1.124544,23.616719,563.085776,0.245082,224.245238,0.38245,0.008005
"20171004","MW1147-25","C2","17beta Estradiol","0.00000","uM","1","",7.367806,11.581193,0.348712,292.376406,8.340629,205.011112,83.5,45.5,111.5,47.507305,0.799235,13.722315,217.429545,0.21126,113.340909,0.242381,0.006797
"20170222","MW1146-4","C3","17beta Estradiol","0.00000","uM","1","",6.792641,18.044458,0.301679,578.202,3.63895,331.088033,117,102,191.5,107.40903,2.085509,86.097163,390.370509,0.524312,381.293464,1.687145,0.034776
"20170222","MW1146-5","C4","17beta Estradiol","0.00000","uM","1","",8.715959,18.87375,0.549077,429.6267,4.167033,268.6458,98,82.5,669.5,66.087199,0.767914,100.208058,165.509065,0.280236,174.9383,1.25677,0.029481
"20171011","MW1147-28","F2","1H,1H,2H,2H-Perfluorooctyl iodide - TP0001413","0.00000","uM","1","",12.275498,25.395341,0.375407,545.379636,3.70212,238.356608,123.5,111.5,420,114.782309,2.07536,96.516973,702.646736,0.531832,416.561185,1.998631,0.07565
"20171011","MW1147-29","F2","1H,1H,2H,2H-Perfluorooctyl iodide - TP0001413","0.00000","uM","1","",11.494101,35.26125,0.396185,550.117135,3.621452,170.257757,116,97.5,558,76.734897,1.339391,78.66658,107.676906,0.490761,241.792828,1.220794,0.045855
"20171011","MW1147-30","F2","1H,1H,2H,2H-Perfluorooctyl iodide - TP0001413","0.00000","uM","1","",11.410821,26.044279,0.235107,429.484364,2.984486,103.050336,95,77.5,508.5,73.059888,1.591106,83.235933,99.526891,0.608228,247.321658,1.283516,0.052117
"20170809","MW1146-32","C2","2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane","0.00000","uM","1","",9.476226,13.427321,0.31056,327.577724,9.360472,254.63246,73.5,62.5,96,67.84965,1.470873,27.288446,618.245395,0.372694,286.527972,0.625702,0.01445
"20170809","MW1146-33","C2","2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane","0.00000","uM","1","",7.004167,9.547857,0.281253,379.109839,4.791363,242.864767,78,60.5,131,71.176471,1.509087,38.653857,414.383812,0.472247,251.45098,0.663576,0.020126
"20170809","MW1146-34","C2","2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane","0.00000","uM","1","",4.994026,8.747455,0.281371,254.626675,2.834675,479.647638,54,44.5,55.5,56.058081,0.780596,38.539259,299.317411,0.235043,302.684343,0.713368,0.010282
"20170920","MW1147-17","C2","3-Iodo-2-propynyl-N-butylcarbamate","0.00000","uM","1","",16.911935,35.163125,0.344439,592.196675,6.469454,162.360665,133.5,131.5,368.5,126.576731,2.873994,81.953529,258.056579,0.781709,531.008737,1.780391,0.065827
"20170920","MW1147-18","C2","3-Iodo-2-propynyl-N-butylcarbamate","0.00000","uM","1","",13.414416,31.800577,0.349826,565.347162,4.935676,245.920241,128.5,123.5,330.5,123.087325,2.783708,73.471505,352.736231,0.689265,444.125501,1.691224,0.053449
"20170920","MW1147-19","C2","3-Iodo-2-propynyl-N-butylcarbamate","0.00000","uM","1","",15.870028,39.256607,0.310655,607.61549,4.781082,169.009281,131,128.5,368,125.76121,2.973321,77.098735,254.059772,0.584106,477.081861,1.937987,0.067079
"20170201","MW1145-22","F2","3 Iodo 2 propynyl N butylcarbamate","0.00000","uM","1","",10.205649,17.529643,0.342145,578.772656,5.55183,254.958464,93,84.5,469.5,73.77968,1.337026,110.035983,113.941434,0.583944,246.009498,2.003713,0.058773
"20170201","MW1145-23","F3","3 Iodo 2 propynyl N butylcarbamate","0.00000","uM","1","",5.253558,14,0.459623,526.51653,3.677894,278.280167,69,58.5,167,65.712208,1.021926,113.429009,243.484123,0.242012,258.609156,1.710625,0.02734
"20170201","MW1145-24","F4","3 Iodo 2 propynyl N butylcarbamate","0.00000","uM","1","",9.211577,19.31775,0.275701,651.890641,4.629682,366.15282,119,114.5,428.5,107.518808,1.781021,124.048961,323.688917,0.594249,411.164749,2.465407,0.067301
"20170809","MW1146-29","C2","6-Methyl-2-thiouracil","0.00000","uM","1","",8.134505,11.588304,0.324918,264.060411,4.0623,317.594578,63,49,75,71.21875,0.959441,20.832148,274.928763,0.252596,267.890625,0.503549,0.013473
"20170809","MW1146-30","C2","6-Methyl-2-thiouracil","0.00000","uM","1","",5.024177,6.200893,0.313109,277.286779,3.399087,361.841791,73.5,61,80,73.854167,1.094541,35.646117,223.881965,0.231427,257.71875,0.802324,0.012063
"20170809","MW1146-31","C2","6-Methyl-2-thiouracil","0.00000","uM","1","",9.969722,18.332,0.559927,296.795163,5.62635,169.247187,59,44.5,124.5,71.885714,1.004333,36.487858,303.338587,0.275319,331.65,0.700009,0.016296
"20171004","MW1147-20","D2","6 Propyl 2 thiouracil","0.00000","uM","1","",7.153001,9.594286,0.383648,190.994536,3.839964,336.333286,68,48,89.5,66.782051,1.081218,31.314123,531.510965,0.247439,286.570513,0.522596,0.014183
"20171004","MW1147-21","D2","6 Propyl 2 thiouracil","0.00000","uM","1","",8.024198,13.524167,0.396803,219.949854,3.141021,223.329333,50.5,37.5,64,44.480769,0.556015,17.982511,255.697778,0.10828,161.019231,0.333426,0.005179
"20171004","MW1147-22","D2","6 Propyl 2 thiouracil","0.00000","uM","1","",17.719171,24.261,0.61385,295.7945,12.956083,163.935667,40.5,32.5,60,38.791667,0.61711,11.632997,266.189234,0.161565,106.5,0.25006,0.002303
"20170222","MW1146-3","E2","Abamectin","0.00000","uM","1","",5.676119,16.238929,0.292999,662.453219,2.941052,390.096844,105.5,98,244,82.040073,1.391328,106.378056,159.885347,0.471234,319.896539,2.154576,0.0488
"20171004","MW1147-23","E2","Abamectin","0.00000","uM","1","",7.19169,9.055333,0.230838,228.4215,2.127731,126.785923,49.5,32,95,40.469697,0.701071,28.294772,208.234659,0.160346,128.209091,0.465795,0.008491
"20171004","MW1147-24","E2","Abamectin","0.00000","uM","1","",9.342866,13.977,0.338259,311.9494,2.4851,253.9954,54,37,116.5,43.491803,0.582903,21.035192,248.499583,0.157561,122.844262,0.410057,0.011808
"20171004","MW1147-25","E2","Abamectin","0.00000","uM","1","",7.599749,14.970288,0.659117,190.043688,4.876625,194.309438,72.5,48,73.5,50.042484,0.758047,14.953906,279.309375,0.220055,137.050654,0.238991,0.006216
"20170222","MW1146-4","E3","Abamectin","0.00000","uM","1","",2.853004,6.624375,0.277482,390.44665,1.924193,411.184743,76,57.5,162,84.715507,0.928154,193.2401,352.593158,0.212069,192.897436,1.810655,0.010676
"20170222","MW1146-5","E4","Abamectin","0.00000","uM","1","",1.140434,2.17875,0.044749,381.8185,0.6655,448.0855,34.5,4,28,60.428571,0.357003,202.234122,500.483333,0.079803,311.571429,2.294201,0
"20170816","MW1146-35","F2","Acenaphthene","0.00000","uM","1","",7.742922,19.735625,0.306955,646.607685,3.864038,245.657398,100.5,89,346.5,103.212447,1.768445,129.893132,530.273215,0.54401,348.404564,1.943512,0.051495
"20170816","MW1147-1","F2","Acenaphthene","0.00000","uM","1","",12.856015,27.655625,0.44406,524.094125,8.892302,183.271781,119,98,540,97.471253,1.553179,68.997714,330.031447,0.654621,254.557129,1.095505,0.037016
"20170816","MW1147-2","F2","Acenaphthene","0.00000","uM","1","",11.342445,24.04125,0.344405,534.82925,4.240336,255.188701,126,111.5,356.5,116.085614,2.030583,94.650581,334.307481,0.404722,403.797719,1.739248,0.053832
"20171011","MW1147-27","F1","Acenaphthylene","0.00000","uM","1","",17.490469,37.705227,0.472266,502.552096,4.618394,165.554871,123.5,114,544,81.540287,1.527101,83.79727,101.472857,0.768888,338.202258,1.544125,0.07183
"20171011","MW1147-16","F2","Acenaphthylene","0.00000","uM","1","",14.268776,35.344327,0.408261,522.643434,4.192814,175.234124,128.5,111.5,629.5,79.575618,1.32604,85.800238,97.700575,0.604157,257.136728,1.451621,0.061843
"20171011","MW1147-26","F2","Acenaphthylene","0.00000","uM","1","",12.205514,26.544952,0.536683,498.791052,5.544229,156.12701,110,90.5,742,75.076198,1.077441,103.83457,90.858305,0.715461,234.624359,1.538005,0.065394
"20170816","MW1147-3","F2","Acenaphthylene","0.00000","uM","1","",9.656331,19.704,0.321505,485.768611,3.710242,317.304045,119,106,431,111.127416,1.878543,95.862352,397.946589,0.477798,336.094118,1.622636,0.052737
"20170816","MW1147-4","F2","Acenaphthylene","0.00000","uM","1","DIV12 estimated as median from corresponding wells of 20170816_MW1147-3,20170816_MW1147-5; ",4.44471,13.547812,0.235338,377.757219,1.991656,186.689547,57,51,225.75,55.966765,0.923623,93.418849,287.10985,0.318538,156.8976,1.229721,0.025229
