spid,treatment,aenm,max_med,coff,sc_hit,sc_pos,hit_count
1208990391,3612 E01,CCTE_Shafer_MEA_dev_AB_dn,78.01086655,30,1,1,6
1208990391,3612 E01,CCTE_Shafer_MEA_dev_LDH_dn,94.71616946,30,1,1,6
1208990391,3612 E01,CCTE_Shafer_MEA_dev_bursting_electrodes_number_dn,91.30434783,47.0176,1,1,6
1208990391,3612 E01,CCTE_Shafer_MEA_dev_network_spike_peak_DIV12_dn,33.51648352,26.6127,1,1,6
1208990391,3612 E01,CCTE_Shafer_MEA_dev_network_spike_peak_dn,81.06177671,53.0434,1,1,6
1208990391,3612 E01,CCTE_Shafer_MEA_dev_per_burst_interspike_interval_DIV12_up,191.7391187,68.4416,1,1,6
1208990391,3612 E01,CCTE_Shafer_MEA_dev_firing_rate_mean_DIV12_dn,14.19873356,55.5246,0,1,6
1208990391,3612 E01,CCTE_Shafer_MEA_dev_inter_network_spike_interval_mean_up,-83.4418686,472.59,0,1,6
1208990391,3612 E01,CCTE_Shafer_MEA_dev_mutual_information_norm_up,-97.07811361,118.434,0,1,6
1208990391,3612 E01,CCTE_Shafer_MEA_dev_per_burst_interspike_interval_DIV12_dn,-191.7391187,52.8475,0,1,6
1208990391,3612 E01,CCTE_Shafer_MEA_dev_per_network_spike_spike_number_mean_DIV12_up,-73.47264718,63.308,0,1,6
1210314435,3360 B12,CCTE_Shafer_MEA_dev_AB_dn,42.88175581,30,1,1,6
1210314435,3360 B12,CCTE_Shafer_MEA_dev_LDH_dn,72.44399037,30,1,1,6
1210314435,3360 B12,CCTE_Shafer_MEA_dev_bursting_electrodes_number_dn,82.03592814,47.0176,1,1,6
1210314435,3360 B12,CCTE_Shafer_MEA_dev_firing_rate_mean_DIV12_dn,57.27540167,55.5246,1,1,6
1210314435,3360 B12,CCTE_Shafer_MEA_dev_per_burst_interspike_interval_DIV12_up,92.97386877,68.4416,1,1,6
1210314435,3360 B12,CCTE_Shafer_MEA_dev_per_network_spike_spike_number_mean_DIV12_up,64.87683966,63.308,1,1,6
1210314435,3360 B12,CCTE_Shafer_MEA_dev_inter_network_spike_interval_mean_up,-28.7697299,472.59,0,1,6
1210314435,3360 B12,CCTE_Shafer_MEA_dev_mutual_information_norm_up,-85.71307588,118.434,0,1,6
1210314435,3360 B12,CCTE_Shafer_MEA_dev_network_spike_peak_DIV12_dn,-10.21868787,26.6127,0,1,6
1210314435,3360 B12,CCTE_Shafer_MEA_dev_network_spike_peak_dn,52.23692907,53.0434,0,1,6
1210314435,3360 B12,CCTE_Shafer_MEA_dev_per_burst_interspike_interval_DIV12_dn,-92.97386877,52.8475,0,1,6
1208990396,3612 B02,CCTE_Shafer_MEA_dev_AB_dn,95.44379677,30,1,1,5
1208990396,3612 B02,CCTE_Shafer_MEA_dev_LDH_dn,98.9297354,30,1,1,5
1208990396,3612 B02,CCTE_Shafer_MEA_dev_bursting_electrodes_number_dn,100,47.0176,1,1,5
1208990396,3612 B02,CCTE_Shafer_MEA_dev_firing_rate_mean_DIV12_dn,100,55.5246,1,1,5
1208990396,3612 B02,CCTE_Shafer_MEA_dev_network_spike_peak_dn,100,53.0434,1,1,5
1208990396,3612 B02,CCTE_Shafer_MEA_dev_inter_network_spike_interval_mean_up,-100,472.59,0,1,5
1208990396,3612 B02,CCTE_Shafer_MEA_dev_mutual_information_norm_up,-100,118.434,0,1,5
1208990399,3612 E02,CCTE_Shafer_MEA_dev_AB_dn,96.44506846,30,1,1,5
1208990399,3612 E02,CCTE_Shafer_MEA_dev_LDH_dn,99.1349481,30,1,1,5
1208990399,3612 E02,CCTE_Shafer_MEA_dev_bursting_electrodes_number_dn,100,47.0176,1,1,5
1208990399,3612 E02,CCTE_Shafer_MEA_dev_firing_rate_mean_DIV12_dn,100,55.5246,1,1,5
1208990399,3612 E02,CCTE_Shafer_MEA_dev_network_spike_peak_dn,100,53.0434,1,1,5
1208990399,3612 E02,CCTE_Shafer_MEA_dev_inter_network_spike_interval_mean_up,-100,472.59,0,1,5
1208990399,3612 E02,CCTE_Shafer_MEA_dev_mutual_information_norm_up,-100,118.434,0,1,5
1208990415,3612 E04,CCTE_Shafer_MEA_dev_AB_dn,51.84973247,30,1,1,5
1208990415,3612 E04,CCTE_Shafer_MEA_dev_LDH_dn,68.18946975,30,1,1,5
1208990415,3612 E04,CCTE_Shafer_MEA_dev_bursting_electrodes_number_dn,100,47.0176,1,1,5
1208990415,3612 E04,CCTE_Shafer_MEA_dev_firing_rate_mean_DIV12_dn,65.3190453,55.5246,1,1,5
1208990415,3612 E04,CCTE_Shafer_MEA_dev_network_spike_peak_dn,79.72972967,53.0434,1,1,5
1208990415,3612 E04,CCTE_Shafer_MEA_dev_inter_network_spike_interval_mean_up,-100,472.59,0,1,5
1208990415,3612 E04,CCTE_Shafer_MEA_dev_mutual_information_norm_up,-99.92365618,118.434,0,1,5
