"PREFERRED_NAME","EPA_SAMPLE_ID","treatment","filename","primary_dataset","ALIQUOT_PLATE_BARCODE","ALIQUOT_WELL_ID","ALIQUOT_CONC","ALIQUOT_CONC_UNIT","TARGET_CONC","TARGET_CONC_UNIT","ALIQUOT_VOLUME","ALIQUOT_VOLUME_UNIT","ALIQUOT_SOLVENT","ALIQUOT_DATE","BOTTLE_ID","pd_sample_id","gsid","ALIQUOT_VIAL_BARCODE","pd_sample","LOCATION","MW","Supplier","Lot.Number","CoA.Purity.(%)","Determined.Purity.(%)","Culture","chid","stkc","stkc_unit","tested_conc_unit","casn","chnm","dsstox_substance_id","notes","Solvent.used"
"(Methylcyclopentadienyl)tricarbonylmanganese","EX000341","Manganese, tricarbonyl[(1,2,3,4,5-.eta.)-1-methyl-2,4-cyclopentadien-1-yl]-","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F4","218.09","Alfa Aesar","G26S035","~ 96.9",NA,20160907,27738,20,"mM","uM","12108-13-3","(Methylcyclopentadienyl)tricarbonylmanganese","DTXSID9027738","",NA
"1,1,1,3,3-Pentafluorobutane","1475835","1475835","EPA_9238_EPA-Shafer_75_20180511.xlsx","PFAS2018",NA,NA,NA,NA,30,"mM",200,"uL",NA,NA,NA,NA,NA,"1475835",NA,"C4","148.076",NA,NA,NA,NA,NA,73901,30,"mM","uM","406-58-6","1,1,1,3,3-Pentafluorobutane","DTXSID5073901","",NA
"1,1-Dimethylpiperidinium chloride","EPAPLT0167D03","63","All Assays_list_toxcast_OECD 20190524.xlsx","DNTGF2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,24170,19.9997005462646,"mM","uM","24307-26-4","1,1-Dimethylpiperidinium chloride","DTXSID1024170","",NA
"1,2-Propylene glycol","EX000516","1,2-Propylene glycol","EPA_ES204_EPA-Shafer_12_20200117_key.xlsx","Frank2017","DNT_EXTRA2","1","100","mM",100,"mM",100,"uL","-","-","EX000516",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,21206,100,"mM","uM","57-55-6","1,2-Propylene glycol","DTXSID0021206","","DMSO"
"1-Ethyl-3-methylimidazolium diethylphosphate","EX000278","1-Ethyl-3-methylimidazolium diethylphosphate","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"20.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A1","264.26","Sigma-Aldrich","1426075","99.5",NA,20160907,47889,20.2000007629395,"mM","uM","848641-69-0","1-Ethyl-3-methylimidazolium diethylphosphate","DTXSID9047889","",NA
"1-Methyl-4-phenylpyridinium iodide","EX000279","1-Methyl-4-phenylpyridinium iodide","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"18.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A2","297.13","Sigma-Aldrich","092M4729V","99.8",NA,20160817,880040,18.7999992370605,"mM","uM","36913-39-0","1-Methyl-4-phenylpyridinium iodide","DTXSID40880040","",NA
"1-Pentafluoroethylethanol","1475821","1475821","EPA_9238_EPA-Shafer_75_20180511.xlsx","PFAS2018",NA,NA,NA,NA,30,"mM",200,"uL",NA,NA,NA,NA,NA,"1475821",NA,"A10","164.075",NA,NA,NA,NA,NA,880134,30,"mM","uM","374-40-3","1-Pentafluoroethylethanol","DTXSID70880134","",NA
"1-Propenylperfluoropropane","1475834","1475834","EPA_9238_EPA-Shafer_75_20180511.xlsx","PFAS2018",NA,NA,NA,NA,30,"mM",200,"uL",NA,NA,NA,NA,NA,"1475834",NA,"C3","148.076",NA,NA,NA,NA,NA,379270,30,"mM","uM","355-95-3","1-Propenylperfluoropropane","DTXSID70379270","",NA
"11:1 Fluorotelomer alcohol","1475858","1475858","EPA_9238_EPA-Shafer_75_20180511.xlsx","PFAS2018",NA,NA,NA,NA,30,"mM",200,"uL",NA,NA,NA,NA,NA,"1475858",NA,"E7","600.118",NA,NA,NA,NA,NA,375107,30,"mM","uM","423-65-4","11:1 Fluorotelomer alcohol","DTXSID80375107","",NA
"17beta-Estradiol","EX000331","Estradiol","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E6","272.39","Spectrum Chemical Mfg. Corp.","KB183","95.6","99.15",20160907,20573,20,"mM","uM","50-28-2","17beta-Estradiol","DTXSID0020573","",NA
"17beta-Estradiol","TP0001649G08","17beta-Estradiol","EPA_12088_EPA-Shafer_96misc_75ul_20160826_key.xlsx","ToxCast2016","TP0001649","G08",NA,NA,20,"mM",75,"uL","DMSO","42586",NA,NA,20573,NA,"TP0001649G08","",NA,NA,NA,NA,NA,NA,20573,20,"mM","uM","50-28-2","17beta-Estradiol","DTXSID0020573","",NA
"1H,1H,2H,2H-Perfluorooctyl iodide","TP0001413A04","1H,1H,2H,2H-Perfluorooctyl iodide","EPA_11024_TShafer_384ph2_75ul_13May2015.xlsx","ToxCast2016","TP0001413","A04","5","mM",NA,NA,75,"uL","DMSO",NA,NA,"TX010357",47565,NA,NA,"",NA,NA,NA,NA,NA,NA,47565,5,"mM","uM","2043-57-4","1H,1H,2H,2H-Perfluorooctyl iodide","DTXSID2047565","",NA
"1H,1H,5H-Perfluoropentanol","1475814","1475814","EPA_9238_EPA-Shafer_75_20180511.xlsx","PFAS2018",NA,NA,NA,NA,30,"mM",200,"uL",NA,NA,NA,NA,NA,"1475814",NA,"A3","232.073",NA,NA,NA,NA,NA,59879,30,"mM","uM","355-80-6","1H,1H,5H-Perfluoropentanol","DTXSID0059879","",NA
"1H,1H,7H-Dodecafluoro-1-heptanol","1475820","1475820","EPA_9238_EPA-Shafer_75_20180511.xlsx","PFAS2018",NA,NA,NA,NA,30,"mM",200,"uL",NA,NA,NA,NA,NA,"1475820",NA,"A9","332.089",NA,NA,NA,NA,NA,59832,30,"mM","uM","335-99-9","1H,1H,7H-Dodecafluoro-1-heptanol","DTXSID9059832","",NA
"1H,1H,8H,8H-Perfluoro-3,6-dioxaoctane-1,8-diol","1475857","1475857","EPA_9238_EPA-Shafer_75_20180511.xlsx","PFAS2018",NA,NA,NA,NA,30,"mM",200,"uL",NA,NA,NA,NA,NA,"1475857",NA,"E6","294.097",NA,NA,NA,NA,NA,381090,30,"mM","uM","129301-42-4","1H,1H,8H,8H-Perfluoro-3,6-dioxaoctane-1,8-diol","DTXSID70381090","",NA
"1H,1H-Heptafluorobutanol","1475822","1475822","EPA_9238_EPA-Shafer_75_20180511.xlsx","PFAS2018",NA,NA,NA,NA,30,"mM",200,"uL",NA,NA,NA,NA,NA,"1475822",NA,"B1","200.056",NA,NA,NA,NA,NA,59914,30,"mM","uM","375-01-9","1H,1H-Heptafluorobutanol","DTXSID4059914","",NA
"1H,1H-Perfluoropentylamine","1475825","1475825","EPA_9238_EPA-Shafer_75_20180511.xlsx","PFAS2018",NA,NA,NA,NA,30,"mM",200,"uL",NA,NA,NA,NA,NA,"1475825",NA,"B4","249.08",NA,NA,NA,NA,NA,377826,30,"mM","uM","355-27-1","1H,1H-Perfluoropentylamine","DTXSID60377826","",NA
"2,2',4,4',5,5'-Hexabromodiphenyl ether","EX000284","2,2',4,4',5,5'-Hexabromodiphenyl ether","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A7","643.58000000000004","Battelle Memorial Institute (via Cerilliant Corp.)","08022011","Unknown",NA,20160720,30047,10,"mM","uM","68631-49-2","2,2',4,4',5,5'-Hexabromodiphenyl ether","DTXSID4030047","",NA
"2,2',4,4',5-Pentabromodiphenyl ether","EX000283","2,2',4,4',5-Pentabromodiphenyl ether","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A6","564.69","Cerilliant Corp.","35081-70","96","100",20160720,30048,20,"mM","uM","60348-60-9","2,2',4,4',5-Pentabromodiphenyl ether","DTXSID9030048","",NA
"2,2',4,4'-Tetrabromodiphenyl ether","EX000285","2,2',4,4'-Tetrabromodiphenyl ether","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A8","485.80","Cerilliant Corp.","35081-43","98","100",20160720,30056,20,"mM","uM","5436-43-1","2,2',4,4'-Tetrabromodiphenyl ether","DTXSID3030056","",NA
"2,2',4,4'-Tetrabromodiphenyl ether","EX000461","2,2'4,4'-Tetrabromodiphenyl ether (BDE-47)","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","91","20","mM",20,"mM",100,"uL","-","-","EX000461",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,30056,20,"mM","uM","5436-43-1","2,2',4,4'-Tetrabromodiphenyl ether","DTXSID3030056","","DMSO"
"2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane","TP0001649F03","2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane","EPA_12088_EPA-Shafer_96misc_75ul_20160826_key.xlsx","ToxCast2016","TP0001649","F03",NA,NA,20,"mM",75,"uL","DMSO","42586",NA,NA,22325,NA,"TP0001649F03","",NA,NA,NA,NA,NA,NA,22325,20,"mM","uM","2971-36-0","2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane","DTXSID8022325","",NA
"2,2-Difluoroethyl triflate","1475854","1475854","EPA_9238_EPA-Shafer_75_20180511.xlsx","PFAS2018",NA,NA,NA,NA,30,"mM",200,"uL",NA,NA,NA,NA,NA,"1475854",NA,"E3","214.106",NA,NA,NA,NA,NA,378880,30,"mM","uM","74427-22-8","2,2-Difluoroethyl triflate","DTXSID30378880","",NA
"2,3,7,8-Tetrachlorodibenzo-p-dioxin","EX000286","2,3,7,8-Tetrachlorodibenzo-p-dioxin","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A9","321.98","MRIGlobal","CR82-2-2","98",NA,NA,21315,0.100000001490116,"mM","uM","1746-01-6","2,3,7,8-Tetrachlorodibenzo-p-dioxin","DTXSID2021315","",NA
"2-(Trifluoromethoxy)ethyl trifluoromethanesulfonate","1483039","1483039","EPA_9238_EPA-Shafer_75_20180511.xlsx","PFAS2018",NA,NA,NA,NA,30,"mM",200,"uL",NA,NA,NA,NA,NA,"1483039",NA,"G4","262.122",NA,NA,NA,NA,NA,442840,30,"mM","uM","329710-76-1","2-(Trifluoromethoxy)ethyl trifluoromethanesulfonate","DTXSID00442840","",NA
"2-Amino-2H-perfluoropropane","1475824","1475824","EPA_9238_EPA-Shafer_75_20180511.xlsx","PFAS2018",NA,NA,NA,NA,30,"mM",200,"uL",NA,NA,NA,NA,NA,"1475824",NA,"B3","167.054",NA,NA,NA,NA,NA,481246,30,"mM","uM","1619-92-7","2-Amino-2H-perfluoropropane","DTXSID70481246","",NA
"2-Aminohexafluoropropan-2-ol","1475812","1475812","EPA_9238_EPA-Shafer_75_20180511.xlsx","PFAS2018",NA,NA,NA,NA,30,"mM",200,"uL",NA,NA,NA,NA,NA,"1475812",NA,"A1","183.053",NA,NA,NA,NA,NA,382093,30,"mM","uM","31253-34-6","2-Aminohexafluoropropan-2-ol","DTXSID80382093","",NA
"2-Ethylhexyl 2,3,4,5-tetrabromobenzoate","EX000281","2-Ethylhexyl-2,3,4,5-tetrabromobenzoate","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A4","549.92","Toronto Research Chemicals Inc.","3-JUZ-193-8","95",NA,20160720,52686,20,"mM","uM","183658-27-7","2-Ethylhexyl 2,3,4,5-tetrabromobenzoate","DTXSID9052686","",NA
"2-Ethylhexyl diphenyl phosphate","EX000280","2-Ethylhexyl diphenyl phosphate","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"20.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A3","362.41","TCI America","BKUNE","92.8",NA,20160720,25300,20.2000007629395,"mM","uM","1241-94-7","2-Ethylhexyl diphenyl phosphate","DTXSID1025300","",NA
"2-Methoxyethanol","EX000282","2-Methoxyethanol","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"20.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A5","76.09","Sigma-Aldrich","SHBD1377V","99.94",NA,20160817,24182,20.8999996185303,"mM","uM","109-86-4","2-Methoxyethanol","DTXSID5024182","",NA
"2-Methoxyethanol","EX000443","2-Methoxyethanol","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","73","20","mM",20,"mM",100,"uL","-","-","EX000443",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,24182,20,"mM","uM","109-86-4","2-Methoxyethanol","DTXSID5024182","",NA
"2-Vinylperfluorobutane","1475813","1475813","EPA_9238_EPA-Shafer_75_20180511.xlsx","PFAS2018",NA,NA,NA,NA,30,"mM",200,"uL",NA,NA,NA,NA,NA,"1475813",NA,"A2","246.076",NA,NA,NA,NA,NA,379359,30,"mM","uM","239795-57-4","2-Vinylperfluorobutane","DTXSID50379359","",NA
"2H,2H,3H,3H-Perfluorooctanoic acid","1483028","1483028","EPA_9238_EPA-Shafer_75_20180511.xlsx","PFAS2018",NA,NA,NA,NA,30,"mM",200,"uL",NA,NA,NA,NA,NA,"1483028",NA,"F3","342.1",NA,NA,NA,NA,NA,874028,30,"mM","uM","914637-49-3","2H,2H,3H,3H-Perfluorooctanoic acid","DTXSID20874028","",NA
"3,3',5,5'-Tetrabromobisphenol A","EX000288","3,3’,5,5’-Tetrabromobisphenol A","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A11","543.87","Albemarle Corporation via MRIGlobal","M032607KA","Unknown","~99",NA,26081,20,"mM","uM","79-94-7","3,3',5,5'-Tetrabromobisphenol A","DTXSID1026081","",NA
"3,3',5,5'-Tetrabromobisphenol A","EX000454","Tetrabromobisphenol A (TBBPA)","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","84","20","mM",20,"mM",100,"uL","-","-","EX000454",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,26081,20,"mM","uM","79-94-7","3,3',5,5'-Tetrabromobisphenol A","DTXSID1026081","","DMSO"
"3,3'-Iminobispropanenitrile","EX000287","3,3'-Iminobispropanenitrile","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"20.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A10","123.16","TCI America","WN25D","99.6",NA,20160817,41464,20.3999996185303,"mM","uM","111-94-4","3,3'-Iminobispropanenitrile","DTXSID2041464","",NA
"3,3,4,4,5,5,6,6,6-Nonafluorohexene","1483027","1483027","EPA_9238_EPA-Shafer_75_20180511.xlsx","PFAS2018",NA,NA,NA,NA,30,"mM",200,"uL",NA,NA,NA,NA,NA,"1483027",NA,"F2","246.076",NA,NA,NA,NA,NA,47575,30,"mM","uM","19430-93-4","3,3,4,4,5,5,6,6,6-Nonafluorohexene","DTXSID6047575","",NA
"3,3-Bis(trifluoromethyl)-2-propenoic acid","1475818","1475818","EPA_9238_EPA-Shafer_75_20180511.xlsx","PFAS2018",NA,NA,NA,NA,30,"mM",200,"uL",NA,NA,NA,NA,NA,"1475818",NA,"A7","208.059",NA,NA,NA,NA,NA,170109,30,"mM","uM","1763-28-6","3,3-Bis(trifluoromethyl)-2-propenoic acid","DTXSID30170109","",NA
"3-(Perfluoro-2-butyl)propane-1,2-diol","1475827","1475827","EPA_9238_EPA-Shafer_75_20180511.xlsx","PFAS2018",NA,NA,NA,NA,30,"mM",200,"uL",NA,NA,NA,NA,NA,"1475827",NA,"B6","294.117",NA,NA,NA,NA,NA,382147,30,"mM","uM","125070-38-4","3-(Perfluoro-2-butyl)propane-1,2-diol","DTXSID10382147","",NA
"3-(Perfluoroisopropyl)-2-propenoic acid","1475837","1475837","EPA_9238_EPA-Shafer_75_20180511.xlsx","PFAS2018",NA,NA,NA,NA,30,"mM",200,"uL",NA,NA,NA,NA,NA,"1475837",NA,"C6","240.077",NA,NA,NA,NA,NA,380257,30,"mM","uM","243139-64-2","3-(Perfluoroisopropyl)-2-propenoic acid","DTXSID40380257","",NA
"3-(Perfluoropropyl)propanol","1475832","1475832","EPA_9238_EPA-Shafer_75_20180511.xlsx","PFAS2018",NA,NA,NA,NA,30,"mM",200,"uL",NA,NA,NA,NA,NA,"1475832",NA,"C1","228.11",NA,NA,NA,NA,NA,379269,30,"mM","uM","679-02-7","3-(Perfluoropropyl)propanol","DTXSID60379269","",NA
"3-Iodo-2-propynyl-N-butylcarbamate","EX000317","Carbamic acid, butyl-, 3-iodo-2-propynyl ester","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"19.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D4","281.09","Sigma-Aldrich","00616EJ","99.4",NA,20160907,28038,19.8999996185303,"mM","uM","55406-53-6","3-Iodo-2-propynyl-N-butylcarbamate","DTXSID0028038","",NA
"3-Iodo-2-propynyl-N-butylcarbamate","TP0001649E01","3-Iodo-2-propynyl-N-butylcarbamate","EPA_12088_EPA-Shafer_96misc_75ul_20160826_key.xlsx","ToxCast2016","TP0001649","E01",NA,NA,20,"mM",75,"uL","DMSO","42586",NA,NA,28038,NA,"TP0001649E01","",NA,NA,NA,NA,NA,NA,28038,20,"mM","uM","55406-53-6","3-Iodo-2-propynyl-N-butylcarbamate","DTXSID0028038","",NA
"3H-Perfluoro-2,2,4,4-tetrahydroxypentane","1475831","1475831","EPA_9238_EPA-Shafer_75_20180511.xlsx","PFAS2018",NA,NA,NA,NA,30,"mM",200,"uL",NA,NA,NA,NA,NA,"1475831",NA,"B10","262.08",NA,NA,NA,NA,NA,379295,30,"mM","uM","77953-71-0","3H-Perfluoro-2,2,4,4-tetrahydroxypentane","DTXSID70379295","",NA
"3H-Perfluoro-4-hydroxy-3-penten-2-one","1475830","1475830","EPA_9238_EPA-Shafer_75_20180511.xlsx","PFAS2018",NA,NA,NA,NA,30,"mM",200,"uL",NA,NA,NA,NA,NA,"1475830",NA,"B9","208.059",NA,NA,NA,NA,NA,275806,30,"mM","uM","1694-30-0","3H-Perfluoro-4-hydroxy-3-penten-2-one","DTXSID90275806","",NA
"4,4'-Sulfonyldiphenol","EX000314","Bisphenol S","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"20.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1","250.27","Sigma-Aldrich","MKAA3505","99.9",NA,NA,22409,20.1000003814697,"mM","uM","80-09-1","4,4'-Sulfonyldiphenol","DTXSID3022409","",NA
"4-(4-Chlorophenyl)-4-hydroxy-N,N-dimethyl-alpha,alpha-diphenylpiperidine-1-butyramide monohydrochloride","EX000411","Loperamide","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","41","20","mM",20,"mM",100,"uL","-","-","EX000411",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,880006,20,"mM","uM","34552-83-5","4-(4-Chlorophenyl)-4-hydroxy-N,N-dimethyl-alpha,alpha-diphenylpiperidine-1-butyramide monohydrochloride","DTXSID00880006","","DMSO"
"4:2 Fluorotelomer alcohol","1475851","1475851","EPA_9238_EPA-Shafer_75_20180511.xlsx","PFAS2018",NA,NA,NA,NA,30,"mM",200,"uL",NA,NA,NA,NA,NA,"1475851",NA,"D10","264.091",NA,NA,NA,NA,NA,62122,30,"mM","uM","2043-47-2","4:2 Fluorotelomer alcohol","DTXSID1062122","",NA
"4:2 Fluorotelomer sulfonic acid","1475843","1475843","EPA_9238_EPA-Shafer_75_20180511.xlsx","PFAS2018",NA,NA,NA,NA,30,"mM",200,"uL",NA,NA,NA,NA,NA,"1475843",NA,"D2","328.149",NA,NA,NA,NA,NA,891564,30,"mM","uM","757124-72-4","4:2 Fluorotelomer sulfonic acid","DTXSID30891564","",NA
"4:4 Fluorotelomer alcohol","1475817","1475817","EPA_9238_EPA-Shafer_75_20180511.xlsx","PFAS2018",NA,NA,NA,NA,30,"mM",200,"uL",NA,NA,NA,NA,NA,"1475817",NA,"A6","292.145",NA,NA,NA,NA,NA,377821,30,"mM","uM","3792-02-7","4:4 Fluorotelomer alcohol","DTXSID60377821","",NA
