"dataset","mea_treatment_name","updated_treatment_name","PREFERRED_NAME","casn","dsstox_substance_id","spid","ALIQUOT_PLATE_BARCODE","filename","notes"
"Brown2014","Acetaminophen","Acetaminophen","Acetaminophen","103-90-2","DTXSID2020006","EX000404","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx",NA
"Brown2014","Bisindolymaleimide 1","Bisindolylmaleimide I","Bisindolylmaleimide I","133052-90-1","DTXSID50157932","EX000475","DNT_EXTRA","EPA_ES203_EPA-Shafer_42_20200110_key.xlsx","spelling; Shafer_42 list CASRN is 133052-90-1, which matches the casn shown in Brown et al., 2016"
"Brown2014","Domoic Acid","L-Domoic acid","L-Domoic acid","14277-97-5","DTXSID20274180","EX000487","DNT_EXTRA","EPA_ES203_EPA-Shafer_42_20200110_key.xlsx","Shafer_42 CASRN is 14277-97-5, which matches the casn shown in the Brown et al., 2016"
"Brown2014","Loperamide","4-(4-Chlorophenyl)-4-hydroxy-N,N-dimethyl-alpha,alpha-diphenylpiperidine-1-butyramide monohydrochloride","4-(4-Chlorophenyl)-4-hydroxy-N,N-dimethyl-alpha,alpha-diphenylpiperidine-1-butyramide monohydrochloride","34552-83-5","DTXSID00880006","EX000411","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","CASN and Product # in Brown et al., 2016 match Loperamide hydrochloride"
"Brown2014","Mevastatin","Mevastatin","Mevastatin","73573-88-3","DTXSID4040684","EX000498","DNT_EXTRA","EPA_ES203_EPA-Shafer_42_20200110_key.xlsx",NA
"Brown2014","Sodium Orthovanadate","Sodium orthovanadate","Sodium orthovanadate","13721-39-6","DTXSID2037269","EX000499","DNT_EXTRA","EPA_ES203_EPA-Shafer_42_20200110_key.xlsx","captilization"
"DNTGF2019","100","100","?-Cyhalothrin","91465-08-6","DTXSID7032559","EPAPLT0167H06",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","11","11","Ampicillin","69-53-4","DTXSID4022602","EPAPLT0167C02",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","12","12","Anthracene","120-12-7","DTXSID0023878","EPAPLT0167C05",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","13","13","Aspartame","22839-47-0","DTXSID0020107","EPAPLT0167D08",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","14","14","Aspirin","50-78-2","DTXSID5020108","EPAPLT0167G04",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","15","15","Azinphos-methyl","86-50-0","DTXSID3020122","EPAPLT0167C10",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","16","16","Benomyl","17804-35-2","DTXSID5023900","EPAPLT0167E06",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","17","17","beta-Cyfluthrin","1820573-27-0","DTXSID8032330","EPAPLT0167A11",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","18","18","Boscalid","188425-85-6","DTXSID6034392","EPAPLT0167D05",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","19","19","Buspirone","36505-84-7","DTXSID2022707","EPAPLT0167A09",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","20","20","Butylated hydroxyanisole","25013-16-5","DTXSID7020215","EPAPLT0167B11",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","21","21","Cadmium chloride","10108-64-2","DTXSID6020226","EPAPLT0167B04",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","22","22","Captopril","62571-86-2","DTXSID1037197","EPAPLT0169G09",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","23","23","Carbaryl","63-25-2","DTXSID9020247","EPAPLT0167D01",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","24","24","Chlorpheniramine maleate","113-92-8","DTXSID4020321","EPAPLT0167C07",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","25","25","Chlorpyrifos-methyl","5598-13-0","DTXSID6032352","EPAPLT0167E05",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","26","26","Clothianidin","210880-92-5","DTXSID2034465","EPAPLT0167C09",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","27","27","Cyfluthrin","68359-37-5","DTXSID5035957","EPAPLT0167F10",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","28","28","Cymoxanil","57966-95-7","DTXSID6032358","EPAPLT0167D07",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","29","29","Cypermethrin","52315-07-8","DTXSID1023998","EPAPLT0167G05",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","3","3","5-Azacytidine","320-67-2","DTXSID9020116","EPAPLT0167A06",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","3 Glufosinate-P Technical","Glufosinate-P","Glufosinate-P","35597-44-5","DTXSID401020544","EX000373","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx",NA
"DNTGF2019","31","31","Cytarabine hydrochloride","69-74-9","DTXSID5024891","EPAPLT0167E09",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","33","33","Dexamethasone","50-02-2","DTXSID3020384","EPAPLT0169F08",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
