"dataset","mea_treatment_name","updated_treatment_name","PREFERRED_NAME","casn","dsstox_substance_id","spid","ALIQUOT_PLATE_BARCODE","filename","notes","cultures","ALIQUOT_WELL_ID","ALIQUOT_SOLVENT","ALIQUOT_DATE","BOTTLE_ID","ALIQUOT_VIAL_BARCODE","LOCATION","MW","Supplier","Lot.Number","chid","chnm","Solvent.used"
"Brown2014","Acetaminophen","Acetaminophen","Acetaminophen","103-90-2","DTXSID2020006","EX000404","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx",NA,"20140205,20140212,20140402,20140423","34","-","-","EX000404",NA,"",NA,NA,NA,20006,"Acetaminophen","Water"
"Brown2014","Bisindolymaleimide 1","Bisindolylmaleimide I","Bisindolylmaleimide I","133052-90-1","DTXSID50157932","EX000475","DNT_EXTRA","EPA_ES203_EPA-Shafer_42_20200110_key.xlsx","spelling; Shafer_42 list CASRN is 133052-90-1, which matches the casn shown in Brown et al., 2016","20140205,20140212,20140402,20140423,20140716,20140730","2","-","-","EX000475",NA,"",NA,NA,NA,157932,"Bisindolylmaleimide I","DMSO"
"Brown2014","Domoic Acid","L-Domoic acid","L-Domoic acid","14277-97-5","DTXSID20274180","EX000487","DNT_EXTRA","EPA_ES203_EPA-Shafer_42_20200110_key.xlsx","Shafer_42 CASRN is 14277-97-5, which matches the casn shown in the Brown et al., 2016","20140205,20140212,20140402,20140423","14","-","-","EX000487",NA,"",NA,NA,NA,274180,"L-Domoic acid","Water"
"Brown2014","Loperamide","4-(4-Chlorophenyl)-4-hydroxy-N,N-dimethyl-alpha,alpha-diphenylpiperidine-1-butyramide monohydrochloride","4-(4-Chlorophenyl)-4-hydroxy-N,N-dimethyl-alpha,alpha-diphenylpiperidine-1-butyramide monohydrochloride","34552-83-5","DTXSID00880006","EX000411","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","CASN and Product # in Brown et al., 2016 match Loperamide hydrochloride","20140205,20140212,20140402,20140423","41","-","-","EX000411",NA,"",NA,NA,NA,880006,"4-(4-Chlorophenyl)-4-hydroxy-N,N-dimethyl-alpha,alpha-diphenylpiperidine-1-butyramide monohydrochloride","DMSO"
"Brown2014","Mevastatin","Mevastatin","Mevastatin","73573-88-3","DTXSID4040684","EX000498","DNT_EXTRA","EPA_ES203_EPA-Shafer_42_20200110_key.xlsx",NA,"20140205,20140212,20140402,20140423","25","-","-","EX000498",NA,"",NA,NA,NA,40684,"Mevastatin","DMSO"
"Brown2014","Sodium Orthovanadate","Sodium orthovanadate","Sodium orthovanadate","13721-39-6","DTXSID2037269","EX000499","DNT_EXTRA","EPA_ES203_EPA-Shafer_42_20200110_key.xlsx","captilization","20140205,20140212,20140402,20140423,20140716,20140730","26","-","-","EX000499",NA,"",NA,NA,NA,37269,"Sodium orthovanadate","Water"
"DNTGF2019","100","100","?-Cyhalothrin","91465-08-6","DTXSID7032559","EPAPLT0167H06",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20191113",NA,NA,NA,NA,NA,"",NA,NA,NA,32559,"?-Cyhalothrin",NA
"DNTGF2019","11","11","Ampicillin","69-53-4","DTXSID4022602","EPAPLT0167C02",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20190807",NA,NA,NA,NA,NA,"",NA,NA,NA,22602,"Ampicillin",NA
"DNTGF2019","12","12","Anthracene","120-12-7","DTXSID0023878","EPAPLT0167C05",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20190807",NA,NA,NA,NA,NA,"",NA,NA,NA,23878,"Anthracene",NA
"DNTGF2019","13","13","Aspartame","22839-47-0","DTXSID0020107","EPAPLT0167D08",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20190918",NA,NA,NA,NA,NA,"",NA,NA,NA,20107,"Aspartame",NA
"DNTGF2019","14","14","Aspirin","50-78-2","DTXSID5020108","EPAPLT0167G04",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20190807",NA,NA,NA,NA,NA,"",NA,NA,NA,20108,"Aspirin",NA
"DNTGF2019","15","15","Azinphos-methyl","86-50-0","DTXSID3020122","EPAPLT0167C10",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20190807",NA,NA,NA,NA,NA,"",NA,NA,NA,20122,"Azinphos-methyl",NA
"DNTGF2019","16","16","Benomyl","17804-35-2","DTXSID5023900","EPAPLT0167E06",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20190918",NA,NA,NA,NA,NA,"",NA,NA,NA,23900,"Benomyl",NA
"DNTGF2019","17","17","beta-Cyfluthrin","1820573-27-0","DTXSID8032330","EPAPLT0167A11",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20190918",NA,NA,NA,NA,NA,"",NA,NA,NA,32330,"beta-Cyfluthrin",NA
"DNTGF2019","18","18","Boscalid","188425-85-6","DTXSID6034392","EPAPLT0167D05",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20190807",NA,NA,NA,NA,NA,"",NA,NA,NA,34392,"Boscalid",NA
"DNTGF2019","19","19","Buspirone","36505-84-7","DTXSID2022707","EPAPLT0167A09",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20190918",NA,NA,NA,NA,NA,"",NA,NA,NA,22707,"Buspirone",NA
"DNTGF2019","20","20","Butylated hydroxyanisole","25013-16-5","DTXSID7020215","EPAPLT0167B11",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20190807",NA,NA,NA,NA,NA,"",NA,NA,NA,20215,"Butylated hydroxyanisole",NA
"DNTGF2019","21","21","Cadmium chloride","10108-64-2","DTXSID6020226","EPAPLT0167B04",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20190807",NA,NA,NA,NA,NA,"",NA,NA,NA,20226,"Cadmium chloride",NA
